ccode,country,ts,govinyear,percgovmiss,cow,imf,wdi,marpor,cpg_wkb2000,cpg_wkb2011,cpg_sw2014,pm_rile,govt_rile,pm_planeco,govt_planeco,pm_markeco,govt_markeco,pm_welfare,govt_welfare,pm_intpeace,govt_intpeace,pm_ecopos,govt_ecopos,pm_econ4,govt_econ4,pm_hawk,govt_hawk,pm_per101,govt_per101,pm_per102,govt_per102,pm_per103,govt_per103,pm_per104,govt_per104,pm_per105,govt_per105,pm_per106,govt_per106,pm_per107,govt_per107,pm_per108,govt_per108,pm_per109,govt_per109,pm_per110,govt_per110,pm_per201,govt_per201,pm_per202,govt_per202,pm_per203,govt_per203,pm_per204,govt_per204,pm_per301,govt_per301,pm_per302,govt_per302,pm_per303,govt_per303,pm_per304,govt_per304,pm_per305,govt_per305,pm_per401,govt_per401,pm_per402,govt_per402,pm_per403,govt_per403,pm_per404,govt_per404,pm_per405,govt_per405,pm_per406,govt_per406,pm_per407,govt_per407,pm_per408,govt_per408,pm_per409,govt_per409,pm_per410,govt_per410,pm_per411,govt_per411,pm_per412,govt_per412,pm_per413,govt_per413,pm_per414,govt_per414,pm_per415,govt_per415,pm_per416,govt_per416,pm_per501,govt_per501,pm_per502,govt_per502,pm_per503,govt_per503,pm_per504,govt_per504,pm_per505,govt_per505,pm_per506,govt_per506,pm_per507,govt_per507,pm_per601,govt_per601,pm_per602,govt_per602,pm_per603,govt_per603,pm_per604,govt_per604,pm_per605,govt_per605,pm_per606,govt_per606,pm_per607,govt_per607,pm_per608,govt_per608,pm_per701,govt_per701,pm_per702,govt_per702,pm_per703,govt_per703,pm_per704,govt_per704,pm_per705,govt_per705,pm_per706,govt_per706
"USA","USA",1947,1,0,2,111,"USA",61,,,3,-10.092,-10.092,3.67,3.67,5.505,5.505,6.422,6.422,8.257,8.257,2.751,2.751,18.347,18.347,.917,.917,0,0,0,0,1.835,1.835,9.174,9.174,0,0,8.257,8.257,9.174,9.174,0,0,0,0,0,0,4.587,4.587,0,0,0,0,0,0,4.587,4.587,0,0,0,0,0,0,0,0,4.587,4.587,.917,.917,3.67,3.67,0,0,0,0,0,0,0,0,6.422,6.422,0,0,.917,.917,.917,.917,0,0,0,0,.917,.917,0,0,0,0,4.587,4.587,0,0,1.835,1.835,4.587,4.587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.752,2.752,0,0,8.257,8.257,0,0,1.835,1.835,3.67,3.67
"USA","USA",1948,1,0,2,111,"USA",61,,,3,-10.092,-10.092,3.67,3.67,5.505,5.505,6.422,6.422,8.257,8.257,2.751,2.751,18.347,18.347,.917,.917,0,0,0,0,1.835,1.835,9.174,9.174,0,0,8.257,8.257,9.174,9.174,0,0,0,0,0,0,4.587,4.587,0,0,0,0,0,0,4.587,4.587,0,0,0,0,0,0,0,0,4.587,4.587,.917,.917,3.67,3.67,0,0,0,0,0,0,0,0,6.422,6.422,0,0,.917,.917,.917,.917,0,0,0,0,.917,.917,0,0,0,0,4.587,4.587,0,0,1.835,1.835,4.587,4.587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.752,2.752,0,0,8.257,8.257,0,0,1.835,1.835,3.67,3.67
"USA","USA",1949,2,0,2,111,"USA",61,,,3,-18.4221,-18.4221,5.843972,5.843972,2.653315,2.653315,11.16788,11.16788,5.625548,5.625548,-2.670698,-2.670698,14.17486,14.17486,-2.771192,-2.771192,6.583356,6.583356,0,0,.1005479,.1005479,2.854356,2.854356,0,0,5.625548,5.625548,9.437712,9.437712,.4707123,.4707123,0,0,0,0,3.072781,3.072781,5.17311,5.17311,.9404794,.9404794,0,0,.7220547,.7220547,0,0,2.351671,2.351671,0,0,.9404794,.9404794,.7220547,.7220547,.0502466,.0502466,2.082055,2.082055,1.411192,1.411192,0,0,0,0,.4707123,.4707123,.8226027,.8226027,0,0,.0502466,.0502466,3.812164,3.812164,2.351671,2.351671,.4707123,.4707123,1.931205,1.931205,0,0,0,0,.2513424,.2513424,0,0,9.035575,9.035575,2.132301,2.132301,0,0,1.411192,1.411192,0,0,3.292151,3.292151,0,0,0,0,0,0,0,0,1.411192,1.411192,0,0,0,0,3.912712,3.912712,0,0,6.095315,6.095315,1.411192,1.411192,.5712603,.5712603,6.314685,6.314685
"USA","USA",1950,1,0,2,111,"USA",61,,,3,-18.905,-18.905,5.97,5.97,2.488,2.488,11.443,11.443,5.473,5.473,-2.985,-2.985,13.933,13.933,-2.985,-2.985,6.965,6.965,0,0,0,0,2.488,2.488,0,0,5.473,5.473,9.453,9.453,.498,.498,0,0,0,0,2.985,2.985,5.473,5.473,.995,.995,0,0,.498,.498,0,0,2.488,2.488,0,0,.995,.995,.498,.498,0,0,1.99,1.99,1.493,1.493,0,0,0,0,.498,.498,.498,.498,0,0,0,0,3.98,3.98,2.488,2.488,.498,.498,1.99,1.99,0,0,0,0,0,0,0,0,9.453,9.453,1.99,1.99,0,0,1.493,1.493,0,0,3.483,3.483,0,0,0,0,0,0,0,0,1.493,1.493,0,0,0,0,3.98,3.98,0,0,5.97,5.97,1.493,1.493,.498,.498,6.468,6.468
"USA","USA",1951,2,0,2,111,"USA",61,,,3,-18.905,-18.905,5.969999,5.969999,2.488,2.488,11.443,11.443,5.473,5.473,-2.985,-2.985,13.933,13.933,-2.985,-2.985,6.965,6.965,0,0,0,0,2.488,2.488,0,0,5.473,5.473,9.453,9.453,.498,.498,0,0,0,0,2.985,2.985,5.473,5.473,.9949999,.9949999,0,0,.498,.498,0,0,2.488,2.488,0,0,.9949999,.9949999,.498,.498,0,0,1.99,1.99,1.493,1.493,0,0,0,0,.498,.498,.498,.498,0,0,0,0,3.98,3.98,2.488,2.488,.498,.498,1.99,1.99,0,0,0,0,0,0,0,0,9.453,9.453,1.99,1.99,0,0,1.493,1.493,0,0,3.483,3.483,0,0,0,0,0,0,0,0,1.493,1.493,0,0,0,0,3.98,3.98,0,0,5.969999,5.969999,1.493,1.493,.498,.498,6.468,6.468
"USA","USA",1952,1,0,2,111,"USA",61,,,3,-18.905,-18.905,5.97,5.97,2.488,2.488,11.443,11.443,5.473,5.473,-2.985,-2.985,13.933,13.933,-2.985,-2.985,6.965,6.965,0,0,0,0,2.488,2.488,0,0,5.473,5.473,9.453,9.453,.498,.498,0,0,0,0,2.985,2.985,5.473,5.473,.995,.995,0,0,.498,.498,0,0,2.488,2.488,0,0,.995,.995,.498,.498,0,0,1.99,1.99,1.493,1.493,0,0,0,0,.498,.498,.498,.498,0,0,0,0,3.98,3.98,2.488,2.488,.498,.498,1.99,1.99,0,0,0,0,0,0,0,0,9.453,9.453,1.99,1.99,0,0,1.493,1.493,0,0,3.483,3.483,0,0,0,0,0,0,0,0,1.493,1.493,0,0,0,0,3.98,3.98,0,0,5.97,5.97,1.493,1.493,.498,.498,6.468,6.468
"USA","USA",1953,2,0,2,111,"USA",61,,,2.054795,17.39562,17.39562,.7052054,.7052054,15.6377,15.6377,5.636603,5.636603,2.568384,2.568384,16.28301,16.28301,19.00592,19.00592,3.52274,3.52274,3.028219,3.028219,0,0,4.347945,4.347945,6.091123,6.091123,0,0,2.568384,2.568384,2.502904,2.502904,.0272877,.0272877,0,0,0,0,.1635616,.1635616,1.245096,1.245096,2.039452,2.039452,0,0,2.673863,2.673863,0,0,4.106192,4.106192,3.591781,3.591781,.7161644,.7161644,6.265644,6.265644,.3780822,.3780822,.4871233,.4871233,.0818082,.0818082,0,0,0,0,.9724931,.9724931,.0272877,.0272877,0,0,.3780822,.3780822,.879726,.879726,.1363288,.1363288,.0272877,.0272877,9.372055,9.372055,0,0,0,0,2.268493,2.268493,0,0,3.826191,3.826191,1.810411,1.810411,1.984931,1.984931,.743452,.743452,0,0,8.792219,8.792219,0,0,.9452055,.9452055,0,0,0,0,.0818082,.0818082,0,0,0,0,6.456438,6.456438,.3780822,.3780822,8.550411,8.550411,2.06674,2.06674,.4053698,.4053698,4.702356,4.702356
"USA","USA",1954,1,0,2,111,"USA",61,,,2,19.5,19.5,.4,.4,16.4,16.4,5.3,5.3,2.4,2.4,17.4,17.4,19.3,19.3,3.9,3.9,2.8,2.8,0,0,4.6,4.6,6.3,6.3,0,0,2.4,2.4,2.1,2.1,0,0,0,0,0,0,0,0,1,1,2.1,2.1,0,0,2.8,2.8,0,0,4.2,4.2,3.8,3.8,.7,.7,6.6,6.6,.4,.4,.4,.4,0,0,0,0,0,0,1,1,0,0,0,0,.4,.4,.7,.7,0,0,0,0,9.8,9.8,0,0,0,0,2.4,2.4,0,0,3.5,3.5,1.8,1.8,2.1,2.1,.7,.7,0,0,9.1,9.1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.6,6.6,.4,.4,8.7,8.7,2.1,2.1,.4,.4,4.6,4.6
"USA","USA",1955,2,0,2,111,"USA",61,,,2,19.5,19.5,.4,.4,16.4,16.4,5.3,5.3,2.4,2.4,17.4,17.4,19.3,19.3,3.9,3.9,2.8,2.8,0,0,4.6,4.6,6.3,6.3,0,0,2.4,2.4,2.1,2.1,0,0,0,0,0,0,0,0,1,1,2.1,2.1,0,0,2.8,2.8,0,0,4.2,4.2,3.8,3.8,.7,.7,6.6,6.6,.4,.4,.4,.4,0,0,0,0,0,0,1,1,0,0,0,0,.4,.4,.7,.7,0,0,0,0,9.8,9.8,0,0,0,0,2.4,2.4,0,0,3.5,3.5,1.8,1.8,2.1,2.1,.7,.7,0,0,9.1,9.1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.6,6.6,.4,.4,8.7,8.7,2.1,2.1,.4,.4,4.6,4.6
"USA","USA",1956,1,0,2,111,"USA",61,,,2,19.5,19.5,.4,.4,16.4,16.4,5.3,5.3,2.4,2.4,17.4,17.4,19.3,19.3,3.9,3.9,2.8,2.8,0,0,4.6,4.6,6.3,6.3,0,0,2.4,2.4,2.1,2.1,0,0,0,0,0,0,0,0,1,1,2.1,2.1,0,0,2.8,2.8,0,0,4.2,4.2,3.8,3.8,.7,.7,6.6,6.6,.4,.4,.4,.4,0,0,0,0,0,0,1,1,0,0,0,0,.4,.4,.7,.7,0,0,0,0,9.8,9.8,0,0,0,0,2.4,2.4,0,0,3.5,3.5,1.8,1.8,2.1,2.1,.7,.7,0,0,9.1,9.1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.6,6.6,.4,.4,8.7,8.7,2.1,2.1,.4,.4,4.6,4.6
