country,ccode,cow,imf,wdi,marpor,mapp,ms2000,smg2003,errda,mfh2004,parlgov,govtseq,new,investiture,startyear,startmonth,startday,peyear,pemonth,peday,neyear,nemonth,neday,duration,ciep,ciep_left,pmpd,rft_wkb2000,rft_wkb2011,rft_sw2014,election_follows,tog1,tog2,gpshare,gspshare,gparties,gsparties,sparties,reshuffles,return,return_elect,py1name,py1seat,py1cab_perc,mpppy1,py2name,py2seat,py2cab_perc,mpppy2,py3name,py3seat,py3cab_perc,mpppy3,py4name,py4seat,py4cab_perc,mpppy4,py5name,py5seat,py5cab_perc,mpppy5,py6name,py6seat,py6cab_perc,mpppy6,py7name,py7seat,py7cab_perc,mpppy7,py8name,py8seat,py8cab_perc,mpppy8,py9name,py9seat,py9cab_perc,mpppy9,py10name,py10seat,py10cab_perc,mpppy10,totalseat,portfolio,cpg_wkb2000,cpg_wkb2011,cpg_sw2014,prime,primeparty,mpp_pm,py1seat_upper,totalseat_upper
"Australia",900,900,193,"AUS",63,0,,,,,574,1,0,0,1945,7,13,1943,8,21,1946,9,28,475,3,404,117.5743,1,1,1,1,1,1,66.21622,66.21622,1,1,0,,,,"ALP",49,,63320,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,74,,4,4,4,"Chifley","ALP",63320,,
"Australia",900,900,193,"AUS",63,1,,,,,490,2,0,0,1946,10,31,1946,9,28,1949,12,10,1145,3,1063,107.714,1,1,1,1,1,1,58.10811,58.10811,1,1,0,,1,1,"ALP",43,,63320,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,74,,4,4,4,"Chifley","ALP",63320,,
"Australia",900,900,193,"AUS",63,1,,,,,450,3,0,0,1949,12,19,1949,12,10,1951,4,28,508,3,1087,46.73413,1,1,1,1,2,2,60.65574,60.65574,2,2,0,,0,0,"LPA",55,,63620,"CP",19,,63810,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,122,,2,2,2,"Menzies","LPA",63620,,
"Australia",900,900,193,"AUS",63,1,,,,,566,4,0,0,1951,5,11,1951,4,28,1954,5,29,1155,3,1083,106.6482,1,1,1,1,2,2,57.02479,57.02479,2,2,0,,2,2,"LPA",52,,63620,"CP",17,,63810,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,121,,2,2,2,"Menzies","LPA",63620,,
"Australia",900,900,193,"AUS",63,1,,,,,178,5,0,0,1954,7,9,1954,5,29,1955,12,10,551,3,1055,52.22749,1,1,1,1,2,2,52.89256,52.89256,2,2,0,,2,2,"LPA",47,,63620,"CP",17,,63810,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,121,,2,2,2,"Menzies","LPA",63620,,
"Australia",900,900,193,"AUS",63,1,,,,,479,6,0,0,1956,1,11,1955,12,10,1958,11,22,1063,3,1064,99.90601,1,1,1,1,2,2,61.47541,61.47541,2,2,0,,2,2,"LPA",57,,63620,"CP",18,,63810,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,122,,2,2,2,"Menzies","LPA",63620,,
"Australia",900,900,193,"AUS",63,1,,,,,627,7,0,0,1958,12,9,1958,11,22,1961,12,9,1110,3,1079,102.873,1,1,1,1,2,2,63.11475,63.11475,2,2,0,,2,2,"LPA",58,,63620,"CP",19,,63810,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,122,,2,2,2,"Menzies","LPA",63620,,
"Australia",900,900,193,"AUS",63,1,,,,,288,8,0,0,1961,12,23,1961,12,9,1963,11,30,724,3,1082,66.91312,1,1,1,1,2,2,50.81967,50.81967,2,2,0,,2,2,"LPA",45,,63620,"CP",17,,63810,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,122,,2,2,2,"Menzies","LPA",63620,,
"Australia",900,900,193,"AUS",63,1,,,,,786,9,0,0,1963,12,17,1963,11,30,1966,11,26,771,3,1079,71.45505,2,2,2,0,2,2,59.01639,59.01639,2,2,0,,2,2,"LPA",52,,63620,"CP",20,,63810,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,122,,2,2,2,"Menzies","LPA",63620,,
"Australia",900,900,193,"AUS",63,1,,,,,261,10,0,0,1966,1,26,1963,11,30,1966,11,26,322,3,308,104.5455,1,1,1,1,2,2,59.01639,59.01639,2,2,0,,2,,"LPA",52,,63620,"CP",20,,63810,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,122,,2,2,2,"Holt","LPA",63620,,
"Australia",900,900,193,"AUS",63,1,,,,,67,11,0,0,1966,12,14,1966,11,26,1969,10,25,369,3,1078,34.23006,3,3,3,0,2,2,66.12904,66.12904,2,2,0,,2,2,"LPA",61,,63620,"CP",21,,63810,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,124,,2,2,2,"Holt","LPA",63620,,
"Australia",900,900,193,"AUS",63,1,,,,,634,12,0,0,1967,12,18,1966,11,26,1969,10,25,23,3,709,3.244006,2,2,2,0,2,2,66.12904,66.12904,2,2,0,,2,,"LPA",61,,63620,"CP",21,,63810,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,124,,2,2,2,"McEwen","CP",63810,,
"Australia",900,900,193,"AUS",63,1,,,,,1,13,0,0,1968,1,10,1966,11,26,1969,10,25,49,3,686,7.142857,,,,0,2,2,66.12904,66.12904,2,2,0,,2,,"LPA",61,,63620,"CP",21,,63810,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,124,,2,2,2,"Gorton","LPA",63620,,
"Australia",900,900,193,"AUS",63,1,,,,,795,14,0,0,1968,2,28,1966,11,26,1969,10,25,622,3,637,97.64521,1,1,1,1,2,2,66.12904,66.12904,2,2,0,,2,,"LPA",61,,63620,"CP",21,,63810,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,124,,2,2,2,"Gorton","LPA",63620,,
"Australia",900,900,193,"AUS",63,1,,,,,1024,15,0,0,1969,11,11,1969,10,25,1972,12,2,495,3,1079,45.87581,2,2,2,0,2,2,52.8,52.8,2,2,0,,2,2,"LPA",46,,63620,"CP",20,,63810,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,125,,2,2,2,"Gorton","LPA",63620,,
"Australia",900,900,193,"AUS",63,1,,,,,671,16,0,0,1971,3,21,1969,10,25,1972,12,2,639,3,584,109.4178,1,1,1,1,2,2,52.8,52.8,2,2,0,,2,,"LPA",46,,63620,"CP",20,,63810,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,125,,2,2,2,"McMahon","LPA",63620,,
"Australia",900,900,193,"AUS",63,1,,,,,507,17,0,0,1972,12,19,1972,12,2,1974,5,18,540,3,1078,50.09277,1,1,1,1,1,1,53.6,53.6,1,1,0,,0,0,"ALP",67,,63320,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,125,,4,4,4,"Whitlam","ALP",63320,,
