ccode,govtseq,minister_id,name,gender,birthyear,portfolio,party,marpor,mstart_day,mstart_month,mstart_year,mts_start,mend_day,mend_month,mend_year,mts_end,died
"USA",25,273,"Barr","Male",1950,"Attorney General","REP",61620,20,11,1991,20nov1991,19,1,1993,19jan1993,0
"USA",25,4181,"Thornburgh","Male",1932,"Attorney General","REP",61620,20,1,1991,20jan1991,15,8,1991,15aug1991,0
"USA",25,928,"Darman","Male",1943,"Director of Office of Management and Budget","REP",61620,20,1,1991,20jan1991,19,1,1993,19jan1993,0
"USA",25,607,"Bush","Male",1924,"President of the United States","REP",61620,20,1,1991,20jan1991,19,1,1993,19jan1993,0
"USA",25,4555,"Yeutter","Male",1930,"Secretary of Agriculture","REP",61620,20,1,1991,20jan1991,1,3,1991,01mar1991,0
"USA",25,2508,"Madigan","Male",1936,"Secretary of Agriculture","REP",61620,7,3,1991,07mar1991,19,1,1993,19jan1993,0
"USA",25,1301,"Franklin","Female",1940,"Secretary of Commerce","REP",61620,23,3,1992,23mar1992,19,1,1993,19jan1993,0
"USA",25,2846,"Mosbacher","Male",1927,"Secretary of Commerce","REP",61620,20,1,1991,20jan1991,15,1,1992,15jan1992,0
"USA",25,714,"Cheney","Male",1941,"Secretary of Defense","REP",61620,20,1,1991,20jan1991,19,1,1993,19jan1993,0
"USA",25,58,"Alexander","Male",1940,"Secretary of Education","REP",61620,14,3,1991,14mar1991,19,1,1993,19jan1993,0
"USA",25,4476,"Watkins","Male",1927,"Secretary of Energy","REP",61620,20,1,1991,20jan1991,19,1,1993,19jan1993,0
"USA",25,4072,"Sullivan","Male",1933,"Secretary of Health and Human Services","REP",61620,20,1,1991,20jan1991,19,1,1993,19jan1993,0
"USA",25,2058,"Kemp","Male",1935,"Secretary of Housing and Urban Development","REP",61620,20,1,1991,20jan1991,19,1,1993,19jan1993,0
"USA",25,2596,"Martin","Female",1939,"Secretary of Labor","REP",61620,22,2,1991,22feb1991,19,1,1993,19jan1993,0
"USA",25,228,"Baker","Male",1930,"Secretary of State","REP",61620,20,1,1991,20jan1991,23,8,1992,23aug1992,0
"USA",25,1108,"Eagleburger","Male",1930,"Secretary of State","REP",61620,8,12,1992,08dec1992,19,1,1993,19jan1993,0
"USA",25,3902,"Skinner","Male",1938,"Secretary of Transportation","REP",61620,20,1,1991,20jan1991,13,12,1991,13dec1991,0
"USA",25,654,"Card","Male",1947,"Secretary of Transportation","REP",61620,22,2,1992,22feb1992,19,1,1993,19jan1993,0
"USA",25,3431,"Principi","Male",1944,"Secretary of Veterans Affairs","REP",61620,27,9,1992,27sep1992,19,1,1993,19jan1993,0
"USA",25,986,"Derwinski","Male",1926,"Secretary of Veterans Affairs","REP",61620,20,1,1991,20jan1991,26,9,1992,26sep1992,0
"USA",25,2462,"Lujan","Male",1928,"Secretary of the Interior","REP",61620,20,1,1991,20jan1991,19,1,1993,19jan1993,0
"USA",25,525,"Brady","Male",1930,"Secretary of the Treasury","REP",61620,20,1,1991,20jan1991,19,1,1993,19jan1993,0
"USA",25,1695,"Hills","Female",1934,"United States Trade Representative","REP",61620,20,1,1991,20jan1991,19,1,1993,19jan1993,0
"USA",25,3456,"Quayle","Male",1947,"Vice President of the United States","REP",61620,20,1,1991,20jan1991,19,1,1993,19jan1993,0
"USA",26,3531,"Reno","Female",1938,"Attorney General","DEM",61320,11,3,1993,11mar1993,19,1,1995,19jan1995,0
"USA",26,3577,"Rivlin","Female",1931,"Director of Office of Management and Budget","DEM",61320,28,6,1994,28jun1994,19,1,1995,19jan1995,0
"USA",26,3184,"Panetta","Male",1938,"Director of Office of Management and Budget","DEM",61320,21,1,1993,21jan1993,28,6,1994,28jun1994,0
"USA",26,775,"Clinton","Male",1946,"President of the United States","DEM",61320,20,1,1993,20jan1993,19,1,1995,19jan1995,0
"USA",26,1165,"Espy","Male",1953,"Secretary of Agriculture","DEM",61320,21,1,1993,21jan1993,3,10,1994,03oct1994,0
"USA",26,563,"Brown","Male",1941,"Secretary of Commerce","DEM",61320,21,1,1993,21jan1993,19,1,1995,19jan1995,0
"USA",26,175,"Aspin","Male",1938,"Secretary of Defense","DEM",61320,20,1,1993,20jan1993,6,12,1994,06dec1994,0
"USA",26,3290,"Perry","Male",1927,"Secretary of Defense","DEM",61320,5,2,1994,05feb1994,19,1,1995,19jan1995,0
"USA",26,3568,"Riley","Male",1933,"Secretary of Education","DEM",61320,21,1,1993,21jan1993,19,1,1995,19jan1995,0
"USA",26,3033,"O'Leary","Female",1937,"Secretary of Energy","DEM",61320,21,1,1993,21jan1993,19,1,1995,19jan1995,0
"USA",26,3819,"Shalala","Female",1941,"Secretary of Health and Human Services","DEM",61320,21,1,1993,21jan1993,19,1,1995,19jan1995,0
