ccode,govtseq,portfolio,lastname,firstname,gender,party,marpor,multipleministers,ts_start,ts_end,duration
"USA",1,"Agriculture","Brannan","CF","Male","DEM",61320,1,20jan1947,19jan1949,731
"USA",1,"Agriculture","Anderson","CP","Male","DEM",61320,1,20jan1947,19jan1949,731
"USA",1,"Attorney General","Clark","TC","Male","DEM",61320,0,20jan1947,19jan1949,731
"USA",1,"Commerce","Harriman","WA","Male","DEM",61320,1,20jan1947,19jan1949,731
"USA",1,"Commerce","Sawyer","C","Male","DEM",61320,1,20jan1947,19jan1949,731
"USA",1,"Defense","Forrestal","JV","Male","DEM",61320,0,20jan1947,19jan1949,731
"USA",1,"European Aid","Hoffman","PG ","Male","DEM",61320,0,20jan1947,19jan1949,731
"USA",1,"Interior","Krug","JA","Male","DEM",61320,0,20jan1947,19jan1949,731
"USA",1,"Labor","Tobin","MJ","Male","DEM",61320,1,20jan1947,19jan1949,731
"USA",1,"Labor","Schwellenbach","LB","Male","DEM",61320,1,20jan1947,19jan1949,731
"USA",1,"Postmaster General","Hannegan","RE","Male","DEM",61320,0,20jan1947,19jan1949,731
"USA",1,"Postmaster General","Donaldson","JM","Male","DEM",61320,0,20jan1947,19jan1949,731
"USA",1,"President","Truman","HS","Male","DEM",61320,0,20jan1947,19jan1949,731
"USA",1,"Secretary of State","Marshall","GC","Male","NONA",,0,20jan1947,19jan1949,731
"USA",1,"Treasury","Snyder","JW","Male","DEM",61320,0,20jan1947,19jan1949,731
"USA",1,"Vice President","Barkley","AW","Male","DEM",61320,0,20jan1947,19jan1949,731
"USA",2,"Agriculture","Brannan","CF","Male","DEM",61320,0,20jan1949,19jan1951,730
"USA",2,"Attorney General","Clark","TC","Male","DEM",61320,1,20jan1949,19jan1951,730
"USA",2,"Attorney General","McGrath","JH","Male","DEM",61320,1,20jan1949,19jan1951,730
"USA",2,"Commerce","Sawyer","C","Male","DEM",61320,0,20jan1949,19jan1951,730
"USA",2,"Defense","Forrestal","JV","Male","DEM",61320,1,20jan1949,19jan1951,730
"USA",2,"Defense","Marshall","GC","Male","NONA",,1,20jan1949,19jan1951,730
"USA",2,"Defense","Johnson","LA ","Male","DEM",61320,1,20jan1949,19jan1951,730
"USA",2,"European Aid","Hoffman","PG ","Male","DEM",61320,1,20jan1949,19jan1951,730
"USA",2,"European Aid","Foster","WC","Male","DEM",61320,1,20jan1949,19jan1951,730
"USA",2,"Interior","Krug","JA","Male","DEM",61320,1,20jan1949,19jan1951,730
"USA",2,"Interior","Chapman","OL","Male","DEM",61320,1,20jan1949,19jan1951,730
"USA",2,"Labor","Tobin","MJ","Male","DEM",61320,0,20jan1949,19jan1951,730
"USA",2,"Postmaster General","Donaldson","JM","Male","DEM",61320,0,20jan1949,19jan1951,730
"USA",2,"President","Truman","HS","Male","DEM",61320,0,20jan1949,19jan1951,730
"USA",2,"Secretary of State","Acheson","DG","Male","DEM",61320,0,20jan1949,19jan1951,730
"USA",2,"Treasury","Snyder","JW","Male","DEM",61320,0,20jan1949,19jan1951,730
"USA",2,"Vice President","Barkley","AW","Male","DEM",61320,0,20jan1949,19jan1951,730
"USA",3,"Agriculture","Brannan","CF","Male","DEM",61320,0,20jan1951,19jan1953,731
"USA",3,"Attorney General","McGrath","JH","Male","DEM",61320,1,20jan1951,19jan1953,731
"USA",3,"Attorney General","McGranery","JP","Male","DEM",61320,1,20jan1951,19jan1953,731
"USA",3,"Commerce","Sawyer","C","Male","DEM",61320,0,20jan1951,19jan1953,731
"USA",3,"Defense","Marshall","GC","Male","NONA",,1,20jan1951,19jan1953,731
"USA",3,"Defense","Lovett","RA","Male","REP",61620,1,20jan1951,19jan1953,731
"USA",3,"European Aid","Foster","WC","Male","DEM",61320,0,20jan1951,19jan1953,731
"USA",3,"Interior","Chapman","OL","Male","DEM",61320,0,20jan1951,19jan1953,731
"USA",3,"Labor","Tobin","MJ","Male","DEM",61320,0,20jan1951,19jan1953,731
