year,cat,perc,subname,subcat,catname
1939,1,45.296001,"Region","Midwest","perc1"
1939,2,6.5630002,"Region","Midwest","perc2"
1939,3,.085,"Region","Midwest","perc3"
1939,4,.69499999,"Region","Midwest","perc4"
1939,5,5.2210002,"Region","Midwest","perc5"
1939,6,32.737,"Region","Midwest","perc6"
1939,7,0,"Region","Midwest","perc7"
1939,8,.028,"Region","Midwest","perc8"
1939,9,1.89,"Region","Midwest","perc9"
1939,10,4.1620002,"Region","Midwest","perc10"
1939,11,.75700003,"Region","Midwest","perc11"
1939,12,.089,"Region","Midwest","perc12"
1939,13,1.868,"Region","Midwest","perc13"
1939,14,.058,"Region","Midwest","perc14"
1939,15,.55000001,"Region","Midwest","perc15"
1939,1,40.851002,"Region","West","perc1"
1939,2,9.6689997,"Region","West","perc2"
1939,3,.23100001,"Region","West","perc3"
1939,4,.29699999,"Region","West","perc4"
1939,5,4.5609999,"Region","West","perc5"
1939,6,33.75,"Region","West","perc6"
1939,7,.227,"Region","West","perc7"
1939,8,.077,"Region","West","perc8"
1939,9,1.066,"Region","West","perc9"
1939,10,5.9229999,"Region","West","perc10"
1939,11,.72600001,"Region","West","perc11"
1939,12,.229,"Region","West","perc12"
1939,13,1.836,"Region","West","perc13"
1939,14,.15000001,"Region","West","perc14"
1939,15,.40700001,"Region","West","perc15"
1939,1,40.501999,"Region","South","perc1"
1939,2,6.881,"Region","South","perc2"
1939,3,.40000001,"Region","South","perc3"
1939,4,1.0930001,"Region","South","perc4"
1939,5,7.1729999,"Region","South","perc5"
1939,6,34.458,"Region","South","perc6"
1939,7,.084,"Region","South","perc7"
1939,8,.162,"Region","South","perc8"
1939,9,2.0339999,"Region","South","perc9"
1939,10,3.2539999,"Region","South","perc10"
1939,11,.98000002,"Region","South","perc11"
1939,12,.162,"Region","South","perc12"
1939,13,1.807,"Region","South","perc13"
1939,14,0,"Region","South","perc14"
1939,15,1.007,"Region","South","perc15"
1939,1,49.616001,"Region","Northeast","perc1"
1939,2,5.9710002,"Region","Northeast","perc2"
1939,3,.23899999,"Region","Northeast","perc3"
1939,4,.27399999,"Region","Northeast","perc4"
1939,5,2.868,"Region","Northeast","perc5"
1939,6,34.733002,"Region","Northeast","perc6"
1939,7,.033,"Region","Northeast","perc7"
1939,8,0,"Region","Northeast","perc8"
1939,9,.82599998,"Region","Northeast","perc9"
1939,10,3.654,"Region","Northeast","perc10"
1939,11,.498,"Region","Northeast","perc11"
1939,12,.241,"Region","Northeast","perc12"
1939,13,.66000003,"Region","Northeast","perc13"
1939,14,.099,"Region","Northeast","perc14"
1939,15,.28799999,"Region","Northeast","perc15"
1940,1,23.665001,"Region","Midwest","perc1"
1940,2,3.47,"Region","Midwest","perc2"
1940,3,.089,"Region","Midwest","perc3"
1940,4,.178,"Region","Midwest","perc4"
1940,5,11.388,"Region","Midwest","perc5"
1940,6,45.374001,"Region","Midwest","perc6"
1940,7,.44499999,"Region","Midwest","perc7"
1940,8,0,"Region","Midwest","perc8"
1940,9,.88999999,"Region","Midwest","perc9"
1940,10,11.744,"Region","Midwest","perc10"
1940,11,.26699999,"Region","Midwest","perc11"
1940,12,.089,"Region","Midwest","perc12"
1940,13,2.402,"Region","Midwest","perc13"
1940,14,0,"Region","Midwest","perc14"
1940,15,0,"Region","Midwest","perc15"
1940,1,23.218,"Region","West","perc1"
1940,2,2.529,"Region","West","perc2"
1940,3,0,"Region","West","perc3"
1940,4,0,"Region","West","perc4"
1940,5,12.874,"Region","West","perc5"
1940,6,43.448002,"Region","West","perc6"
1940,7,.46000001,"Region","West","perc7"
1940,8,0,"Region","West","perc8"
1940,9,2.529,"Region","West","perc9"
1940,10,11.954,"Region","West","perc10"
1940,11,.46000001,"Region","West","perc11"
1940,12,0,"Region","West","perc12"
1940,13,2.529,"Region","West","perc13"
1940,14,0,"Region","West","perc14"
1940,15,0,"Region","West","perc15"
1940,1,16.995001,"Region","South","perc1"
1940,2,3.2019999,"Region","South","perc2"
1940,3,0,"Region","South","perc3"
1940,4,.493,"Region","South","perc4"
1940,5,17.652,"Region","South","perc5"
1940,6,47.865002,"Region","South","perc6"
1940,7,0,"Region","South","perc7"
1940,8,0,"Region","South","perc8"
1940,9,3.2019999,"Region","South","perc9"
1940,10,7.882,"Region","South","perc10"
1940,11,.24600001,"Region","South","perc11"
1940,12,0,"Region","South","perc12"
1940,13,2.4630001,"Region","South","perc13"
1940,14,0,"Region","South","perc14"
1940,15,0,"Region","South","perc15"
1940,1,28.396999,"Region","Northeast","perc1"
1940,2,4.0339999,"Region","Northeast","perc2"
1940,3,.106,"Region","Northeast","perc3"
1940,4,.106,"Region","Northeast","perc4"
1940,5,13.447,"Region","Northeast","perc5"
1940,6,42.285999,"Region","Northeast","perc6"
1940,7,.106,"Region","Northeast","perc7"
1940,8,0,"Region","Northeast","perc8"
1940,9,.58399999,"Region","Northeast","perc9"
1940,10,8.599,"Region","Northeast","perc10"
1940,11,.106,"Region","Northeast","perc11"
1940,12,.212,"Region","Northeast","perc12"
1940,13,1.911,"Region","Northeast","perc13"
1940,14,0,"Region","Northeast","perc14"
1940,15,.106,"Region","Northeast","perc15"
1941,1,12.059,"Region","Midwest","perc1"
1941,2,0,"Region","Midwest","perc2"
1941,3,0,"Region","Midwest","perc3"
1941,4,0,"Region","Midwest","perc4"
1941,5,12.18,"Region","Midwest","perc5"
1941,6,66.751999,"Region","Midwest","perc6"
1941,7,0,"Region","Midwest","perc7"
1941,8,0,"Region","Midwest","perc8"
1941,9,1.063,"Region","Midwest","perc9"
1941,10,3.7709999,"Region","Midwest","perc10"
1941,11,0,"Region","Midwest","perc11"
1941,12,0,"Region","Midwest","perc12"
1941,13,4.1750002,"Region","Midwest","perc13"
1941,14,0,"Region","Midwest","perc14"
1941,15,0,"Region","Midwest","perc15"
1941,1,14.173,"Region","West","perc1"
1941,2,0,"Region","West","perc2"
1941,3,0,"Region","West","perc3"
