year,perc1,perc2,perc3,perc4,perc5,perc6,perc7,perc8,perc9,perc10,perc11,perc12,perc13,perc14,perc15
1939,45.401001,6.8610001,.2,.55400002,4.6290002,33.779999,.056,.044,1.432,4.1230001,.69999999,.168,1.461,.078,.51200002
1940,24.200001,3.474,.069,.17200001,13.152,44.432999,.27500001,0,1.359,10.217,.241,.103,2.27,0,.034
1941,12.879,0,0,0,13.4,66.241997,0,0,.94599998,3.033,0,0,3.5,0,0
1942,23.811001,7.8439999,1.226,0,7.6599998,26.950001,0,0,0,5.5900002,0,0,15.982,0,10.937
1943,31.9125,11.4735,.99999997,.1935,5.0469999,29.288501,.27399999,0,.1935,4.0615001,.58099997,0,8.1185002,0,7.8570001
1944,40.014,15.103,.77399999,.38699999,2.434,31.627001,.54799998,0,.38699999,2.533,1.1619999,0,.255,0,4.777
1945,50.209999,9.6780005,2.4119999,.234,3.1340001,23.856001,2.3929999,0,1.698,1.4,1.289,0,3.3670001,.32800001,0
1946,56.292,6.9450002,.048,0,10.823,16.346001,3.0209999,.37200001,.021,.054,.004,0,6.0159998,.058,0
1947,25.962,11.48,.017,.31400001,3.5339999,34.423,.58099997,3.325,.043,1.281,.008,0,7.6220002,0,11.411
1948,20.652,5.3540001,1.567,.123,1.823,58.528,.73500001,.12,0,8.2709999,0,0,2.825,0,0
1949,28.261999,7.0970001,1.194,.095,3.0580001,27.025999,.75599998,1.178,1.115,1.712,.257,0,3.8710001,0,24.378
1950,20.152,2.539,.82099998,.11,8.3249998,36.425999,1.466,.122,.50300002,6.9289999,.049,0,4.5599999,0,17.999001
1951,23.502001,1.057,.219,.66000003,1.024,56.978001,0,.117,2.7679999,3.4660001,.22,0,8.5780001,0,1.41
1952,20.809999,2.4920001,.55500001,.255,8.0030003,52.463001,0,.97000003,.53500003,9.0010004,.012,0,2.6730001,0,2.2309999
1953,39.634998,8.5710001,2.3050001,.24699999,20.886,14.268,.60500002,0,0,8.2700005,0,0,5.2129998,0,0
1954,29.572001,3.8199999,2.53,.57099998,6.316,27.937,.60900003,.69700003,.68699998,12.505,.79100001,0,3.1289999,0,10.836
1955,7.8829999,3.832,4.8610001,0,4.9629998,59.799999,0,3.477,0,8.3850002,.61500001,0,6.1849999,0,0
1956,15.933,2.198,12.851,0,11.327,46.375999,0,.036,.77399999,3.023,1.035,0,6.1960001,.23899999,.011
1957,18.284,4.1500001,14.554,.13,7.2449999,38.07,0,.39899999,2.253,2.905,2.7,0,.51999998,0,8.79
1958,25.722,2.8640001,10.519,.055,3.4159999,44.201,.037,.037,.84600002,.70300001,1.487,0,3.8900001,1.429,4.7950001
1959,26.716999,1.385,7.4850001,0,3.6489999,47.667999,0,0,0,.21699999,2.04,0,6.237,2.3010001,2.3010001
1960,13.371,2.01,6.9499998,1.36,4.3699999,60.549,.175,.068,.68900001,3.1789999,1.063,0,3.9000001,.685,1.631
1961,19.031,1.058,4.8959999,.042,2.2360001,65.047997,0,.049,2.3199999,.153,.736,0,2.9460001,.008,1.477
1962,12.583,1.186,7.4780002,.047,8.4879999,54.502998,.12800001,.106,1.9349999,.39899999,1.4119999,0,4.6370001,0,7.099
1963,9.4820004,0,49.455002,0,7.323,19.738001,0,0,0,0,.324,0,6.434,0,7.2449999
1964,9.2229996,5.1810002,35.583,1.1339999,1.092,29.138,.226,.04,.838,6.7940001,.87900001,0,5.1620002,1.45,3.26
1965,6.9070001,3.052,22.583,.85500002,.84299999,51.181,0,.31600001,3.5710001,1.844,2.1140001,0,2.085,0,4.6490002
1966,16.375999,3.1289999,14.159,.76899999,1.097,51.868999,.036,.208,3.26,2.454,1.2410001,0,.86000001,.63200003,3.911
1967,11.063,2.4389999,7.8730001,15.482,.69800001,50.967999,0,.324,3.947,1.893,1.574,0,1.3660001,0,2.375
1968,7.6939998,3.927,14.107,17.205999,1.033,43.710999,.055,.107,2.7190001,2.572,4.0019999,.035,.77399999,.264,1.794
1969,7.4759998,5.4489999,13.431,8.6730003,.99000001,51.519001,0,.064,2.1930001,.84200001,5.4840002,0,1.66,0,2.2179999
1970,12.061,6.8709998,11.931,12.085,.50599998,33.463001,.053,4.6560001,3.5940001,2.0739999,5.474,0,4.487,.171,2.5739999
1971,25.538,7.2280002,7.7589998,10.034,.131,29.881001,0,4.9400001,4.4310002,2.1570001,3.9979999,0,1.465,0,2.441
1972,22.746,7.007,5.1220002,11.977,.31,32.230999,.034,3.5539999,5.118,3.5999999,3.516,0,2.24,0,2.5439999
1973,39.957001,5.5310001,3.6670001,12.853,.86199999,12.979,0,4.2880001,4.9250002,8.5830002,1.347,0,1.998,0,3.0079999
1974,59.264,1.892,.69,4.3740001,.59200001,3.227,.02,8.4680004,2.8239999,11.392,.63,.003,1.483,.426,4.7140002
1975,62.766998,1.456,.87099999,5.6259999,1.4,3.4159999,0,5.5560002,5.809,7.4819999,.91299999,0,1.848,0,2.855
1976,61.816002,6.447,.81800002,7.1170001,2.825,5.6729999,.221,4.4159999,3.4549999,3.9879999,.197,0,1.569,0,1.459
1977,47.105,2.9860001,1.7869999,7.4330001,3.2720001,7.1240001,0,15.594,4.7509999,2.221,.192,0,2.0650001,0,5.4689999
1978,65.101997,2.7279999,1.103,4.1490002,2.385,6.0170002,.131,7.8340001,3.687,2.783,.25,.024,1.058,0,2.7490001
1979,52.382999,1.95,.428,2.493,1.158,5.671,0,21.031,5.5570002,4.2290001,.37799999,0,1.589,0,3.1340001
1980,59.132999,1.021,.15899999,1.22,1.033,19.665001,.067,5.3709998,1.846,3.9909999,.071,.002,3.003,0,3.418
1981,68.517998,2.579,.29699999,2.793,1.24,7.8520002,0,3.2079999,3.152,3.3199999,.021,0,2.5669999,0,4.454
1982,68.532997,3.6500001,.182,2.0009999,2.4059999,9.1379995,.066,.74599999,2.477,2.816,.007,0,4.381,0,3.595
1983,56.93,3.2290001,.108,1.725,2.948,19.271999,.13600001,.75700003,4.1500001,2.635,0,0,3.813,0,4.2969999
1984,40.127998,5.9229999,.126,1.722,8.4259996,24.013,.081,.29100001,4.527,3.3789999,0,0,5.4089999,.15099999,5.823
1985,28.76,9.0229998,.48800001,5.9390001,14.257,22.570999,.86799997,.92799997,5.1040001,1.92,0,0,6.6919999,.551,2.8989999
1986,29.200001,13.066,.27900001,9.8940001,9.7709999,24.415001,1.212,1.1339999,4.9520001,2.2390001,.089,.25799999,2.6029999,.44400001,.44400001
1987,25.542999,10.314,.61699998,9.0649996,12.542,20.979,2.1819999,2.517,4.9070001,3.6619999,.098,.133,4.2420001,.88599998,2.3139999
1988,16.547001,6.7280002,.62699997,24.948,11.227,12.049,2.184,6.256,6.348,2.9159999,.17299999,.104,6.757,0,3.135
1989,11.644,10.798,.41,42.313999,9.6689997,4.323,.89999998,8.4040003,3.6389999,1.455,0,.027,3.612,.574,2.23
1990,16.072001,13.566,.77700001,25.469999,9.8439999,10.808,1.051,5.8249998,3.997,2.7520001,.075,.018,5.2340002,.498,4.0139999
1991,31.663,15.612,.375,13.305,6.2750001,12.134,.96600002,4.3189998,5.0960002,1.1569999,0,0,6.9920001,.088,2.017
