ts,numsurveys,numrespondents,mipds_101,mipds_102,mipds_103,mipds_105,mipds_109,mipds_110,mipds_203,mipds_204,mipds_207,mipds_308,mipds_309,mipds_401,mipds_404,mipds_503,mipds_509,mipds_601,mipds_602,mipds_603,mipds_605,mipds_610,mipds_804,mipds_901,mipds_1001,mipds_1011,mipds_1012,mipde_101,mipde_102,mipde_103,mipde_105,mipde_108,mipde_109,mipde_110,mipde_501,mipde_502,mipde_504,mipdfp_506,mipdfp_601,mipdfp_602,mipdfp_603,mipdfp_604,mipdfp_605,mipdfp_606,mipdfp_608,mipdfp_610,mipdfp_701,mipdfp_702,mipdsp_201,mipdsp_202,mipdsp_203,mipdsp_204,mipdsp_205,mipdsp_207,mipdsp_208,mipdsp_210,mipdsp_211,mipdsp_212,mipdsp_217,mipd_1,mipd_2,mipd_3,mipd_4,mipd_5,mipd_6,mipd_7,mipd_8,mipd_9,mipd_10,mipd_11,mipd_12,mipd_13,mipd_14,mipd_15,cap_1,cap_2,cap_3,cap_4,cap_5,cap_6,cap_7,cap_8,cap_9,cap_10,cap_12,cap_13,cap_14,cap_15,cap_16,cap_17,cap_18,cap_19,cap_20,cap_21,cap_22,cap_23,cap_24
1939,3,8989,2.248,32.674,.089,2.768,1.275,3.482,.172,0,1.294,.089,.067,.19,0,0,.173,21.774,1.099,0,10.874,0,0,.423,.452,1.891,.974,2.248,32.674,.089,2.768,.156,1.275,3.482,1.124,1.124,.46,.059,21.774,1.099,0,0,10.874,0,0,.033,0,.056,.134,2.8,.172,0,.769,1.294,.715,0,.978,0,0,45.401001,6.8610001,.2,.55400002,4.6290002,33.779999,.056,.044,1.432,4.1230001,.69999999,.168,1.461,.078,.51200002,47.827,.368,.227,1.748,.167,.17200001,0,0,.17299999,.034,1.072,4.9510002,.97799999,.78200001,12.032,0,.056,21.808001,4.1230001,0,2.8929999,.078,.51200002
1940,1,2907,2.718,17.595,0,.378,.31,1.445,.069,.034,1.789,0,0,0,0,0,.791,11.249,18.324,0,14.345,0,0,.292,.877,7.293,.74,2.718,17.595,0,.378,.069,.31,1.445,.447,.55,10.503,10.297,11.249,18.324,0,0,14.345,0,0,.516,0,.275,.31,.722,.069,.034,.069,1.789,.344,0,.034,0,.103,24.200001,3.474,.069,.17200001,13.152,44.432999,.27500001,0,1.359,10.217,.241,.103,2.27,0,.034,25.334999,.17200001,.206,.86000001,.17200001,.069,0,0,.82599998,.103,.138,2.855,.034,.34400001,42.965,0,.27500001,11.765,10.217,0,3.6289999,0,.034
1941,2,5809,0,1.434,2.167,.198,2.15,6.121,0,0,0,0,0,0,0,0,0,29.617,0,0,23.822,0,0,.946,0,2.525,.508,0,1.434,2.167,.198,.81,2.15,6.121,0,.302,13.097,13.097,29.617,0,0,0,23.822,0,.975,11.828,0,0,0,0,0,0,0,0,0,0,0,0,0,12.879,0,0,0,13.4,66.241997,0,0,.94599998,3.033,0,0,3.5,0,0,12.372,0,0,0,.81,0,0,0,0,0,0,0,0,0,36.918999,0,0,42.419998,3.033,0,4.4460001,0,0
1942,1,2935,3.923,9.415,6.55,3.923,0,0,1.002,0,0,0,1.226,0,0,0,0,0,0,0,20.425,0,0,0,0,4.658,0,3.923,9.415,6.55,3.923,0,0,0,0,0,0,0,2.627,0,0,0,20.425,0,3.898,0,0,0,1.226,1.226,1.002,0,0,0,0,0,0,0,4.391,23.811001,7.8439999,1.226,0,7.6599998,26.950001,0,0,0,5.5900002,0,0,15.982,0,10.937,23.811001,1.226,0,7.6599998,0,1.002,0,0,0,0,0,2.451,0,0,24.816999,0,0,6.5250001,5.5900002,0,15.982,0,10.937
1943,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9125,11.4735,.99999997,.1935,5.0469999,29.288501,.27399999,0,.1935,4.0615001,.58099997,0,8.1185002,0,7.8570001,31.661001,.99999997,.1935,4.652,.3915,.69449998,0,0,0,0,.58099997,2.1515,.95550001,.2545,31.5265,0,0,5.7085001,4.0615001,0,8.3120002,0,7.8570001
1944,1,2554,1.135,27.339,2.271,2.617,.346,4.667,.387,0,.346,0,.774,0,0,0,0,2.819,0,0,27.282,.294,0,0,.298,1.147,.255,1.135,27.339,2.271,2.617,.783,.346,4.667,.346,.444,0,0,2.819,0,0,0,27.282,0,1.231,.294,.548,0,1.119,0,.387,0,0,.346,0,0,1.911,0,11.341,40.014,15.103,.77399999,.38699999,2.434,31.627001,.54799998,0,.38699999,2.533,1.1619999,0,.255,0,4.777,39.511002,.77399999,.38699999,1.6440001,.78299999,.38699999,0,0,0,0,1.1619999,1.852,1.911,.509,38.236,0,0,4.8920002,2.533,0,.64200002,0,4.777
1945,3,8679,0,29.344,3.859,2.068,0,13.519,.155,0,0,0,2.412,.234,0,0,0,1.607,0,.625,21.133,0,0,.046,.078,.882,.22,0,29.344,3.859,2.068,1.2,0,13.519,0,.55,.725,.097,1.96,0,.625,0,21.133,0,.137,0,2.342,.051,0,0,.155,0,0,0,0,0,.565,0,8.958,50.209999,9.6780005,2.4119999,.234,3.1340001,23.856001,2.3929999,0,1.698,1.4,1.289,0,3.3670001,.32800001,0,49.966999,2.4119999,0,1.859,1.2,.155,0,0,0,0,1.522,0,.565,.22,30.813999,0,.061,4.4289999,1.4,0,5.066,.32800001,0
1946,3,8633,.433,4.022,29.892,.047,.37,20.371,0,0,0,0,.048,0,0,0,.013,7.056,0,1.794,5.742,1.754,.372,0,.031,0,0,.433,4.022,29.892,.047,1.14,.37,20.371,.433,0,.445,.411,7.056,0,1.794,0,5.742,0,0,1.754,3.021,0,0,0,0,0,0,0,0,0,5.888,0,1.057,56.292,6.9450002,.048,0,10.823,16.346001,3.0209999,.37200001,.021,.054,.004,0,6.0159998,.058,0,55.602001,.048,0,9.9329996,1.14,0,0,.37200001,.013,0,.004,0,5.888,.016,9.0039997,0,0,11.83,.054,0,6.0380001,.058,0
1947,4,8348,.405,.051,16.598,2.602,.942,5.363,.524,0,6.594,0,.017,0,0,0,0,11.864,0,1.079,15.971,1.594,3.325,0,.265,.265,0,.405,.051,16.598,2.602,0,.942,5.363,.405,0,.667,.667,11.864,0,1.079,0,15.971,0,3.914,1.594,.581,0,0,0,.524,0,0,6.594,0,0,4.362,0,0,25.962,11.48,.017,.31400001,3.5339999,34.423,.58099997,3.325,.043,1.281,.008,0,7.6220002,0,11.411,26.367001,.017,0,2.4619999,0,.52399999,0,3.325,0,0,.32100001,6.5939999,4.362,0,17.718,0,0,17.954,1.281,0,7.665,0,11.411
1948,2,5848,0,1.23,9.857,3.611,2.38,3.574,0,0,.906,0,1.567,0,0,0,0,19.425,.222,.12,29.871,6.532,.12,0,1.23,2.798,0,0,1.23,9.857,3.611,0,2.38,3.574,0,0,1.823,1.823,19.425,.222,.12,0,29.871,0,2.359,6.532,.735,0,1.567,0,0,0,0,.906,0,0,2.881,0,0,20.652,5.3540001,1.567,.123,1.823,58.528,.73500001,.12,0,8.2709999,0,0,2.825,0,0,20.652,1.567,0,0,0,0,0,.12,0,0,.123,2.473,2.881,0,32.035999,0,0,29.051001,8.2709999,0,2.825,0,0
