ts,numsurveys,numrespondents,mipds_101,mipds_102,mipds_103,mipds_105,mipds_109,mipds_110,mipds_203,mipds_204,mipds_207,mipds_308,mipds_309,mipds_401,mipds_404,mipds_503,mipds_509,mipds_601,mipds_602,mipds_603,mipds_605,mipds_610,mipds_804,mipds_901,mipds_1001,mipds_1011,mipds_1012,mipde_101,mipde_102,mipde_103,mipde_105,mipde_108,mipde_109,mipde_110,mipde_501,mipde_502,mipde_504,mipdfp_506,mipdfp_601,mipdfp_602,mipdfp_603,mipdfp_604,mipdfp_605,mipdfp_606,mipdfp_608,mipdfp_610,mipdfp_701,mipdfp_702,mipdsp_201,mipdsp_202,mipdsp_203,mipdsp_204,mipdsp_205,mipdsp_207,mipdsp_208,mipdsp_210,mipdsp_211,mipdsp_212,mipdsp_217,mipd_1,mipd_2,mipd_3,mipd_4,mipd_5,mipd_6,mipd_7,mipd_8,mipd_9,mipd_10,mipd_11,mipd_12,mipd_13,mipd_14,mipd_15,cap_1,cap_2,cap_3,cap_4,cap_5,cap_6,cap_7,cap_8,cap_9,cap_10,cap_12,cap_13,cap_14,cap_15,cap_16,cap_17,cap_18,cap_19,cap_20,cap_21,cap_22,cap_23,cap_24
1939m1,1,2818,3.194,42.477,.106,3.265,1.739,5.216,.195,0,.035,.284,.106,.248,0,0,.355,.39,2.91,0,11.32,0,0,.745,1.015,3.258,1.136,3.194,42.477,.106,3.265,.284,1.739,5.216,1.561,1.561,.852,0,.39,2.91,0,0,11.32,0,0,0,0,.035,.071,3.664,.195,0,.958,.035,1.029,0,1.623,0,0,60.432999,7.5760002,.53200001,.67400002,6.21,14.62,.035,.142,1.987,6.5650001,.90499997,.28400001,.035,0,0,64.087997,.81599998,.56800002,1.881,.28400001,.19499999,0,0,.35499999,.071,1.153,4.658,1.623,1.0650001,14.23,0,.035,.38999999,6.5650001,0,2.023,0,0
1939m2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.640666,6.7136668,.36566667,.58800002,5.7923333,21.566666,.02333333,.09466667,1.704,5.083,.92833332,.24366667,.76366665,0,.49100002,58.838665,.60899999,.42200001,2.0666667,.21100001,.13,0,0,.26933333,.05833333,1.189,4.3026667,1.3203333,.95100003,13.372666,0,.02333333,8.1943332,5.083,0,2.4683333,0,.49100002
1939m3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.848333,5.8513333,.19933333,.50200001,5.3746665,28.513333,.01166667,.04733333,1.421,3.601,.95166667,.20333334,1.4923333,0,.98200003,53.589333,.40199999,.276,2.2523333,.138,.065,0,0,.18366666,.04566667,1.225,3.9473333,1.0176667,.83700001,12.515333,0,.01166667,15.998666,3.601,0,2.9136666,0,.98200003
1939m4,1,3122,2.308,34.29,0,2.941,1.284,2.275,0,0,.666,0,.033,.13,0,0,.098,23.803,.195,0,11.463,0,0,.358,.13,.663,1.17,2.308,34.29,0,2.941,.065,1.284,2.275,1.154,1.154,.114,0,23.803,.195,0,0,11.463,0,0,0,0,0,.033,2.73,0,0,.195,.666,.65,0,.715,0,0,46.056,4.9889998,.033,.41600001,4.9569998,35.459999,0,0,1.138,2.119,.97500002,.163,2.221,0,1.473,48.34,.19499999,.13,2.438,.065,0,0,0,.098,.033,1.261,3.592,.71499997,.72299999,11.658,0,0,23.802999,2.119,0,3.359,0,1.473
1939m5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.882,5.435857,.03771429,.44014286,4.6534284,37.503999,.01871429,0,1.1495714,2.3761428,.86857145,.14914286,2.1895714,.03285714,1.2625715,46.044714,.18585714,.113,2.2208571,.07914286,.04685714,0,0,.09571428,.02828571,1.1957143,4.0238571,.7055714,.70285714,11.475857,0,.01871429,26.053856,2.3761428,0,3.3391428,.03285714,1.2625715
1939m6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.708,5.8827141,.04242857,.46428571,4.349857,39.548,.03742857,0,1.1611429,2.6332857,.76214288,.13528572,2.1581428,.06571429,1.0521429,43.749428,.17671428,.096,2.0037143,.09328571,.09371429,0,0,.09342857,.02357143,1.1304286,4.4557142,.69614284,.68271428,11.293714,0,.03742857,28.304713,2.6332857,0,3.3192857,.06571429,1.0521429
1939m7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.534,6.3295712,.04714286,.48842857,4.0462856,41.592,.05614286,0,1.1727143,2.8904285,.6557143,.12142857,2.1267142,.09857143,.84171431,41.454142,.16757142,.079,1.7865714,.10742857,.14057143,0,0,.09114286,.01885714,1.0651429,4.8875713,.68671427,.66257143,11.111572,0,.05614286,30.55557,2.8904285,0,3.2994286,.09857143,.84171431
1939m8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.36,6.7764283,.05185714,.51257142,3.7427142,43.636,.07485714,0,1.1842857,3.1475714,.54928573,.10757143,2.0952857,.13142857,.63128574,39.158857,.15842857,.062,1.5694285,.12157143,.18742858,0,0,.08885714,.01414286,.99985717,5.3194284,.6772857,.64242858,10.929429,0,.07485714,32.806427,3.1475714,0,3.2795714,.13142857,.63128574
1939m9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.185999,7.2232854,.05657143,.53671427,3.4391428,45.680001,.09357143,0,1.1958571,3.4047142,.44285715,.09371429,2.0638571,.16428572,.42085716,36.863571,.14928571,.045,1.3522857,.13571429,.23428572,0,0,.08657143,.00942857,.93457145,5.7512856,.66785713,.62228572,10.747286,0,.09357143,35.057284,3.4047142,0,3.2597143,.16428572,.42085716
1939m10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.011999,7.6701425,.06128571,.56085713,3.1355714,47.724001,.11228571,0,1.2074286,3.6618571,.33642858,.07985714,2.0324285,.19714286,.21042858,34.568285,.14014285,.028,1.1351428,.14985715,.28114286,0,0,.08428572,.00471429,.86928574,6.1831427,.65842856,.60214287,10.565143,0,.11228571,37.308141,3.6618571,0,3.2398572,.19714286,.21042858
