studyid,prev_ts,next_ts,fw_start,fw_end,sample,mipid,weightavailable,unique_mip,respondents,mipd1,mipd2,mipd3,mipd4,mipd5,mipd6,mipd7,mipd8,mipd9,mipd10,mipd11,mipd12,mipd13,mipd14,mipd15,mipds101,mipds102,mipds103,mipds105,mipds109,mipds110,mipds203,mipds204,mipds207,mipds308,mipds309,mipds401,mipds404,mipds503,mipds509,mipds601,mipds602,mipds603,mipds605,mipds610,mipds804,mipds901,mipds1001,mipds1011,mipds1012,mipde101,mipde102,mipde103,mipde105,mipde108,mipde109,mipde110,mipde501,mipde502,mipde504,mipdfp506,mipdfp601,mipdfp602,mipdfp603,mipdfp604,mipdfp605,mipdfp606,mipdfp608,mipdfp610,mipdfp701,mipdfp702,mipdsp201,mipdsp202,mipdsp203,mipdsp204,mipdsp205,mipdsp207,mipdsp208,mipdsp210,mipdsp211,mipdsp212,mipdsp217,cap1,cap2,cap3,cap4,cap5,cap6,cap7,cap8,cap9,cap10,cap12,cap13,cap14,cap15,cap16,cap17,cap18,cap19,cap20,cap21,cap22,cap23,cap24
"usaipo1939-0143",03nov1936,05nov1940,09jan1939,14jan1939,"National Adults",2,"None",69,2818,60.43293,7.576295,.5322924,.6742371,6.210078,14.6203,.0354862,.1419446,1.987225,6.564939,.9048971,.2838893,.0354862,0,0,3.193754,42.47693,.1064585,3.264727,1.738822,5.216465,.1951739,0,.0354862,.2838893,.1064585,.2484031,0,0,.3548616,.3903478,2.909865,0,11.32009,0,0,.7452094,1.014904,3.25763,1.135557,3.193754,42.47693,.1064585,3.264727,.2838893,1.738822,5.216465,1.561391,1.561391,.8516678,0,.3903478,2.909865,0,0,11.32009,0,0,0,0,.0354862,.0709723,3.663946,.1951739,0,.9581263,.0354862,1.029099,0,1.623492,0,0,64.08801,.8161817,.5677786,1.880767,.2838893,.1951739,0,0,.3548616,.0709723,1.1533,4.657558,1.623492,1.064585,14.22995,0,.0354862,.3903478,6.564939,0,2.022711,0,0
"usaipo1939-0155",03nov1936,05nov1940,21apr1939,26apr1939,"National Adults",2,"None",47,3122,46.05634,4.989166,.0325027,.4160347,4.956663,35.46045,0,0,1.137595,2.119176,.9750812,.1625135,2.221019,0,1.473456,2.307692,34.29036,0,2.941495,1.283857,2.27519,0,0,.6663055,0,.0325027,.1300108,0,0,.0975081,23.80282,.1950163,0,11.46262,0,0,.3575298,.1300108,.6630552,1.170097,2.307692,34.29036,0,2.941495,.0650054,1.283857,2.27519,1.153846,1.153846,.1137595,0,23.80282,.1950163,0,0,11.46262,0,0,0,0,0,.0325027,2.730227,0,0,.1950163,.6663055,.6500542,0,.7150596,0,0,48.33965,.1950163,.1300108,2.437703,.0650054,0,0,0,.0975081,.0325027,1.261105,3.591549,.7150596,.7231852,11.65764,0,0,23.80282,2.119176,0,3.358613,0,1.473456
"usaipo1939-0176",03nov1936,05nov1940,10nov1939,15nov1939,"National Adults",2,"None",96,3049,30.83798,8.117415,.0655953,.5848913,2.83153,49.76768,.1311906,0,1.218979,3.919318,.2295835,.0655953,2.000656,.2295835,0,1.311906,21.95802,.1639882,2.131846,.8363398,3.115776,.3279764,0,3.099377,0,.0655953,.1967858,0,0,.0819941,39.46103,.3498415,0,9.858424,0,0,.1913196,.2623811,1.885864,.6231551,1.311906,21.95802,.1639882,2.131846,.1311906,.8363398,3.115776,.6887504,.6887504,.4537007,.1749207,39.46103,.3498415,0,0,9.858424,0,0,.0983929,0,.1311906,.2951787,2.072811,.3279764,0,1.180715,3.099377,.4919646,0,.6493933,0,0,32.27288,.1311906,.0109325,.9183339,.1639882,.3279764,0,0,.0819941,0,.8035421,6.615283,.6493933,.5821581,10.38319,0,.1311906,39.55942,3.919318,0,3.219635,.2295835,0
"usaipo1940-0205",03nov1936,05nov1940,10aug1940,16aug1940,"National Adults",2,"None",130,2907,24.20021,3.474372,.0687995,.1719986,13.15216,44.43298,.2751978,0,1.358789,10.21672,.2407981,.1031992,2.270382,0,.0343997,2.717578,17.59546,0,.378397,.3095975,1.444788,.0687995,.0343997,1.788786,0,0,0,0,0,.7911937,11.24871,18.32359,0,14.34469,0,0,.2923976,.877193,7.292742,.7395941,2.717578,17.59546,0,.378397,.0687995,.3095975,1.444788,.4471964,.5503956,10.50338,10.29698,11.24871,18.32359,0,0,14.34469,0,0,.5159959,0,.2751978,.3095975,.7223942,.0687995,.0343997,.0687995,1.788786,.3439972,0,.0343997,0,.1031992,25.3354,.1719986,.2063984,.8599931,.1719986,.0687995,0,0,.8255934,.1031992,.1375989,2.855177,.0343997,.3439972,42.96526,0,.2751978,11.76471,10.21672,0,3.629171,0,.0343997
"usaipo1941-252",05nov1940,07nov1944,07nov1941,12nov1941,"National Adults",21,"None",24,2966,15.89996,0,0,0,17.09806,60.77136,0,0,.4871882,3.138908,0,0,2.604518,0,0,0,1.836689,2.100472,0,1.395819,9.482468,0,0,0,0,0,0,0,0,0,26.09945,0,0,22.07775,0,0,.4871882,0,2.856822,.2820859,0,1.836689,2.100472,0,1.084513,1.395819,9.482468,0,.5922679,16.5058,16.5058,26.09945,0,0,0,22.07775,0,0,12.59416,0,0,0,0,0,0,0,0,0,0,0,0,0,15.40772,0,0,0,1.084513,0,0,0,0,0,0,0,0,0,38.58355,0,0,38.69361,3.138908,0,3.091706,0,0
"usaipo1941-0254",05nov1940,07nov1944,27nov1941,02dec1941,"National Adults",14,"None",33,2843,9.727987,0,0,0,9.540977,71.94923,0,0,1.424551,2.922383,0,0,4.434869,0,0,0,1.014187,2.235901,.4045023,2.936452,2.614023,0,0,0,0,0,0,0,0,0,33.28585,0,0,25.64134,0,0,1.424551,0,2.177864,.7445187,0,1.014187,2.235901,.4045023,.5229218,2.936452,2.614023,0,0,9.540977,9.540977,33.28585,0,0,0,25.64134,0,1.9932,11.02884,0,0,0,0,0,0,0,0,0,0,0,0,0,9.205066,0,0,0,.5229218,0,0,0,0,0,0,0,0,0,35.18232,0,0,46.30789,2.922383,0,5.859421,0,0
"usaipo1942-0286",05nov1940,07nov1944,17dec1942,22dec1942,"National Adults",5,"None",13,2935,23.81069,7.844082,1.225575,0,7.660488,26.95023,0,0,0,5.589924,0,0,15.98205,0,10.93697,3.922933,9.414848,6.549972,3.922933,0,0,1.001704,0,0,0,1.225575,0,0,0,0,0,0,0,20.42541,0,0,0,0,4.658271,0,3.922933,9.414848,6.549972,3.922933,0,0,0,0,0,0,0,2.627038,0,0,0,20.42541,0,3.897785,0,0,0,1.225575,1.225575,1.001704,0,0,0,0,0,0,0,4.391228,23.81069,1.225575,0,7.660488,0,1.001704,0,0,0,0,0,2.451151,0,0,24.81664,0,0,6.524824,5.589924,0,15.98205,0,10.93697
"usnorc1944-0229",05nov1940,07nov1944,01oct1944,31oct1944,"National Adults",19,"None",25,2554,40.01371,15.10308,.7743844,.3871922,2.43409,31.62658,.5481598,0,.3871922,2.532722,1.161577,0,.2545027,0,4.776821,1.135474,27.33947,2.270947,2.61681,.3458627,4.667189,.3871922,0,.3458627,0,.7743844,0,0,0,0,2.819107,0,0,27.28232,.293657,0,0,.2975724,1.14722,.2545027,1.135474,27.33947,2.270947,2.61681,.7830853,.3458627,4.667189,.3458627,.4437484,0,0,2.819107,0,0,0,27.28232,0,1.231495,.293657,.5481598,0,1.118693,0,.3871922,0,0,.3458627,0,0,1.910728,0,11.3406,39.51123,.7743844,.3871922,1.644479,.7830853,.3871922,0,0,0,0,1.161577,1.851748,1.910728,.5090055,38.23573,0,0,4.892419,2.532722,0,.641695,0,4.776821
"usaipo1945-0342",07nov1944,02nov1948,09mar1945,15mar1945,"National Adults",5,"None",25,2736,28.96065,10.4006,4.791959,.3578826,4.609435,28.88147,4.909032,0,4.614391,4.194957,3.703907,0,4.575719,0,0,0,8.615901,5.730896,3.487973,0,10.20498,.4905783,0,0,0,4.791959,.3578826,0,0,0,1.569201,0,0,25.75587,0,0,.1461988,0,2.796638,.6991596,0,8.615901,5.730896,3.487973,.2217349,0,10.20498,0,1.743987,1.743987,0,2.690662,0,0,0,25.75587,0,.4349415,0,4.909032,0,0,0,.4905783,0,0,0,0,0,0,0,9.910023,31.52773,4.791959,0,1.121462,.2217349,.4905783,0,0,0,0,4.061789,0,0,.6991596,35.66589,0,0,8.034636,4.194957,0,9.19011,0,0
"usaipo1945-0354",07nov1944,02nov1948,24aug1945,29aug1945,"National Adults",13,"None",25,2950,58.44092,9.479661,1.425989,.1581921,3.162712,22.46231,1.158354,0,.2372881,.1355932,.1581921,0,2.740113,.440678,0,0,49.52147,2.403955,1.625504,0,3.947619,0,0,0,0,1.425989,.1581921,0,0,0,1.678128,0,.1016949,20.68249,0,0,0,.1355932,0,0,0,49.52147,2.403955,1.625504,.9423729,0,3.947619,0,0,.2644068,.1288136,1.678128,0,.1016949,0,20.68249,0,0,0,1.036885,.1214689,0,0,0,0,0,0,0,0,.4858757,0,8.993786,57.63414,1.425989,0,2.898305,.9423729,0,0,0,0,0,.3163842,0,.4858757,0,29.90678,0,.1214689,2.715012,.1355932,0,2.977401,.440678,0
