problem	cat	numsurveys	numrespondents	perc	year	month	quarter
1	1	1	2818	60.432999	1939	1	1
2	1	1	2818	7.5760002	1939	1	1
3	1	1	2818	.53200001	1939	1	1
4	1	1	2818	.67400002	1939	1	1
5	1	1	2818	6.21	1939	1	1
6	1	1	2818	14.62	1939	1	1
7	1	1	2818	.035	1939	1	1
8	1	1	2818	.142	1939	1	1
9	1	1	2818	1.987	1939	1	1
10	1	1	2818	6.5650001	1939	1	1
11	1	1	2818	.90499997	1939	1	1
12	1	1	2818	.28400001	1939	1	1
13	1	1	2818	.035	1939	1	1
14	1	1	2818	0	1939	1	1
15	1	1	2818	0	1939	1	1
101	2	1	2818	3.194	1939	1	1
102	2	1	2818	42.477001	1939	1	1
103	2	1	2818	.106	1939	1	1
104	2	1	2818	0	1939	1	1
105	2	1	2818	3.2650001	1939	1	1
106	2	1	2818	3.0869999	1939	1	1
107	2	1	2818	1.0650001	1939	1	1
108	2	1	2818	.28400001	1939	1	1
109	2	1	2818	1.739	1939	1	1
110	2	1	2818	5.2160001	1939	1	1
201	2	1	2818	0	1939	1	1
202	2	1	2818	3.664	1939	1	1
203	2	1	2818	.19499999	1939	1	1
204	2	1	2818	0	1939	1	1
205	2	1	2818	.958	1939	1	1
206	2	1	2818	0	1939	1	1
207	2	1	2818	.035	1939	1	1
208	2	1	2818	.99400002	1939	1	1
209	2	1	2818	.035	1939	1	1
210	2	1	2818	0	1939	1	1
211	2	1	2818	1.623	1939	1	1
212	2	1	2818	0	1939	1	1
213	2	1	2818	.035	1939	1	1
214	2	1	2818	.035	1939	1	1
215	2	1	2818	0	1939	1	1
216	2	1	2818	0	1939	1	1
217	2	1	2818	0	1939	1	1
301	2	1	2818	0	1939	1	1
302	2	1	2818	0	1939	1	1
304	2	1	2818	.071	1939	1	1
306	2	1	2818	0	1939	1	1
307	2	1	2818	.071	1939	1	1
308	2	1	2818	.28400001	1939	1	1
309	2	1	2818	.106	1939	1	1
310	2	1	2818	0	1939	1	1
401	2	1	2818	.248	1939	1	1
402	2	1	2818	0	1939	1	1
403	2	1	2818	0	1939	1	1
404	2	1	2818	0	1939	1	1
405	2	1	2818	.426	1939	1	1
406	2	1	2818	0	1939	1	1
407	2	1	2818	0	1939	1	1
501	2	1	2818	1.561	1939	1	1
502	2	1	2818	1.561	1939	1	1
503	2	1	2818	0	1939	1	1
504	2	1	2818	.852	1939	1	1
505	2	1	2818	0	1939	1	1
506	2	1	2818	0	1939	1	1
507	2	1	2818	0	1939	1	1
508	2	1	2818	1.881	1939	1	1
509	2	1	2818	.35499999	1939	1	1
601	2	1	2818	.38999999	1939	1	1
602	2	1	2818	2.9100001	1939	1	1
603	2	1	2818	0	1939	1	1
604	2	1	2818	0	1939	1	1
605	2	1	2818	11.32	1939	1	1
606	2	1	2818	0	1939	1	1
608	2	1	2818	0	1939	1	1
609	2	1	2818	0	1939	1	1
610	2	1	2818	0	1939	1	1
611	2	1	2818	0	1939	1	1
701	2	1	2818	0	1939	1	1
702	2	1	2818	.035	1939	1	1
703	2	1	2818	0	1939	1	1
704	2	1	2818	0	1939	1	1
705	2	1	2818	0	1939	1	1
801	2	1	2818	0	1939	1	1
802	2	1	2818	0	1939	1	1
803	2	1	2818	0	1939	1	1
804	2	1	2818	0	1939	1	1
805	2	1	2818	0	1939	1	1
806	2	1	2818	0	1939	1	1
807	2	1	2818	.142	1939	1	1
901	2	1	2818	.745	1939	1	1
902	2	1	2818	.177	1939	1	1
903	2	1	2818	.99400002	1939	1	1
904	2	1	2818	.071	1939	1	1
905	2	1	2818	0	1939	1	1
906	2	1	2818	0	1939	1	1
908	2	1	2818	0	1939	1	1
1001	2	1	2818	1.015	1939	1	1
1002	2	1	2818	.035	1939	1	1
1003	2	1	2818	0	1939	1	1
1004	2	1	2818	0	1939	1	1
1005	2	1	2818	0	1939	1	1
1006	2	1	2818	0	1939	1	1
1007	2	1	2818	0	1939	1	1
1008	2	1	2818	0	1939	1	1
1009	2	1	2818	0	1939	1	1
1010	2	1	2818	1.1210001	1939	1	1
1011	2	1	2818	3.2579999	1939	1	1
1012	2	1	2818	1.136	1939	1	1
1101	2	1	2818	.90499997	1939	1	1
1102	2	1	2818	0	1939	1	1
1103	2	1	2818	0	1939	1	1
1104	2	1	2818	0	1939	1	1
1105	2	1	2818	0	1939	1	1
1106	2	1	2818	0	1939	1	1
1201	2	1	2818	.28400001	1939	1	1
1301	2	1	2818	.035	1939	1	1
1302	2	1	2818	0	1939	1	1
1401	2	1	2818	0	1939	1	1
1501	2	1	2818	0	1939	1	1
101	3	1	2818	3.194	1939	1	1
102	3	1	2818	42.477001	1939	1	1
103	3	1	2818	.106	1939	1	1
104	3	1	2818	0	1939	1	1
105	3	1	2818	3.2650001	1939	1	1
106	3	1	2818	3.0869999	1939	1	1
107	3	1	2818	1.0650001	1939	1	1
108	3	1	2818	.28400001	1939	1	1
109	3	1	2818	1.739	1939	1	1
110	3	1	2818	5.2160001	1939	1	1
501	3	1	2818	1.561	1939	1	1
502	3	1	2818	1.561	1939	1	1
503	3	1	2818	0	1939	1	1
504	3	1	2818	.852	1939	1	1
505	3	1	2818	0	1939	1	1
506	3	1	2818	0	1939	1	1
201	4	1	2818	0	1939	1	1
202	4	1	2818	3.664	1939	1	1
203	4	1	2818	.19499999	1939	1	1
204	4	1	2818	0	1939	1	1
205	4	1	2818	.958	1939	1	1
206	4	1	2818	0	1939	1	1
207	4	1	2818	.035	1939	1	1
208	4	1	2818	.99400002	1939	1	1
209	4	1	2818	.035	1939	1	1
210	4	1	2818	0	1939	1	1
211	4	1	2818	1.623	1939	1	1
212	4	1	2818	0	1939	1	1
213	4	1	2818	.035	1939	1	1
214	4	1	2818	.035	1939	1	1
215	4	1	2818	0	1939	1	1
216	4	1	2818	0	1939	1	1
217	4	1	2818	0	1939	1	1
506	5	1	2818	0	1939	1	1
601	5	1	2818	.38999999	1939	1	1
602	5	1	2818	2.9100001	1939	1	1
603	5	1	2818	0	1939	1	1
604	5	1	2818	0	1939	1	1
605	5	1	2818	11.32	1939	1	1
606	5	1	2818	0	1939	1	1
608	5	1	2818	0	1939	1	1
609	5	1	2818	0	1939	1	1
610	5	1	2818	0	1939	1	1
611	5	1	2818	0	1939	1	1
701	5	1	2818	0	1939	1	1
702	5	1	2818	.035	1939	1	1
703	5	1	2818	0	1939	1	1
704	5	1	2818	0	1939	1	1
705	5	1	2818	0	1939	1	1
1	6	1	2818	64.087997	1939	1	1
2	6	1	2818	.81599998	1939	1	1
3	6	1	2818	.56800002	1939	1	1
4	6	1	2818	1.881	1939	1	1
5	6	1	2818	.28400001	1939	1	1
6	6	1	2818	.19499999	1939	1	1
7	6	1	2818	0	1939	1	1
8	6	1	2818	0	1939	1	1
9	6	1	2818	.35499999	1939	1	1
10	6	1	2818	.071	1939	1	1
12	6	1	2818	1.153	1939	1	1
13	6	1	2818	4.658	1939	1	1
14	6	1	2818	1.623	1939	1	1
15	6	1	2818	1.0650001	1939	1	1
16	6	1	2818	14.23	1939	1	1
17	6	1	2818	0	1939	1	1
18	6	1	2818	.035	1939	1	1
19	6	1	2818	.38999999	1939	1	1
20	6	1	2818	6.5650001	1939	1	1
21	6	1	2818	0	1939	1	1
22	6	1	2818	2.023	1939	1	1
23	6	1	2818	0	1939	1	1
24	6	1	2818	0	1939	1	1
1	1	1	3122	46.056	1939	4	2
2	1	1	3122	4.9889998	1939	4	2
3	1	1	3122	.033	1939	4	2
4	1	1	3122	.41600001	1939	4	2
5	1	1	3122	4.9569998	1939	4	2
6	1	1	3122	35.459999	1939	4	2
7	1	1	3122	0	1939	4	2
8	1	1	3122	0	1939	4	2
9	1	1	3122	1.138	1939	4	2
10	1	1	3122	2.119	1939	4	2
11	1	1	3122	.97500002	1939	4	2
12	1	1	3122	.163	1939	4	2
13	1	1	3122	2.221	1939	4	2
14	1	1	3122	0	1939	4	2
15	1	1	3122	1.473	1939	4	2
101	2	1	3122	2.3080001	1939	4	2
102	2	1	3122	34.290001	1939	4	2
103	2	1	3122	0	1939	4	2
104	2	1	3122	0	1939	4	2
105	2	1	3122	2.941	1939	4	2
106	2	1	3122	2.1700001	1939	4	2
107	2	1	3122	.72299999	1939	4	2
108	2	1	3122	.065	1939	4	2
109	2	1	3122	1.284	1939	4	2
110	2	1	3122	2.2750001	1939	4	2
201	2	1	3122	0	1939	4	2
202	2	1	3122	2.73	1939	4	2
203	2	1	3122	0	1939	4	2
204	2	1	3122	0	1939	4	2
205	2	1	3122	.19499999	1939	4	2
206	2	1	3122	0	1939	4	2
207	2	1	3122	.66600001	1939	4	2
208	2	1	3122	.64999998	1939	4	2
209	2	1	3122	0	1939	4	2
210	2	1	3122	0	1939	4	2
211	2	1	3122	.71499997	1939	4	2
212	2	1	3122	0	1939	4	2
213	2	1	3122	0	1939	4	2
214	2	1	3122	.033	1939	4	2
215	2	1	3122	0	1939	4	2
216	2	1	3122	0	1939	4	2
217	2	1	3122	0	1939	4	2
301	2	1	3122	0	1939	4	2
302	2	1	3122	0	1939	4	2
304	2	1	3122	0	1939	4	2
306	2	1	3122	0	1939	4	2
307	2	1	3122	0	1939	4	2
308	2	1	3122	0	1939	4	2
309	2	1	3122	.033	1939	4	2
310	2	1	3122	0	1939	4	2
401	2	1	3122	.13	1939	4	2
402	2	1	3122	0	1939	4	2
403	2	1	3122	0	1939	4	2
404	2	1	3122	0	1939	4	2
405	2	1	3122	.13	1939	4	2
406	2	1	3122	0	1939	4	2
407	2	1	3122	.156	1939	4	2
501	2	1	3122	1.154	1939	4	2
502	2	1	3122	1.154	1939	4	2
503	2	1	3122	0	1939	4	2
504	2	1	3122	.114	1939	4	2
505	2	1	3122	0	1939	4	2
506	2	1	3122	0	1939	4	2
507	2	1	3122	0	1939	4	2
508	2	1	3122	2.438	1939	4	2
509	2	1	3122	.098	1939	4	2
601	2	1	3122	23.802999	1939	4	2
602	2	1	3122	.19499999	1939	4	2
603	2	1	3122	0	1939	4	2
604	2	1	3122	0	1939	4	2
605	2	1	3122	11.463	1939	4	2
606	2	1	3122	0	1939	4	2
608	2	1	3122	0	1939	4	2
609	2	1	3122	0	1939	4	2
610	2	1	3122	0	1939	4	2
611	2	1	3122	0	1939	4	2
701	2	1	3122	0	1939	4	2
702	2	1	3122	0	1939	4	2
703	2	1	3122	0	1939	4	2
704	2	1	3122	0	1939	4	2
705	2	1	3122	0	1939	4	2
801	2	1	3122	0	1939	4	2
802	2	1	3122	0	1939	4	2
803	2	1	3122	0	1939	4	2
804	2	1	3122	0	1939	4	2
805	2	1	3122	0	1939	4	2
806	2	1	3122	0	1939	4	2
807	2	1	3122	0	1939	4	2
901	2	1	3122	.35800001	1939	4	2
902	2	1	3122	0	1939	4	2
903	2	1	3122	.77999997	1939	4	2
904	2	1	3122	0	1939	4	2
905	2	1	3122	0	1939	4	2
906	2	1	3122	0	1939	4	2
908	2	1	3122	0	1939	4	2
1001	2	1	3122	.13	1939	4	2
1002	2	1	3122	0	1939	4	2
1003	2	1	3122	0	1939	4	2
1004	2	1	3122	0	1939	4	2
1005	2	1	3122	0	1939	4	2
1006	2	1	3122	0	1939	4	2
1007	2	1	3122	0	1939	4	2
1008	2	1	3122	0	1939	4	2
1009	2	1	3122	0	1939	4	2
1010	2	1	3122	.156	1939	4	2
1011	2	1	3122	.66299999	1939	4	2
1012	2	1	3122	1.17	1939	4	2
1101	2	1	3122	.97500002	1939	4	2
1102	2	1	3122	0	1939	4	2
1103	2	1	3122	0	1939	4	2
1104	2	1	3122	0	1939	4	2
1105	2	1	3122	0	1939	4	2
1106	2	1	3122	0	1939	4	2
1201	2	1	3122	.163	1939	4	2
1301	2	1	3122	2.221	1939	4	2
1302	2	1	3122	0	1939	4	2
1401	2	1	3122	0	1939	4	2
1501	2	1	3122	1.473	1939	4	2
101	3	1	3122	2.3080001	1939	4	2
102	3	1	3122	34.290001	1939	4	2
103	3	1	3122	0	1939	4	2
104	3	1	3122	0	1939	4	2
105	3	1	3122	2.941	1939	4	2
106	3	1	3122	2.1700001	1939	4	2
107	3	1	3122	.72299999	1939	4	2
108	3	1	3122	.065	1939	4	2
109	3	1	3122	1.284	1939	4	2
110	3	1	3122	2.2750001	1939	4	2
501	3	1	3122	1.154	1939	4	2
502	3	1	3122	1.154	1939	4	2
503	3	1	3122	0	1939	4	2
504	3	1	3122	.114	1939	4	2
505	3	1	3122	0	1939	4	2
506	3	1	3122	0	1939	4	2
201	4	1	3122	0	1939	4	2
202	4	1	3122	2.73	1939	4	2
203	4	1	3122	0	1939	4	2
204	4	1	3122	0	1939	4	2
205	4	1	3122	.19499999	1939	4	2
206	4	1	3122	0	1939	4	2
207	4	1	3122	.66600001	1939	4	2
208	4	1	3122	.64999998	1939	4	2
209	4	1	3122	0	1939	4	2
210	4	1	3122	0	1939	4	2
211	4	1	3122	.71499997	1939	4	2
212	4	1	3122	0	1939	4	2
213	4	1	3122	0	1939	4	2
214	4	1	3122	.033	1939	4	2
215	4	1	3122	0	1939	4	2
216	4	1	3122	0	1939	4	2
217	4	1	3122	0	1939	4	2
506	5	1	3122	0	1939	4	2
601	5	1	3122	23.802999	1939	4	2
602	5	1	3122	.19499999	1939	4	2
603	5	1	3122	0	1939	4	2
604	5	1	3122	0	1939	4	2
605	5	1	3122	11.463	1939	4	2
606	5	1	3122	0	1939	4	2
608	5	1	3122	0	1939	4	2
609	5	1	3122	0	1939	4	2
610	5	1	3122	0	1939	4	2
611	5	1	3122	0	1939	4	2
701	5	1	3122	0	1939	4	2
702	5	1	3122	0	1939	4	2
703	5	1	3122	0	1939	4	2
704	5	1	3122	0	1939	4	2
705	5	1	3122	0	1939	4	2
1	6	1	3122	48.34	1939	4	2
2	6	1	3122	.19499999	1939	4	2
3	6	1	3122	.13	1939	4	2
4	6	1	3122	2.438	1939	4	2
5	6	1	3122	.065	1939	4	2
6	6	1	3122	0	1939	4	2
7	6	1	3122	0	1939	4	2
8	6	1	3122	0	1939	4	2
9	6	1	3122	.098	1939	4	2
10	6	1	3122	.033	1939	4	2
12	6	1	3122	1.261	1939	4	2
13	6	1	3122	3.592	1939	4	2
14	6	1	3122	.71499997	1939	4	2
15	6	1	3122	.72299999	1939	4	2
16	6	1	3122	11.658	1939	4	2
17	6	1	3122	0	1939	4	2
18	6	1	3122	0	1939	4	2
19	6	1	3122	23.802999	1939	4	2
20	6	1	3122	2.119	1939	4	2
