problem	cat	numsurveys	numrespondents	perc	year
1	1	3	8989	45.401001	1939
2	1	3	8989	6.8610001	1939
3	1	3	8989	.2	1939
4	1	3	8989	.55400002	1939
5	1	3	8989	4.6290002	1939
6	1	3	8989	33.779999	1939
7	1	3	8989	.056	1939
8	1	3	8989	.044	1939
9	1	3	8989	1.432	1939
10	1	3	8989	4.1230001	1939
11	1	3	8989	.69999999	1939
12	1	3	8989	.168	1939
13	1	3	8989	1.461	1939
14	1	3	8989	.078	1939
15	1	3	8989	.51200002	1939
101	2	3	8989	2.2479999	1939
102	2	3	8989	32.674	1939
103	2	3	8989	.089	1939
104	2	3	8989	0	1939
105	2	3	8989	2.7679999	1939
106	2	3	8989	1.927	1939
107	2	3	8989	.78200001	1939
108	2	3	8989	.156	1939
109	2	3	8989	1.275	1939
110	2	3	8989	3.4820001	1939
201	2	3	8989	.089	1939
202	2	3	8989	2.8	1939
203	2	3	8989	.17200001	1939
204	2	3	8989	0	1939
205	2	3	8989	.76899999	1939
206	2	3	8989	.011	1939
207	2	3	8989	1.294	1939
208	2	3	8989	.671	1939
209	2	3	8989	.044	1939
210	2	3	8989	0	1939
211	2	3	8989	.97799999	1939
212	2	3	8989	0	1939
213	2	3	8989	.011	1939
214	2	3	8989	.022	1939
215	2	3	8989	0	1939
216	2	3	8989	0	1939
217	2	3	8989	0	1939
301	2	3	8989	0	1939
302	2	3	8989	0	1939
304	2	3	8989	.022	1939
306	2	3	8989	0	1939
307	2	3	8989	.022	1939
308	2	3	8989	.089	1939
309	2	3	8989	.067	1939
310	2	3	8989	0	1939
401	2	3	8989	.19	1939
402	2	3	8989	0	1939
403	2	3	8989	0	1939
404	2	3	8989	0	1939
405	2	3	8989	.182	1939
406	2	3	8989	0	1939
407	2	3	8989	.182	1939
501	2	3	8989	1.124	1939
502	2	3	8989	1.124	1939
503	2	3	8989	0	1939
504	2	3	8989	.40099999	1939
505	2	3	8989	0	1939
506	2	3	8989	.059	1939
507	2	3	8989	0	1939
508	2	3	8989	1.748	1939
509	2	3	8989	.17299999	1939
601	2	3	8989	21.774	1939
602	2	3	8989	1.099	1939
