ts,numsurveys,numrespondents,mipds_101_0,mipds_102_0,mipds_103_0,mipds_105_0,mipds_109_0,mipds_110_0,mipds_203_0,mipds_204_0,mipds_207_0,mipds_308_0,mipds_309_0,mipds_401_0,mipds_404_0,mipds_503_0,mipds_509_0,mipds_601_0,mipds_602_0,mipds_603_0,mipds_605_0,mipds_610_0,mipds_804_0,mipds_901_0,mipds_1001_0,mipds_1011_0,mipds_1012_0,mipds_101_1,mipds_102_1,mipds_103_1,mipds_105_1,mipds_109_1,mipds_110_1,mipds_203_1,mipds_204_1,mipds_207_1,mipds_308_1,mipds_309_1,mipds_401_1,mipds_404_1,mipds_503_1,mipds_509_1,mipds_601_1,mipds_602_1,mipds_603_1,mipds_605_1,mipds_610_1,mipds_804_1,mipds_901_1,mipds_1001_1,mipds_1011_1,mipds_1012_1,mipde_101_0,mipde_102_0,mipde_103_0,mipde_105_0,mipde_108_0,mipde_109_0,mipde_110_0,mipde_501_0,mipde_502_0,mipde_504_0,mipde_101_1,mipde_102_1,mipde_103_1,mipde_105_1,mipde_108_1,mipde_109_1,mipde_110_1,mipde_501_1,mipde_502_1,mipde_504_1,mipdfp_506_0,mipdfp_601_0,mipdfp_602_0,mipdfp_603_0,mipdfp_604_0,mipdfp_605_0,mipdfp_606_0,mipdfp_608_0,mipdfp_610_0,mipdfp_701_0,mipdfp_702_0,mipdfp_506_1,mipdfp_601_1,mipdfp_602_1,mipdfp_603_1,mipdfp_604_1,mipdfp_605_1,mipdfp_606_1,mipdfp_608_1,mipdfp_610_1,mipdfp_701_1,mipdfp_702_1,mipdsp_201_0,mipdsp_202_0,mipdsp_203_0,mipdsp_204_0,mipdsp_205_0,mipdsp_207_0,mipdsp_208_0,mipdsp_210_0,mipdsp_211_0,mipdsp_212_0,mipdsp_217_0,mipdsp_201_1,mipdsp_202_1,mipdsp_203_1,mipdsp_204_1,mipdsp_205_1,mipdsp_207_1,mipdsp_208_1,mipdsp_210_1,mipdsp_211_1,mipdsp_212_1,mipdsp_217_1,mipd_1_0,mipd_2_0,mipd_3_0,mipd_4_0,mipd_5_0,mipd_6_0,mipd_7_0,mipd_8_0,mipd_9_0,mipd_10_0,mipd_11_0,mipd_12_0,mipd_13_0,mipd_14_0,mipd_15_0,mipd_1_1,mipd_2_1,mipd_3_1,mipd_4_1,mipd_5_1,mipd_6_1,mipd_7_1,mipd_8_1,mipd_9_1,mipd_10_1,mipd_11_1,mipd_12_1,mipd_13_1,mipd_14_1,mipd_15_1,cap_1_0,cap_2_0,cap_3_0,cap_4_0,cap_5_0,cap_6_0,cap_7_0,cap_8_0,cap_9_0,cap_10_0,cap_12_0,cap_13_0,cap_14_0,cap_15_0,cap_16_0,cap_17_0,cap_18_0,cap_19_0,cap_20_0,cap_21_0,cap_22_0,cap_23_0,cap_24_0,cap_1_1,cap_2_1,cap_3_1,cap_4_1,cap_5_1,cap_6_1,cap_7_1,cap_8_1,cap_9_1,cap_10_1,cap_12_1,cap_13_1,cap_14_1,cap_15_1,cap_16_1,cap_17_1,cap_18_1,cap_19_1,cap_20_1,cap_21_1,cap_22_1,cap_23_1,cap_24_1
1939,3,8989,1.985,29.949,.101,2.393,.761,3.09,.275,0,1.102,.082,.052,.24,0,0,.188,25.072,.962,0,14.3,0,0,.547,.43,1.606,.647,2.377,33.985,.082,2.951,1.525,3.673,.123,0,1.383,.092,.075,.166,0,0,.167,20.203,1.166,0,9.201,0,0,.359,.462,2.024,1.133,1.985,29.949,.101,2.393,.234,.761,3.09,.981,.981,.384,2.377,33.985,.082,2.951,.116,1.525,3.673,1.191,1.191,.495,.035,25.072,.962,0,0,14.3,0,0,.035,0,0,.07,20.203,1.166,0,0,9.201,0,0,.032,0,.082,.104,3.131,.275,0,.515,1.102,.443,0,1.09,0,0,.147,2.643,.123,0,.89,1.383,.85,0,.924,0,0,40.067001,6.6599998,.266,.51999998,3.6760001,40.369999,0,.066,1.989,3.4349999,.94999999,.169,1.303,.071,.46000001,47.987999,6.961,.167,.57200003,5.0890002,30.601999,.082,.034,1.155,4.4510002,.57700002,.167,1.5369999,.081,.537,42.146,.43399999,.211,1.142,.234,.27500001,0,0,.18799999,.033,1.324,4.8189998,1.09,.442,15.298,0,0,25.108,3.4349999,0,3.2909999,.071,.46000001,50.580002,.33500001,.235,2.0439999,.132,.123,0,0,.167,.034,.94700003,5.0139999,.92400002,.949,10.437,0,.082,20.236,4.4510002,0,2.6919999,.081,.537
1940,1,2907,3.091,18.856,0,.515,.361,1.649,0,.052,1.649,0,0,0,0,0,.927,9.48,19.406,0,12.004,0,0,.309,1.056,7.058,.85,1.967,15.062,0,.104,.207,1.035,.207,0,2.07,0,0,0,0,0,.518,14.803,16.149,0,19.048,0,0,.259,.518,7.764,.518,3.091,18.856,0,.515,.103,.361,1.649,.567,.618,10.682,1.967,15.062,0,.104,0,.207,1.035,.207,.414,10.145,10.424,9.48,19.406,0,0,12.004,0,0,.67,0,.258,10.041,14.803,16.149,0,0,19.048,0,0,.207,0,.311,.464,.618,0,.052,.052,1.649,.412,0,0,0,.052,0,.932,.207,0,.104,2.07,.207,0,.104,0,.207,26.636,3.2969999,.103,.052,13.824,41.558998,.25799999,0,1.133,10.459,.30899999,.103,2.267,0,0,19.306,3.8299999,0,.414,11.801,50.207001,.31099999,0,1.812,9.7309999,.104,.104,2.277,0,.104,28.027,.206,.103,1.03,.206,0,0,0,.92699999,.155,.206,2.6789999,0,.361,41.834,0,.25799999,10.149,10.459,0,3.4000001,0,0,19.927999,.104,.414,.51800001,.104,.207,0,0,.62099999,0,0,3.2090001,.104,.31099999,45.237999,0,.31099999,15.01,9.7309999,0,4.0890002,0,.104
1941,2,5791,0,1.045,1.859,.205,2.283,5.283,0,0,0,0,0,0,0,0,0,31.798,0,0,26.384,0,0,.897,0,2.461,.163,0,1.633,2.293,.195,2.092,6.539,0,0,0,0,0,0,0,0,0,28.627,0,0,22.527,0,0,.976,0,2.555,.684,0,1.045,1.859,.205,.896,2.283,5.283,0,.21,11.938,0,1.633,2.293,.195,.76,2.092,6.539,0,.349,13.609,11.938,31.798,0,0,0,26.384,0,.989,11.147,0,0,13.609,28.627,0,0,0,22.527,0,.973,12.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.571,0,0,0,12.148,70.318001,0,0,.89700001,2.6240001,0,0,2.4419999,0,0,13.513,0,0,0,13.958,64.317001,0,0,.97600001,3.2379999,0,0,3.997,0,0,10.886,0,0,0,.89600003,0,0,0,0,0,0,0,0,0,38.321999,0,0,43.933998,2.6240001,0,3.3380001,0,0,13.102,0,0,0,.75999999,0,0,0,0,0,0,0,0,0,36.136002,0,0,41.791,3.2379999,0,4.973,0,0
1942,1,2935,3.814,8.762,6.549,3.814,0,0,1.435,0,0,0,1.459,0,0,0,0,0,0,0,19.36,0,0,0,0,3.393,0,4.033,10.077,6.551,4.033,0,0,.562,0,0,0,.989,0,0,0,0,0,0,0,21.505,0,0,0,0,5.94,0,3.814,8.762,6.549,3.814,0,0,0,0,0,0,4.033,10.077,6.551,4.033,0,0,0,0,0,0,0,2.735,0,0,0,19.36,0,3.85,0,0,0,0,2.518,0,0,0,21.505,0,3.946,0,0,0,1.459,1.459,1.435,0,0,0,0,0,0,0,4.559,.989,.989,.562,0,0,0,0,0,0,0,4.221,22.938,8.9139996,1.459,0,7.6300001,25.945,0,0,0,4.0710001,0,0,16.382,0,12.661,24.695,6.7610002,.98900002,0,7.6919999,27.969,0,0,0,7.1279998,0,0,15.577,0,9.191,22.938,1.459,0,7.6300001,0,1.4349999,0,0,0,0,0,2.9189999,0,0,23.92,0,0,6.585,4.0710001,0,16.382,0,12.661,24.695,.98900002,0,7.6919999,0,.56199998,0,0,0,0,0,1.977,0,0,25.725,0,0,6.4640002,7.1279998,0,15.577,0,9.191
1943,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4055,12.307,1.2275,.249,4.9805001,28.012,.0975,0,.249,3.1815001,.74699998,0,8.337,0,9.2055001,32.401501,10.7315,.80700001,.1565,5.0975,30.3175,.39250001,0,.1565,4.9109999,.46900001,0,7.9029998,0,6.6570001,31.157999,1.2275,.249,4.6435,.34099999,.96649997,0,0,0,0,.74699998,2.5009999,.56550002,.24349999,31.001,0,0,5.382,3.1815001,0,8.5865,0,9.2055001,32.148001,.80700001,.1565,4.664,.42550001,.43749999,0,0,0,0,.46900001,1.8365,1.2175,.26199999,32.032001,0,0,5.9175,4.9109999,0,8.0594998,0,6.6570001
1944,1,2554,1.287,27.778,2.573,2.849,.276,3.665,.498,0,.276,0,.996,0,0,0,0,2.534,0,0,26.094,.219,0,0,.214,.936,.292,1.034,27.045,2.068,2.461,.393,5.34,.313,0,.393,0,.625,0,0,0,0,3.01,0,0,28.08,.344,0,0,.353,1.289,.229,1.287,27.778,2.573,2.849,.682,.276,3.665,.276,.398,0,1.034,27.045,2.068,2.461,.851,.393,5.34,.393,.474,0,0,2.534,0,0,0,26.094,0,1.231,.219,.195,0,0,3.01,0,0,0,28.08,0,1.232,.344,.785,0,1.309,0,.498,0,0,.276,0,0,1.131,0,12.486,.991,0,.313,0,0,.393,0,0,2.435,0,10.571,39.873001,15.7,.99599999,.498,2.3310001,30.079,.19499999,0,.498,2.2920001,1.494,0,.292,0,5.75,40.108002,14.702,.625,.31299999,2.503,32.666,.78500003,0,.31299999,2.694,.93800002,0,.229,0,4.1230001,39.377998,.99599999,.498,1.6569999,.68199998,.498,0,0,0,0,1.494,2.0829999,1.131,.48699999,38.082001,0,0,4.1789999,2.2920001,0,.79100001,0,5.75,39.601002,.625,.31299999,1.636,.85100001,.31299999,0,0,0,0,.93800002,1.696,2.4349999,.52399999,38.339001,0,0,5.3709998,2.694,0,.542,0,4.1230001
1945,3,8605,0,30.932,3.435,2.058,0,11.392,.222,0,0,0,2.738,.212,0,0,0,1.54,0,.685,20.277,0,0,.045,.034,.741,.185,0,27.464,4.35,2.063,0,15.576,.086,0,0,0,2.066,.261,0,0,0,1.657,0,.561,22.164,0,0,.048,.126,1.045,.261,0,30.932,3.435,2.058,1.027,0,11.392,0,.505,.641,0,27.464,4.35,2.063,1.394,0,15.576,0,.606,.827,.102,1.939,0,.685,0,20.277,0,.152,0,2.359,.046,.094,1.969,0,.561,0,22.164,0,.124,0,2.342,.058,0,0,.222,0,0,0,0,0,.532,0,10.091,0,0,.086,0,0,0,0,0,.611,0,7.809,49.028999,10.846,2.7379999,.212,3.151,23.054001,2.404,0,2.131,1.145,1.812,0,3.164,.31400001,0,51.109001,8.5059996,2.066,.26100001,3.1470001,24.816999,2.4000001,0,1.247,1.694,.75999999,0,3.6440001,.34900001,0,48.861,2.7379999,0,2.0039999,1.027,.222,0,0,0,0,2.0250001,0,.53200001,.185,31.156,0,.054,4.4419999,1.145,0,5.2950001,.31400001,0,50.792,2.066,0,1.714,1.3940001,.086,0,0,0,0,1.021,0,.611,.26100001,30.628,0,.07,4.4219999,1.694,0,4.8899999,.34900001,0
1946,3,8583,.247,3.721,29.327,.023,.274,19.785,0,0,0,0,.093,0,0,0,.014,6.125,0,1.612,5.376,1.535,.277,0,.032,0,0,.583,4.225,30.429,.072,.435,20.889,0,0,0,0,.011,0,0,0,.011,7.933,0,1.999,6.029,1.999,.461,0,.03,0,0,.247,3.721,29.327,.023,1.056,.274,19.785,.247,0,.408,.583,4.225,30.429,.072,1.187,.435,20.889,.583,0,.436,.408,6.125,0,1.612,0,5.376,0,0,1.535,3.243,0,.372,7.933,0,1.999,0,6.029,0,0,1.999,2.843,0,0,0,0,0,0,0,0,0,6.747,0,1.105,0,0,0,0,0,0,0,0,5.246,0,.981,54.431999,7.8520002,.093,0,13.677,14.648,3.243,.27700001,.042,.044,.008,0,5.586,.098,0,57.851002,6.2270002,.011,0,8.1560001,17.961,2.8429999,.461,0,.066,0,0,6.401,.022,0,53.623001,.093,0,13.007,1.056,0,0,.27700001,.014,0,.008,0,6.7470002,0,8.5019999,0,0,10.903,.044,0,5.6279998,.098,0,57.279999,.011,0,7.1269999,1.187,0,0,.461,.011,0,0,0,5.2459998,.03,9.3809996,0,0,12.776,.066,0,6.401,.022,0
1947,4,8265,.378,.065,17.17,2.683,.908,4.281,.546,0,6.158,0,.008,0,0,0,0,10.487,0,1.076,18.089,1.442,2.978,0,.194,.194,0,.427,.039,16.004,2.515,.995,6.335,.501,0,7.018,0,.025,0,0,0,0,13.119,0,1.084,13.996,1.689,3.664,0,.328,.328,0,.378,.065,17.17,2.683,0,.908,4.281,.378,0,.603,.427,.039,16.004,2.515,0,.995,6.335,.427,0,.742,.603,10.487,0,1.076,0,18.089,0,3.594,1.442,.419,0,.742,13.119,0,1.084,0,13.996,0,4.212,1.689,.757,0,0,0,.546,0,0,6.158,0,0,5.179,0,0,0,0,.501,0,0,7.018,0,0,3.606,0,0,25.485001,11.884,.008,.289,3.5699999,34.688,.419,2.9779999,.09,1.098,.016,0,7.3979998,0,12.077,26.316,11.125,.025,.34299999,3.536,34.101002,.75700003,3.664,0,1.436,0,0,7.8990002,0,10.799,25.863001,.008,0,2.589,0,.546,0,2.9779999,0,0,.30500001,6.158,5.1789999,0,19.768,0,0,15.942,1.098,0,7.4879999,0,12.077,26.743,.025,0,2.3670001,0,.50099999,0,3.664,0,0,.34299999,7.0180001,3.6059999,0,15.823,0,0,19.777,1.436,0,7.8990002,0,10.799
1948,2,5775,0,.972,10.681,3.487,2.515,2.853,0,0,1.045,0,1.566,0,0,0,0,17.094,.222,.125,34.055,5.633,.125,0,.972,2.538,0,0,1.487,9.021,3.732,2.245,4.214,0,0,.762,0,1.574,0,0,0,0,21.712,.222,.118,25.775,7.407,.118,0,1.487,3.061,0,0,.972,10.681,3.487,0,2.515,2.853,0,0,1.863,0,1.487,9.021,3.732,0,2.245,4.214,0,0,1.802,1.863,17.094,.222,.125,0,34.055,0,1.989,5.633,.773,0,1.802,21.712,.222,.118,0,25.775,0,2.755,7.407,.714,0,1.566,0,0,0,0,1.045,0,0,3.434,0,0,1.574,0,0,0,0,.762,0,0,2.316,0,0,20.507999,6.0450001,1.566,.132,1.863,59.118999,.773,.125,0,6.5650001,0,0,3.3050001,0,0,20.698,4.652,1.574,.118,1.802,57.987999,.71399999,.118,0,9.9329996,0,0,2.401,0,0,20.507999,1.566,0,0,0,0,0,.125,0,0,.132,2.6110001,3.434,0,36.264999,0,0,25.489,6.5650001,0,3.3050001,0,0,20.698,1.574,0,0,0,0,0,.118,0,0,.118,2.3369999,2.316,0,27.916,0,0,32.588001,9.9329996,0,2.401,0,0
