ts,numsurveys,numrespondents,mipds_101_0,mipds_102_0,mipds_103_0,mipds_105_0,mipds_109_0,mipds_110_0,mipds_203_0,mipds_204_0,mipds_207_0,mipds_308_0,mipds_309_0,mipds_401_0,mipds_404_0,mipds_503_0,mipds_509_0,mipds_601_0,mipds_602_0,mipds_603_0,mipds_605_0,mipds_610_0,mipds_804_0,mipds_901_0,mipds_1001_0,mipds_1011_0,mipds_1012_0,mipds_101_1,mipds_102_1,mipds_103_1,mipds_105_1,mipds_109_1,mipds_110_1,mipds_203_1,mipds_204_1,mipds_207_1,mipds_308_1,mipds_309_1,mipds_401_1,mipds_404_1,mipds_503_1,mipds_509_1,mipds_601_1,mipds_602_1,mipds_603_1,mipds_605_1,mipds_610_1,mipds_804_1,mipds_901_1,mipds_1001_1,mipds_1011_1,mipds_1012_1,mipde_101_0,mipde_102_0,mipde_103_0,mipde_105_0,mipde_108_0,mipde_109_0,mipde_110_0,mipde_501_0,mipde_502_0,mipde_504_0,mipde_101_1,mipde_102_1,mipde_103_1,mipde_105_1,mipde_108_1,mipde_109_1,mipde_110_1,mipde_501_1,mipde_502_1,mipde_504_1,mipdfp_506_0,mipdfp_601_0,mipdfp_602_0,mipdfp_603_0,mipdfp_604_0,mipdfp_605_0,mipdfp_606_0,mipdfp_608_0,mipdfp_610_0,mipdfp_701_0,mipdfp_702_0,mipdfp_506_1,mipdfp_601_1,mipdfp_602_1,mipdfp_603_1,mipdfp_604_1,mipdfp_605_1,mipdfp_606_1,mipdfp_608_1,mipdfp_610_1,mipdfp_701_1,mipdfp_702_1,mipdsp_201_0,mipdsp_202_0,mipdsp_203_0,mipdsp_204_0,mipdsp_205_0,mipdsp_207_0,mipdsp_208_0,mipdsp_210_0,mipdsp_211_0,mipdsp_212_0,mipdsp_217_0,mipdsp_201_1,mipdsp_202_1,mipdsp_203_1,mipdsp_204_1,mipdsp_205_1,mipdsp_207_1,mipdsp_208_1,mipdsp_210_1,mipdsp_211_1,mipdsp_212_1,mipdsp_217_1,mipd_1_0,mipd_2_0,mipd_3_0,mipd_4_0,mipd_5_0,mipd_6_0,mipd_7_0,mipd_8_0,mipd_9_0,mipd_10_0,mipd_11_0,mipd_12_0,mipd_13_0,mipd_14_0,mipd_15_0,mipd_1_1,mipd_2_1,mipd_3_1,mipd_4_1,mipd_5_1,mipd_6_1,mipd_7_1,mipd_8_1,mipd_9_1,mipd_10_1,mipd_11_1,mipd_12_1,mipd_13_1,mipd_14_1,mipd_15_1,cap_1_0,cap_2_0,cap_3_0,cap_4_0,cap_5_0,cap_6_0,cap_7_0,cap_8_0,cap_9_0,cap_10_0,cap_12_0,cap_13_0,cap_14_0,cap_15_0,cap_16_0,cap_17_0,cap_18_0,cap_19_0,cap_20_0,cap_21_0,cap_22_0,cap_23_0,cap_24_0,cap_1_1,cap_2_1,cap_3_1,cap_4_1,cap_5_1,cap_6_1,cap_7_1,cap_8_1,cap_9_1,cap_10_1,cap_12_1,cap_13_1,cap_14_1,cap_15_1,cap_16_1,cap_17_1,cap_18_1,cap_19_1,cap_20_1,cap_21_1,cap_22_1,cap_23_1,cap_24_1
1939m1,1,2818,2.833,41.133,.21,2.833,1.259,4.722,.315,0,0,.262,.052,.21,0,0,.21,.42,2.623,0,15.635,0,0,1.154,1.091,3.274,.735,3.378,43.164,.054,3.485,1.984,5.469,.134,0,.054,.295,.134,.268,0,0,.429,.375,3.056,0,9.115,0,0,.536,.976,3.249,1.34,2.833,41.133,.21,2.833,.525,1.259,4.722,1.522,1.522,.944,3.378,43.164,.054,3.485,.161,1.984,5.469,1.582,1.582,.804,0,.42,2.623,0,0,15.635,0,0,0,0,0,0,.375,3.056,0,0,9.115,0,0,0,0,.054,.105,4.014,.315,0,.525,0,.525,0,1.758,0,0,.054,3.485,.134,0,1.18,.054,1.287,0,1.555,0,0,56.034,7.2399998,.73500001,.52499998,5.4559999,18.677999,0,.20999999,3.148,6.296,1.2589999,.315,.105,0,0,62.681,7.7480001,.42899999,.75099999,6.5949998,12.547,.054,.107,1.3940001,6.7020001,.72399998,.26800001,0,0,0,59.390999,1.049,.52499998,1.2589999,.52499998,.315,0,0,.20999999,.105,1.469,4.5380001,1.758,.63,18.257999,0,0,.41999999,6.296,0,3.253,0,0,66.487999,.69700003,.58999997,2.198,.161,.134,0,0,.42899999,.054,.99199998,4.7179999,1.5549999,1.2869999,12.172,0,.054,.375,6.7020001,0,1.3940001,0,0
1939m2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.332334,6.4176664,.49000001,.51566665,4.9133333,27.367332,0,.14,2.5626667,4.6613333,1.2703333,.243,.64466666,0,.44199999,58.292999,6.8633334,.30199999,.62633333,6.2316666,18.681667,.036,.07133333,1.2673334,5.2920001,.75633331,.24300001,.82100002,0,.51499999,53.249999,.73233335,.38299998,1.3696666,.38299998,.21,0,0,.20633333,.07,1.5426667,4.2316667,1.3906667,.55266666,17.121666,0,0,10.245666,4.6613333,0,3.2073333,0,.44199999,61.631666,.54500002,.44166665,2.415,.12333333,.08933334,0,0,.30199999,.052,1.0123333,4.338,1.2846666,1.1516666,11.484,0,.036,7.1976668,5.2920001,0,2.0883334,0,.51499999
1939m3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.630667,5.5953331,.245,.50633333,4.3706667,36.056665,0,.07,1.9773333,3.0266666,1.2816666,.171,1.1843333,0,.88399998,53.904999,5.9786666,.175,.50166667,5.8683333,24.816333,.018,.03566667,1.1406667,3.882,.78866665,.218,1.642,0,1.03,47.108999,.41566667,.24099999,1.4803333,.24099999,.105,0,0,.20266667,.035,1.6163334,3.9253333,1.0233334,.47533333,15.985333,0,0,20.071333,3.0266666,0,3.1616666,0,.88399998,56.775332,.39300001,.29333332,2.632,.08566667,.04466667,0,0,.175,.05,1.0326666,3.958,1.0143333,1.0163333,10.796,0,.018,14.020334,3.882,0,2.7826667,0,1.03
1939m4,1,3122,2.038,30.129,0,2.536,.547,1.989,0,0,.597,0,0,.298,0,0,.199,29.897,.199,0,14.65,0,0,.398,0,.398,.895,2.438,36.311,0,3.139,1.642,2.414,0,0,.7,0,.048,.048,0,0,.048,20.843,.193,0,9.915,0,0,.338,.193,.792,1.304,2.038,30.129,0,2.536,.099,.547,1.989,.994,.994,.05,2.438,36.311,0,3.139,.048,1.642,2.414,1.231,1.231,.145,0,29.897,.199,0,0,14.65,0,0,0,0,0,0,20.843,.193,0,0,9.915,0,0,0,0,0,0,2.625,0,0,.398,.597,.497,0,.656,0,0,.048,2.781,0,0,.097,.7,.724,0,.744,0,0,38.929001,4.7729998,0,.49700001,3.8280001,44.745998,0,0,1.392,1.392,1.293,.099,1.724,0,1.326,49.516998,5.0939999,.048,.377,5.5050001,30.951,0,0,1.0140001,2.4719999,.82099998,.193,2.4630001,0,1.545,40.967999,.099,.099,1.591,.099,0,0,0,.199,0,1.6900001,3.619,.65600002,.398,14.849,0,0,29.896999,1.392,0,3.1159999,0,1.326,51.918999,.241,.145,2.849,.048,0,0,0,.048,.048,1.053,3.5780001,.74400002,.88099998,10.108,0,0,20.843,2.4719999,0,3.477,0,1.545
1939m5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.150001,5.2419998,.01485714,.50285715,3.5490001,46.344856,0,0,1.4114285,1.6048571,1.153,.09971429,1.7604285,.02971429,1.1365714,47.134998,5.5299999,.048,.40971429,5.1858572,33.234,.02728571,0,1.0230001,2.746857,.73099998,.17228572,2.3984286,.03414286,1.3242857,39.03157,.11457143,.08985714,1.4455714,.09971429,.07442858,0,0,.19285714,0,1.5651429,4.0028571,.69328573,.38585714,14.587857,0,0,31.771857,1.6048571,0,3.1718571,.02971429,1.1365714,49.431428,.22028571,.12428571,2.5958571,.06842857,.03414286,0,0,.048,.04114286,1.0165714,4.0322858,.71300002,.85599998,9.9741426,0,.02728571,23.289572,2.746857,0,3.4214286,.03414286,1.3242857
1939m6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.371001,5.7109998,.02971429,.50871429,3.27,47.943713,0,0,1.4308571,1.8177142,1.013,.10042857,1.7968571,.05942857,.94714284,44.752998,5.9659999,.048,.44242858,4.8667143,35.517,.05457143,0,1.032,3.0217142,.64099999,.15157143,2.3338572,.06828571,1.1035714,37.095142,.13014286,.08071429,1.3001428,.10042857,.14885715,0,0,.18671429,0,1.4402858,4.3867143,.73057144,.37371429,14.326714,0,0,33.646714,1.8177142,0,3.2277142,.05942857,.94714284,46.943856,.19957143,.10357143,2.3427143,.08885714,.06828571,0,0,.048,.03428571,.98014283,4.4865714,.68200002,.83099998,9.8402854,0,.05457143,25.736144,3.0217142,0,3.3658572,.06828571,1.1035714
1939m7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.592,6.1799998,.04457143,.51457143,2.991,49.54257,0,0,1.4502857,2.0305714,.87299999,.10114286,1.8332857,.08914286,.75771427,42.370998,6.4019999,.048,.47514286,4.5475715,37.8,.08185714,0,1.041,3.2965713,.55099999,.13085715,2.2692857,.10242857,.88285712,35.158713,.14571429,.07157143,1.1547143,.10114286,.22328573,0,0,.18057143,0,1.3154286,4.7705715,.76785715,.36157143,14.065571,0,0,35.521571,2.0305714,0,3.2835714,.08914286,.75771427,44.456285,.17885714,.08285714,2.0895714,.10928571,.10242857,0,0,.048,.02742857,.94371426,4.9408571,.65100001,.80599998,9.7064283,0,.08185714,28.182715,3.2965713,0,3.3102857,.10242857,.88285712
1939m8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.813,6.6489998,.05942857,.52042857,2.712,51.141428,0,0,1.4697143,2.2434285,.73299999,.10185714,1.8697143,.11885715,.5682857,39.988998,6.8379999,.048,.50785715,4.2284286,40.083,.10914286,0,1.05,3.5714285,.46099999,.11014286,2.2047143,.13657142,.66214284,33.222285,.16128572,.06242857,1.0092857,.10185714,.2977143,0,0,.17442857,0,1.1905714,5.1544287,.80514286,.34942857,13.804429,0,0,37.396428,2.2434285,0,3.3394285,.11885715,.5682857,41.968714,.15814286,.06214286,1.8364286,.12971429,.13657142,0,0,.048,.02057143,.90728569,5.3951428,.62000001,.78099998,9.5725711,0,.10914286,30.629287,3.5714285,0,3.2547143,.13657142,.66214284
1939m9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.034,7.1179998,.07428572,.52628571,2.433,52.740285,0,0,1.4891428,2.4562857,.59299999,.10257143,1.9061428,.14857143,.37885714,37.606998,7.2739999,.048,.54057143,3.9092857,42.365999,.13642857,0,1.059,3.8462856,.37099999,.08942857,2.1401428,.17071428,.44142856,31.285857,.17685715,.05328571,.86385714,.10257143,.37214288,0,0,.16828572,0,1.0657143,5.5382859,.84242857,.33728571,13.543286,0,0,39.271285,2.4562857,0,3.3952857,.14857143,.37885714,39.481143,.13742857,.04142857,1.5832857,.15014286,.17071428,0,0,.048,.01371429,.87085712,5.8494285,.58900001,.75599997,9.4387139,0,.13642857,33.075859,3.8462856,0,3.1991429,.17071428,.44142856
1939m10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.255,7.5869998,.08914286,.53214285,2.154,54.339142,0,0,1.5085714,2.6691428,.45299999,.10328572,1.9425714,.17828572,.18942857,35.224998,7.7099999,.048,.57328572,3.5901428,44.648999,.16371429,0,1.068,4.1211428,.281,.06871429,2.0755714,.20485714,.22071428,29.349428,.19242858,.04414286,.71842858,.10328572,.44657145,0,0,.16214286,0,.94085714,5.9221431,.87971428,.32514285,13.282143,0,0,41.146143,2.6691428,0,3.4511428,.17828572,.18942857,36.993572,.11671429,.02071429,1.3301429,.17057143,.20485714,0,0,.048,.00685714,.83442855,6.3037142,.55800001,.73099997,9.3048567,0,.16371429,35.52243,4.1211428,0,3.1435715,.20485714,.22071428
