ts,numsurveys,numrespondents,mipds_101_0,mipds_102_0,mipds_103_0,mipds_105_0,mipds_109_0,mipds_110_0,mipds_203_0,mipds_204_0,mipds_207_0,mipds_308_0,mipds_309_0,mipds_401_0,mipds_404_0,mipds_503_0,mipds_509_0,mipds_601_0,mipds_602_0,mipds_603_0,mipds_605_0,mipds_610_0,mipds_804_0,mipds_901_0,mipds_1001_0,mipds_1011_0,mipds_1012_0,mipds_101_1,mipds_102_1,mipds_103_1,mipds_105_1,mipds_109_1,mipds_110_1,mipds_203_1,mipds_204_1,mipds_207_1,mipds_308_1,mipds_309_1,mipds_401_1,mipds_404_1,mipds_503_1,mipds_509_1,mipds_601_1,mipds_602_1,mipds_603_1,mipds_605_1,mipds_610_1,mipds_804_1,mipds_901_1,mipds_1001_1,mipds_1011_1,mipds_1012_1,mipde_101_0,mipde_102_0,mipde_103_0,mipde_105_0,mipde_108_0,mipde_109_0,mipde_110_0,mipde_501_0,mipde_502_0,mipde_504_0,mipde_101_1,mipde_102_1,mipde_103_1,mipde_105_1,mipde_108_1,mipde_109_1,mipde_110_1,mipde_501_1,mipde_502_1,mipde_504_1,mipdfp_506_0,mipdfp_601_0,mipdfp_602_0,mipdfp_603_0,mipdfp_604_0,mipdfp_605_0,mipdfp_606_0,mipdfp_608_0,mipdfp_610_0,mipdfp_701_0,mipdfp_702_0,mipdfp_506_1,mipdfp_601_1,mipdfp_602_1,mipdfp_603_1,mipdfp_604_1,mipdfp_605_1,mipdfp_606_1,mipdfp_608_1,mipdfp_610_1,mipdfp_701_1,mipdfp_702_1,mipdsp_201_0,mipdsp_202_0,mipdsp_203_0,mipdsp_204_0,mipdsp_205_0,mipdsp_207_0,mipdsp_208_0,mipdsp_210_0,mipdsp_211_0,mipdsp_212_0,mipdsp_217_0,mipdsp_201_1,mipdsp_202_1,mipdsp_203_1,mipdsp_204_1,mipdsp_205_1,mipdsp_207_1,mipdsp_208_1,mipdsp_210_1,mipdsp_211_1,mipdsp_212_1,mipdsp_217_1,mipd_1_0,mipd_2_0,mipd_3_0,mipd_4_0,mipd_5_0,mipd_6_0,mipd_7_0,mipd_8_0,mipd_9_0,mipd_10_0,mipd_11_0,mipd_12_0,mipd_13_0,mipd_14_0,mipd_15_0,mipd_1_1,mipd_2_1,mipd_3_1,mipd_4_1,mipd_5_1,mipd_6_1,mipd_7_1,mipd_8_1,mipd_9_1,mipd_10_1,mipd_11_1,mipd_12_1,mipd_13_1,mipd_14_1,mipd_15_1,cap_1_0,cap_2_0,cap_3_0,cap_4_0,cap_5_0,cap_6_0,cap_7_0,cap_8_0,cap_9_0,cap_10_0,cap_12_0,cap_13_0,cap_14_0,cap_15_0,cap_16_0,cap_17_0,cap_18_0,cap_19_0,cap_20_0,cap_21_0,cap_22_0,cap_23_0,cap_24_0,cap_1_1,cap_2_1,cap_3_1,cap_4_1,cap_5_1,cap_6_1,cap_7_1,cap_8_1,cap_9_1,cap_10_1,cap_12_1,cap_13_1,cap_14_1,cap_15_1,cap_16_1,cap_17_1,cap_18_1,cap_19_1,cap_20_1,cap_21_1,cap_22_1,cap_23_1,cap_24_1
1939q1,1,2818,2.833,41.133,.21,2.833,1.259,4.722,.315,0,0,.262,.052,.21,0,0,.21,.42,2.623,0,15.635,0,0,1.154,1.091,3.274,.735,3.378,43.164,.054,3.485,1.984,5.469,.134,0,.054,.295,.134,.268,0,0,.429,.375,3.056,0,9.115,0,0,.536,.976,3.249,1.34,2.833,41.133,.21,2.833,.525,1.259,4.722,1.522,1.522,.944,3.378,43.164,.054,3.485,.161,1.984,5.469,1.582,1.582,.804,0,.42,2.623,0,0,15.635,0,0,0,0,0,0,.375,3.056,0,0,9.115,0,0,0,0,.054,.105,4.014,.315,0,.525,0,.525,0,1.758,0,0,.054,3.485,.134,0,1.18,.054,1.287,0,1.555,0,0,56.034,7.2399998,.73500001,.52499998,5.4559999,18.677999,0,.20999999,3.148,6.296,1.2589999,.315,.105,0,0,62.681,7.7480001,.42899999,.75099999,6.5949998,12.547,.054,.107,1.3940001,6.7020001,.72399998,.26800001,0,0,0,59.390999,1.049,.52499998,1.2589999,.52499998,.315,0,0,.20999999,.105,1.469,4.5380001,1.758,.63,18.257999,0,0,.41999999,6.296,0,3.253,0,0,66.487999,.69700003,.58999997,2.198,.161,.134,0,0,.42899999,.054,.99199998,4.7179999,1.5549999,1.2869999,12.172,0,.054,.375,6.7020001,0,1.3940001,0,0
1939q2,1,3122,2.038,30.129,0,2.536,.547,1.989,0,0,.597,0,0,.298,0,0,.199,29.897,.199,0,14.65,0,0,.398,0,.398,.895,2.438,36.311,0,3.139,1.642,2.414,0,0,.7,0,.048,.048,0,0,.048,20.843,.193,0,9.915,0,0,.338,.193,.792,1.304,2.038,30.129,0,2.536,.099,.547,1.989,.994,.994,.05,2.438,36.311,0,3.139,.048,1.642,2.414,1.231,1.231,.145,0,29.897,.199,0,0,14.65,0,0,0,0,0,0,20.843,.193,0,0,9.915,0,0,0,0,0,0,2.625,0,0,.398,.597,.497,0,.656,0,0,.048,2.781,0,0,.097,.7,.724,0,.744,0,0,38.929001,4.7729998,0,.49700001,3.8280001,44.745998,0,0,1.392,1.392,1.293,.099,1.724,0,1.326,49.516998,5.0939999,.048,.377,5.5050001,30.951,0,0,1.0140001,2.4719999,.82099998,.193,2.4630001,0,1.545,40.967999,.099,.099,1.591,.099,0,0,0,.199,0,1.6900001,3.619,.65600002,.398,14.849,0,0,29.896999,1.392,0,3.1159999,0,1.326,51.918999,.241,.145,2.849,.048,0,0,0,.048,.048,1.053,3.5780001,.74400002,.88099998,10.108,0,0,20.843,2.4719999,0,3.477,0,1.545
1939q3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7025,6.4144998,.052,.5175,2.8515,50.341999,0,0,1.46,2.137,.80299999,.1015,1.8515,.104,.66299999,41.179998,6.6199999,.048,.49150001,4.388,38.9415,.0955,0,1.0455,3.4339999,.50599999,.1205,2.237,.1195,.77249998,34.190499,.1535,.067,1.082,.1015,.26050001,0,0,.1775,0,1.253,4.9625001,.78650001,.3555,13.935,0,0,36.459,2.137,0,3.3115,.104,.66299999,43.2125,.1685,.0725,1.963,.1195,.1195,0,0,.048,.024,.92549998,5.168,.63550001,.79349998,9.6394997,0,.0955,29.406001,3.4339999,0,3.2825,.1195,.77249998
1939q4,1,3049,1.146,19.427,.104,1.84,.521,2.708,.521,0,2.639,0,.104,.208,0,0,.156,42.917,.208,0,12.708,0,0,.139,.26,1.302,.313,1.388,23.121,.191,2.266,.981,3.303,.239,0,3.311,0,.048,.191,0,0,.048,37.873,.415,0,8.549,0,0,.215,.263,2.154,.766,1.146,19.427,.104,1.84,.104,.521,2.708,.469,.469,.208,1.388,23.121,.191,2.266,.144,.981,3.303,.79,.79,.566,.104,42.917,.208,0,0,12.708,0,0,.104,0,0,.207,37.873,.415,0,0,8.549,0,0,.096,0,.191,.208,2.833,.521,0,.625,2.639,.313,0,.917,0,0,.335,1.723,.239,0,1.436,3.311,.574,0,.527,0,0,26.476,8.0559998,.104,.53799999,1.875,55.938,0,0,1.528,2.882,.31299999,.104,1.979,.208,0,32.842999,8.1459999,.048,.60600001,3.2709999,46.931999,.191,0,1.077,4.3959999,.191,.048,2.0109999,.23899999,0,27.413,.208,.035,.57300001,.104,.52100003,0,0,.156,0,.81599998,6.3060002,.917,.31299999,13.021,0,0,43.021,2.882,0,3.507,.208,0,34.506001,.096,0,1.077,.191,.23899999,0,0,.048,0,.79799998,6.7579999,.52700001,.70599997,9.1709995,0,.191,37.969002,4.3959999,0,3.0880001,.23899999,0
1940q1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.529333,6.4696665,.10366667,.37599999,5.8580001,51.144999,.086,0,1.3963333,5.4076665,.31166666,.10366667,2.075,.13866667,0,28.330666,6.7073332,.032,.54200001,6.1143332,48.023666,.231,0,1.322,6.1743333,.162,.06666667,2.0996666,.15933333,.03466667,27.617667,.20733334,.05766667,.72533333,.138,.34733335,0,0,.413,.05166667,.61266666,5.0970001,.61133333,.329,22.625333,0,.086,32.063667,5.4076665,0,3.4713333,.13866667,0,29.646667,.09866667,.138,.89066668,.162,.22833333,0,0,.239,0,.53199999,5.575,.38600001,.57433331,21.193333,0,.231,30.316001,6.1743333,0,3.4216668,.15933333,.03466667
1940q2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.582666,4.8833332,.10333333,.214,9.8410002,46.351999,.17199999,0,1.2646667,7.9333331,.31033332,.10333333,2.171,.06933333,0,23.818333,5.2686666,.016,.47800001,8.9576664,49.115334,.27099999,0,1.567,7.9526666,.133,.08533333,2.1883333,.07966666,.06933333,27.822334,.20666667,.08033333,.87766665,.172,.17366668,0,0,.66999999,.10333333,.40933333,3.888,.30566667,.345,32.229666,0,.17199999,21.106333,7.9333331,0,3.4356667,.06933333,0,24.787333,.10133334,.276,.70433335,.133,.21766667,0,0,.42999999,0,.26599999,4.392,.245,.44266665,33.215666,0,.27099999,22.663001,7.9526666,0,3.7553335,.07966666,.06933333
1940q3,1,2907,3.091,18.856,0,.515,.361,1.649,0,.052,1.649,0,0,0,0,0,.927,9.48,19.406,0,12.004,0,0,.309,1.056,7.058,.85,1.967,15.062,0,.104,.207,1.035,.207,0,2.07,0,0,0,0,0,.518,14.803,16.149,0,19.048,0,0,.259,.518,7.764,.518,3.091,18.856,0,.515,.103,.361,1.649,.567,.618,10.682,1.967,15.062,0,.104,0,.207,1.035,.207,.414,10.145,10.424,9.48,19.406,0,0,12.004,0,0,.67,0,.258,10.041,14.803,16.149,0,0,19.048,0,0,.207,0,.311,.464,.618,0,.052,.052,1.649,.412,0,0,0,.052,0,.932,.207,0,.104,2.07,.207,0,.104,0,.207,26.636,3.2969999,.103,.052,13.824,41.558998,.25799999,0,1.133,10.459,.30899999,.103,2.267,0,0,19.306,3.8299999,0,.414,11.801,50.207001,.31099999,0,1.812,9.7309999,.104,.104,2.277,0,.104,28.027,.206,.103,1.03,.206,0,0,0,.92699999,.155,.206,2.6789999,0,.361,41.834,0,.25799999,10.149,10.459,0,3.4000001,0,0,19.927999,.104,.414,.51800001,.104,.207,0,0,.62099999,0,0,3.2090001,.104,.31099999,45.237999,0,.31099999,15.01,9.7309999,0,4.0890002,0,.104
1940q4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.623,2.6375999,.0824,.0416,13.4888,47.310799,.20639999,0,1.0858,8.8919997,.24719999,.0824,2.302,0,0,18.1474,3.0639999,0,.3312,12.2324,53.029001,.24879999,0,1.6448,8.4323999,.0832,.0832,2.621,0,.0832,24.5988,.1648,.0824,.82399998,.34400001,0,0,0,.74159999,.124,.1648,2.1431999,0,.2888,41.131599,0,.20639999,16.906,8.8919997,0,3.3876001,0,0,18.5628,.0832,.3312,.41440001,.2352,.1656,0,0,.49679999,0,0,2.5672001,.0832,.24879999,43.417599,0,.24879999,20.3662,8.4323999,0,4.2658002,0,.0832
1941q1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.61,1.9782,.0618,.0312,13.1536,53.062599,.15479999,0,1.0386,7.3249998,.18539999,.0618,2.3369999,0,0,16.9888,2.298,0,.2484,12.6638,55.851001,.18659999,0,1.4776,7.1337999,.0624,.0624,2.965,0,.0624,21.1706,.1236,.0618,.61799998,.48200001,0,0,0,.55619999,.093,.1236,1.6073999,0,.2166,40.429199,0,.15479999,23.662999,7.3249998,0,3.3752001,0,0,17.1976,.0624,.2484,.3108,.3664,.1242,0,0,.3726,0,0,1.9254001,.0624,.18659999,41.5972,0,.18659999,25.7224,7.1337999,0,4.4426002,0,.0624
1941q2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.597,1.3188,.0412,.0208,12.8184,58.8144,.10319999,0,.99140002,5.7579999,.12359999,.0412,2.3719999,0,0,15.8302,1.532,0,.1656,13.0952,58.673001,.1244,0,1.3104,5.8351999,.0416,.0416,3.309,0,.0416,17.7424,.0824,.0412,.41199999,.62000002,0,0,0,.37079999,.062,.0824,1.0716,0,.1444,39.726799,0,.10319999,30.419999,5.7579999,0,3.3628001,0,0,15.8324,.0416,.1656,.2072,.4976,.0828,0,0,.2484,0,0,1.2836,.0416,.1244,39.776801,0,.1244,31.0786,5.8351999,0,4.6194001,0,.0416
