studyid,prev_ts,next_ts,fw_start,fw_end,sample,mipid,weightavailable,unique_mip,respondents,entry,male,income_quartile,mipd1_0,mipd2_0,mipd3_0,mipd4_0,mipd5_0,mipd6_0,mipd7_0,mipd8_0,mipd9_0,mipd10_0,mipd11_0,mipd12_0,mipd13_0,mipd14_0,mipd15_0,mipds101_0,mipds102_0,mipds103_0,mipds105_0,mipds109_0,mipds110_0,mipds203_0,mipds204_0,mipds207_0,mipds308_0,mipds309_0,mipds401_0,mipds404_0,mipds503_0,mipds509_0,mipds601_0,mipds602_0,mipds603_0,mipds605_0,mipds610_0,mipds804_0,mipds901_0,mipds1001_0,mipds1011_0,mipds1012_0,mipde101_0,mipde102_0,mipde103_0,mipde105_0,mipde108_0,mipde109_0,mipde110_0,mipde501_0,mipde502_0,mipde504_0,mipdfp506_0,mipdfp601_0,mipdfp602_0,mipdfp603_0,mipdfp604_0,mipdfp605_0,mipdfp606_0,mipdfp608_0,mipdfp610_0,mipdfp701_0,mipdfp702_0,mipdsp201_0,mipdsp202_0,mipdsp203_0,mipdsp204_0,mipdsp205_0,mipdsp207_0,mipdsp208_0,mipdsp210_0,mipdsp211_0,mipdsp212_0,mipdsp217_0,cap1_0,cap2_0,cap3_0,cap4_0,cap5_0,cap6_0,cap7_0,cap8_0,cap9_0,cap10_0,cap12_0,cap13_0,cap14_0,cap15_0,cap16_0,cap17_0,cap18_0,cap19_0,cap20_0,cap21_0,cap22_0,cap23_0,cap24_0,mipd1_1,mipd2_1,mipd3_1,mipd4_1,mipd5_1,mipd6_1,mipd7_1,mipd8_1,mipd9_1,mipd10_1,mipd11_1,mipd12_1,mipd13_1,mipd14_1,mipd15_1,mipds101_1,mipds102_1,mipds103_1,mipds105_1,mipds109_1,mipds110_1,mipds203_1,mipds204_1,mipds207_1,mipds308_1,mipds309_1,mipds401_1,mipds404_1,mipds503_1,mipds509_1,mipds601_1,mipds602_1,mipds603_1,mipds605_1,mipds610_1,mipds804_1,mipds901_1,mipds1001_1,mipds1011_1,mipds1012_1,mipde101_1,mipde102_1,mipde103_1,mipde105_1,mipde108_1,mipde109_1,mipde110_1,mipde501_1,mipde502_1,mipde504_1,mipdfp506_1,mipdfp601_1,mipdfp602_1,mipdfp603_1,mipdfp604_1,mipdfp605_1,mipdfp606_1,mipdfp608_1,mipdfp610_1,mipdfp701_1,mipdfp702_1,mipdsp201_1,mipdsp202_1,mipdsp203_1,mipdsp204_1,mipdsp205_1,mipdsp207_1,mipdsp208_1,mipdsp210_1,mipdsp211_1,mipdsp212_1,mipdsp217_1,cap1_1,cap2_1,cap3_1,cap4_1,cap5_1,cap6_1,cap7_1,cap8_1,cap9_1,cap10_1,cap12_1,cap13_1,cap14_1,cap15_1,cap16_1,cap17_1,cap18_1,cap19_1,cap20_1,cap21_1,cap22_1,cap23_1,cap24_1
"usaipo1939-0143",03nov1936,05nov1940,09jan1939,14jan1939,"National Adults",2,"None",69,2818,,"Male",,56.03358,7.240294,.7345226,.524659,5.456453,18.67786,0,.2098636,3.147954,6.295907,1.259181,.3147954,.1049318,0,0,2.833158,41.13326,.2098636,2.833158,1.259181,4.721931,.3147954,0,0,.2623295,.0524659,.2098636,0,0,.2098636,.4197272,2.623295,0,15.63484,0,0,1.15425,1.091291,3.273872,.7345226,2.833158,41.13326,.2098636,2.833158,.524659,1.259181,4.721931,1.521511,1.521511,.9443861,0,.4197272,2.623295,0,0,15.63484,0,0,0,0,0,.1049318,4.013641,.3147954,0,.524659,0,.524659,0,1.757608,0,0,59.3914,1.049318,.524659,1.259181,.524659,.3147954,0,0,.2098636,.1049318,1.469045,4.5383,1.757608,.6295907,18.25813,0,0,.4197272,6.295907,0,3.252886,0,0,62.68097,7.747989,.4289544,.7506703,6.595174,12.54692,.0536193,.1072386,1.394102,6.702413,.7238606,.2680965,0,0,0,3.378016,43.16354,.0536193,3.485255,1.983914,5.469169,.1340483,0,.0536193,.2949062,.1340483,.2680965,0,0,.4289544,.3753351,3.0563,0,9.115281,0,0,.536193,.9758714,3.24933,1.340483,3.378016,43.16354,.0536193,3.485255,.1608579,1.983914,5.469169,1.581769,1.581769,.8042895,0,.3753351,3.0563,0,0,9.115281,0,0,0,0,.0536193,.0536193,3.485255,.1340483,0,1.179625,.0536193,1.286863,0,1.55496,0,0,66.48794,.6970509,.5898123,2.198391,.1608579,.1340483,0,0,.4289544,.0536193,.9919571,4.718499,1.55496,1.286863,12.17158,0,.0536193,.3753351,6.702413,0,1.394102,0,0
"usaipo1939-0155",03nov1936,05nov1940,21apr1939,26apr1939,"National Adults",2,"None",47,3122,,"Male",,38.9294,4.772953,0,.4971826,3.828306,44.74644,0,0,1.392111,1.392111,1.292675,.0994365,1.723567,0,1.32582,2.038449,30.12927,0,2.535631,.5469009,1.98873,0,0,.5966191,0,0,.2983096,0,0,.198873,29.89725,.198873,0,14.65032,0,0,.3977461,0,.3977461,.8949287,2.038449,30.12927,0,2.535631,.0994365,.5469009,1.98873,.9943652,.9943652,.0497183,0,29.89725,.198873,0,0,14.65032,0,0,0,0,0,0,2.625124,0,0,.3977461,.5966191,.4971826,0,.6562811,0,0,40.96785,.0994365,.0994365,1.590984,.0994365,0,0,0,.198873,0,1.690421,3.61949,.6562811,.3977461,14.84919,0,0,29.89725,1.392111,0,3.115678,0,1.32582,49.51714,5.094157,.0482859,.3766297,5.504587,30.95123,0,0,1.014003,2.472236,.8208595,.1931434,2.462579,0,1.545147,2.438436,36.31096,0,3.13858,1.641719,2.414293,0,0,.7001449,0,.0482859,.0482859,0,0,.0482859,20.84339,.1931434,0,9.914696,0,0,.338001,.1931434,.7918879,1.303718,2.438436,36.31096,0,3.13858,.0482859,1.641719,2.414293,1.231289,1.231289,.1448576,0,20.84339,.1931434,0,0,9.914696,0,0,0,0,0,.0482859,2.781265,0,0,.0965717,.7001449,.7242878,0,.7436022,0,0,51.91936,.2414293,.1448576,2.848865,.0482859,0,0,0,.0482859,.0482859,1.052631,3.577981,.7436022,.8812168,10.10784,0,0,20.84339,2.472236,0,3.476581,0,1.545147
"usaipo1939-0176",03nov1936,05nov1940,10nov1939,15nov1939,"National Adults",2,"None",96,3049,,"Male",,26.47569,8.055555,.1041667,.5381945,1.875,55.9375,0,0,1.527778,2.881945,.3125,.1041667,1.979167,.2083333,0,1.145833,19.42708,.1041667,1.840278,.5208333,2.708333,.5208333,0,2.638889,0,.1041667,.2083333,0,0,.15625,42.91667,.2083333,0,12.70833,0,0,.1388889,.2604167,1.302083,.3125,1.145833,19.42708,.1041667,1.840278,.1041667,.5208333,2.708333,.46875,.46875,.2083333,.1041667,42.91667,.2083333,0,0,12.70833,0,0,.1041667,0,0,.2083333,2.833333,.5208333,0,.625,2.638889,.3125,0,.9166667,0,0,27.41319,.2083333,.0347222,.5729167,.1041667,.5208333,0,0,.15625,0,.8159722,6.305555,.9166667,.3125,13.02083,0,0,43.02083,2.881945,0,3.506945,.2083333,0,32.84267,8.145844,.0478698,.6063507,3.271103,46.93235,.1914792,0,1.07707,4.396043,.1914792,.0478698,2.010531,.239349,0,1.388224,23.12111,.1914792,2.265837,.9813308,3.303016,.239349,0,3.310994,0,.0478698,.1914792,0,0,.0478698,37.87299,.4148716,0,8.548747,0,0,.2154141,.2632839,2.154141,.7659167,1.388224,23.12111,.1914792,2.265837,.1436094,.9813308,3.303016,.7898516,.7898516,.5664592,.2074358,37.87299,.4148716,0,0,8.548747,0,0,.0957396,0,.1914792,.3350886,1.723313,.239349,0,1.436094,3.310994,.5744376,0,.5265678,0,0,34.50614,.0957396,0,1.07707,.1914792,.239349,0,0,.0478698,0,.7978299,6.757619,.5265678,.7060795,9.171055,0,.1914792,37.96873,4.396043,0,3.087602,.239349,0
"usaipo1940-0205",03nov1936,05nov1940,10aug1940,16aug1940,"National Adults",2,"None",130,2907,,"Female",,26.63576,3.297269,.1030397,.0515198,13.82449,41.55933,.2575992,0,1.133436,10.45853,.309119,.1030397,2.266873,0,0,3.09119,18.85626,0,.5151983,.3606389,1.648635,0,.0515198,1.648635,0,0,0,0,0,.927357,9.47965,19.40581,0,12.00412,0,0,.309119,1.056157,7.058218,.8500773,3.09119,18.85626,0,.5151983,.1030397,.3606389,1.648635,.5667182,.618238,10.68178,10.42418,9.47965,19.40581,0,0,12.00412,0,0,.6697578,0,.2575992,.4636785,.618238,0,.0515198,.0515198,1.648635,.4121587,0,0,0,.0515198,28.02679,.2060793,.1030397,1.030397,.2060793,0,0,0,.927357,.1545595,.2060793,2.679031,0,.3606389,41.83411,0,.2575992,10.14941,10.45853,0,3.400309,0,0,19.30642,3.830228,0,.4140787,11.80124,50.20704,.310559,0,1.811594,9.730849,.1035197,.1035197,2.277433,0,.1035197,1.966874,15.06211,0,.1035197,.2070393,1.035197,.2070393,0,2.070393,0,0,0,0,0,.5175983,14.80331,16.14907,0,19.04762,0,0,.2587992,.5175983,7.763975,.5175983,1.966874,15.06211,0,.1035197,0,.2070393,1.035197,.2070393,.4140787,10.14493,10.04141,14.80331,16.14907,0,0,19.04762,0,0,.2070393,0,.310559,0,.931677,.2070393,0,.1035197,2.070393,.2070393,0,.1035197,0,.2070393,19.92754,.1035197,.4140787,.5175983,.1035197,.2070393,0,0,.621118,0,0,3.20911,.1035197,.310559,45.23809,0,.310559,15.01035,9.730849,0,4.089027,0,.1035197
"usaipo1941-252",05nov1940,07nov1944,07nov1941,12nov1941,"National Adults",21,"None",24,2948,,"Male",,14.59507,0,0,0,13.16256,67.28021,0,0,.5847954,2.313382,0,0,2.063983,0,0,0,1.313332,1.988304,0,1.393189,8.513932,0,0,0,0,0,0,0,0,0,30.52902,0,0,23.55103,0,0,.5847954,0,2.244582,.0687995,0,1.313332,1.988304,0,1.386309,1.393189,8.513932,0,.4127967,12.74977,12.74977,30.52902,0,0,0,23.55103,0,0,13.20016,0,0,0,0,0,0,0,0,0,0,0,0,0,13.62155,0,0,0,1.386309,0,0,0,0,0,0,0,0,0,36.3008,0,0,43.72918,2.313382,0,2.648779,0,0,16.53192,0,0,0,18.97844,57.69918,0,0,.4438269,3.554826,0,0,2.791814,0,0,0,2.109651,2.098703,0,1.409803,9.99242,0,0,0,0,0,0,0,0,0,24.05003,0,0,21.32137,0,0,.4438269,0,3.16574,.3890854,0,2.109651,2.098703,0,.9213408,1.409803,9.99242,0,.6855314,18.29291,18.29291,24.05003,0,0,0,21.32137,0,0,12.32778,0,0,0,0,0,0,0,0,0,0,0,0,0,16.29611,0,0,0,.9213408,0,0,0,0,0,0,0,0,0,39.61428,0,0,36.3778,3.554826,0,3.235641,0,0
"usaipo1941-0254",05nov1940,07nov1944,27nov1941,02dec1941,"National Adults",14,"None",33,2843,,"Female",,8.436193,0,0,0,11.09658,73.46757,0,0,1.220363,2.946304,0,0,2.832985,0,0,0,.7670851,1.724198,.41841,3.206067,1.933403,0,0,0,0,0,0,0,0,0,33.11367,0,0,29.32183,0,0,1.220363,0,2.684798,.2615063,0,.7670851,1.724198,.41841,.3870293,3.206067,1.933403,0,0,11.09658,11.09658,33.11367,0,0,0,29.32183,0,2.013598,9.01848,0,0,0,0,0,0,0,0,0,0,0,0,0,8.049163,0,0,0,.3870293,0,0,0,0,0,0,0,0,0,40.41841,0,0,44.14574,2.946304,0,4.053347,0,0,10.38244,0,0,0,8.752871,71.18,0,0,1.527999,2.910263,0,0,5.246423,0,0,0,1.139375,2.495142,.3974563,2.799859,2.958841,0,0,0,0,0,0,0,0,0,33.37308,0,0,23.77672,0,0,1.527999,0,1.921039,.9892245,0,1.139375,2.495142,.3974563,.5917683,2.799859,2.958841,0,0,8.752871,8.752871,33.37308,0,0,0,23.77672,0,1.982865,12.04734,0,0,0,0,0,0,0,0,0,0,0,0,0,9.790673,0,0,0,.5917683,0,0,0,0,0,0,0,0,0,32.52959,0,0,47.40329,2.910263,0,6.774422,0,0
"usaipo1942-0286",05nov1940,07nov1944,17dec1942,22dec1942,"National Adults",5,"None",13,2935,,"Female",,22.93812,8.913553,1.459361,0,7.629741,25.94483,0,0,0,4.071316,0,0,16.38228,0,12.6608,3.814011,8.761513,6.548586,3.814011,0,0,1.435342,0,0,0,1.459361,0,0,0,0,0,0,0,19.36011,0,0,0,0,3.392763,0,3.814011,8.761513,6.548586,3.814011,0,0,0,0,0,0,0,2.734576,0,0,0,19.36011,0,3.850147,0,0,0,1.459361,1.459361,1.435342,0,0,0,0,0,0,0,4.559489,22.93812,1.459361,0,7.629741,0,1.435342,0,0,0,0,0,2.918722,0,0,23.9196,0,0,6.584722,4.071316,0,16.38228,0,12.6608,24.69462,6.760675,.9887431,0,7.691636,27.96873,0,0,0,7.128324,0,0,15.57659,0,9.190672,4.033276,10.0767,6.551375,4.033276,0,0,.5624142,0,0,0,.9887431,0,0,0,0,0,0,0,21.50459,0,0,0,0,5.940269,0,4.033276,10.0767,6.551375,4.033276,0,0,0,0,0,0,0,2.5181,0,0,0,21.50459,0,3.946045,0,0,0,.9887431,.9887431,.5624142,0,0,0,0,0,0,0,4.220774,24.69462,.9887431,0,7.691636,0,.5624142,0,0,0,0,0,1.977486,0,0,25.72536,0,0,6.464144,7.128324,0,15.57659,0,9.190672
"usnorc1944-0229",05nov1940,07nov1944,01oct1944,31oct1944,"National Adults",19,"None",25,2554,,"Male",,39.87329,15.70021,.996318,.498159,2.331059,30.07867,.1949318,0,.498159,2.291841,1.494477,0,.2923976,0,5.750487,1.28655,27.77778,2.573099,2.849253,.2761534,3.664718,.498159,0,.2761534,0,.996318,0,0,0,0,2.534113,0,0,26.09417,.2192982,0,0,.214425,.9356726,.2923976,1.28655,27.77778,2.573099,2.849253,.6822612,.2761534,3.664718,.2761534,.3979857,0,0,2.534113,0,0,0,26.09417,0,1.231087,.2192982,.1949318,0,1.308828,0,.498159,0,0,.2761534,0,0,1.130604,0,12.48646,39.37784,.996318,.498159,1.65692,.6822612,.498159,0,0,0,0,1.494477,2.08314,1.130604,.4873294,38.08247,0,0,4.17943,2.291841,0,.7905566,0,5.750487,40.10798,14.70212,.6253636,.3126818,2.503272,32.66595,.7853403,0,.3126818,2.694465,.9380454,0,.2290576,0,4.123037,1.034031,27.04516,2.068063,2.460733,.3926702,5.340314,.3126818,0,.3926702,0,.6253636,0,0,0,0,3.010471,0,0,28.08012,.3435864,0,0,.3534032,1.289267,.2290576,1.034031,27.04516,2.068063,2.460733,.8507853,.3926702,5.340314,.3926702,.4744764,0,0,3.010471,0,0,0,28.08012,0,1.231769,.3435864,.7853403,0,.9910247,0,.3126818,0,0,.3926702,0,0,2.434555,0,10.57119,39.60078,.6253636,.3126818,1.636126,.8507853,.3126818,0,0,0,0,.9380454,1.696377,2.434555,.5235602,38.33863,0,0,5.371167,2.694465,0,.5417394,0,4.123037
"usaipo1945-0342",07nov1944,02nov1948,09mar1945,15mar1945,"National Adults",5,"None",25,2736,,"Male",,26.78456,10.95663,5.835655,.2851034,4.434468,27.78064,4.973272,0,5.753773,3.495062,5.317375,0,4.383464,0,0,0,8.088517,5.689308,3.179627,0,9.030774,.6992952,0,0,0,5.835655,.2851034,0,0,0,1.484913,0,0,24.56334,0,0,.1425517,0,2.330041,.5825103,0,8.088517,5.689308,3.179627,.2138275,0,9.030774,0,1.589814,1.589814,0,2.739754,0,0,0,24.56334,0,.4775481,0,4.973272,0,0,0,.6992952,0,0,0,0,0,0,0,10.25733,29.16785,5.835655,0,1.25484,.2138275,.6992952,0,0,0,0,5.602479,0,0,.5825103,34.82067,0,0,8.190573,3.495062,0,10.13724,0,0,31.25101,9.815373,3.693456,.4344836,4.793591,30.04011,4.841419,0,3.415177,4.931606,2.00571,0,4.778069,0,0,0,9.170981,5.774669,3.812512,0,11.44085,.2709011,0,0,0,3.693456,.4344836,0,0,0,1.657915,0,0,27.01102,0,0,.1500375,0,3.287738,.8219344,0,9.170981,5.774669,3.812512,.2300575,0,11.44085,0,1.906256,1.906256,0,2.638993,0,0,0,27.01102,0,.3900975,0,4.841419,0,0,0,.2709011,0,0,0,0,0,0,0,9.544473,34.01153,3.693456,0,.9810786,.2300575,.2709011,0,0,0,0,2.440193,0,0,.8219344,36.55549,0,0,7.87051,4.931606,0,8.193247,0,0
"usaipo1945-0354",07nov1944,02nov1948,24aug1945,29aug1945,"National Adults",13,"None",25,2921,,"Female",,58.06575,10.73123,1.124286,.1701801,3.237813,21.81363,1.195495,0,.3952569,.0988142,.1701801,0,2.602108,.3952569,0,0,51.009,1.624945,2.006086,0,2.521018,0,0,0,0,1.124286,.1701801,0,0,0,1.766422,0,.1317523,19.91546,0,0,0,.0988142,0,0,0,51.009,1.624945,2.006086,.9046992,0,2.521018,0,0,.1690821,.0702679,1.766422,0,.1317523,0,19.91546,0,0,0,1.085702,.1097936,0,0,0,0,0,0,0,0,.4830918,0,10.24813,57.25986,1.124286,0,3.068731,.9046992,0,0,0,0,0,.3403601,0,.4830918,0,30.36561,0,.1097936,2.852124,.0988142,0,2.997365,.3952569,0,58.81937,8.107627,1.639344,.1484913,3.146828,23.15328,1.14211,0,.0712758,.1781896,.1484913,0,2.946068,.4989309,0,0,47.91399,3.296508,1.247327,0,5.358925,0,0,0,0,1.639344,.1484913,0,0,0,1.546007,0,.0712758,21.53599,0,0,0,.1781896,0,0,0,47.91399,3.296508,1.247327,1.002613,0,5.358925,0,0,.3730102,.1948206,1.546007,0,.0712758,0,21.53599,0,0,0,1.005498,.136612,0,0,0,0,0,0,0,0,.4989309,0,7.608696,57.99495,1.639344,0,2.773818,1.002613,0,0,0,0,0,.2969826,0,.4989309,0,29.41079,0,.136612,2.551505,.1781896,0,3.017344,.4989309,0
