g	problem	cat	numsurveys	numrespondents	perc	year	month	quarter
0	1	1	1	2818	56.034	1939	1	1
0	2	1	1	2818	7.2399998	1939	1	1
0	3	1	1	2818	.73500001	1939	1	1
0	4	1	1	2818	.52499998	1939	1	1
0	5	1	1	2818	5.4559999	1939	1	1
0	6	1	1	2818	18.677999	1939	1	1
0	7	1	1	2818	0	1939	1	1
0	8	1	1	2818	.20999999	1939	1	1
0	9	1	1	2818	3.148	1939	1	1
0	10	1	1	2818	6.296	1939	1	1
0	11	1	1	2818	1.2589999	1939	1	1
0	12	1	1	2818	.315	1939	1	1
0	13	1	1	2818	.105	1939	1	1
0	14	1	1	2818	0	1939	1	1
0	15	1	1	2818	0	1939	1	1
0	101	2	1	2818	2.8329999	1939	1	1
0	102	2	1	2818	41.132999	1939	1	1
0	103	2	1	2818	.20999999	1939	1	1
0	104	2	1	2818	0	1939	1	1
0	105	2	1	2818	2.8329999	1939	1	1
0	106	2	1	2818	1.8890001	1939	1	1
0	107	2	1	2818	.63	1939	1	1
0	108	2	1	2818	.52499998	1939	1	1
0	109	2	1	2818	1.2589999	1939	1	1
0	110	2	1	2818	4.7220001	1939	1	1
0	201	2	1	2818	0	1939	1	1
0	202	2	1	2818	4.0139999	1939	1	1
0	203	2	1	2818	.315	1939	1	1
0	204	2	1	2818	0	1939	1	1
0	205	2	1	2818	.52499998	1939	1	1
0	206	2	1	2818	0	1939	1	1
0	207	2	1	2818	0	1939	1	1
0	208	2	1	2818	.52499998	1939	1	1
0	209	2	1	2818	0	1939	1	1
0	210	2	1	2818	0	1939	1	1
0	211	2	1	2818	1.758	1939	1	1
0	212	2	1	2818	0	1939	1	1
0	213	2	1	2818	.105	1939	1	1
0	214	2	1	2818	0	1939	1	1
0	215	2	1	2818	0	1939	1	1
0	216	2	1	2818	0	1939	1	1
0	217	2	1	2818	0	1939	1	1
0	301	2	1	2818	0	1939	1	1
0	302	2	1	2818	0	1939	1	1
0	304	2	1	2818	.20999999	1939	1	1
0	306	2	1	2818	0	1939	1	1
0	307	2	1	2818	.20999999	1939	1	1
0	308	2	1	2818	.26199999	1939	1	1
0	309	2	1	2818	.052	1939	1	1
0	310	2	1	2818	0	1939	1	1
0	401	2	1	2818	.20999999	1939	1	1
0	402	2	1	2818	0	1939	1	1
0	403	2	1	2818	0	1939	1	1
0	404	2	1	2818	0	1939	1	1
0	405	2	1	2818	.315	1939	1	1
0	406	2	1	2818	0	1939	1	1
0	407	2	1	2818	0	1939	1	1
0	501	2	1	2818	1.522	1939	1	1
0	502	2	1	2818	1.522	1939	1	1
0	503	2	1	2818	0	1939	1	1
0	504	2	1	2818	.94400001	1939	1	1
0	505	2	1	2818	0	1939	1	1
0	506	2	1	2818	0	1939	1	1
0	507	2	1	2818	0	1939	1	1
0	508	2	1	2818	1.2589999	1939	1	1
0	509	2	1	2818	.20999999	1939	1	1
0	601	2	1	2818	.41999999	1939	1	1
0	602	2	1	2818	2.6229999	1939	1	1
0	603	2	1	2818	0	1939	1	1
0	604	2	1	2818	0	1939	1	1
0	605	2	1	2818	15.635	1939	1	1
0	606	2	1	2818	0	1939	1	1
0	608	2	1	2818	0	1939	1	1
0	609	2	1	2818	0	1939	1	1
0	610	2	1	2818	0	1939	1	1
0	611	2	1	2818	0	1939	1	1
0	701	2	1	2818	0	1939	1	1
0	702	2	1	2818	0	1939	1	1
0	703	2	1	2818	0	1939	1	1
0	704	2	1	2818	0	1939	1	1
0	705	2	1	2818	0	1939	1	1
0	801	2	1	2818	0	1939	1	1
0	802	2	1	2818	0	1939	1	1
0	803	2	1	2818	0	1939	1	1
0	804	2	1	2818	0	1939	1	1
0	805	2	1	2818	0	1939	1	1
0	806	2	1	2818	0	1939	1	1
0	807	2	1	2818	.20999999	1939	1	1
0	901	2	1	2818	1.154	1939	1	1
0	902	2	1	2818	.41999999	1939	1	1
0	903	2	1	2818	1.469	1939	1	1
0	904	2	1	2818	.105	1939	1	1
0	905	2	1	2818	0	1939	1	1
0	906	2	1	2818	0	1939	1	1
0	908	2	1	2818	0	1939	1	1
0	1001	2	1	2818	1.091	1939	1	1
0	1002	2	1	2818	0	1939	1	1
0	1003	2	1	2818	0	1939	1	1
0	1004	2	1	2818	0	1939	1	1
0	1005	2	1	2818	0	1939	1	1
0	1006	2	1	2818	0	1939	1	1
0	1007	2	1	2818	0	1939	1	1
0	1008	2	1	2818	0	1939	1	1
0	1009	2	1	2818	0	1939	1	1
0	1010	2	1	2818	1.196	1939	1	1
0	1011	2	1	2818	3.2739999	1939	1	1
0	1012	2	1	2818	.73500001	1939	1	1
0	1101	2	1	2818	1.2589999	1939	1	1
0	1102	2	1	2818	0	1939	1	1
0	1103	2	1	2818	0	1939	1	1
0	1104	2	1	2818	0	1939	1	1
0	1105	2	1	2818	0	1939	1	1
0	1106	2	1	2818	0	1939	1	1
0	1201	2	1	2818	.315	1939	1	1
0	1301	2	1	2818	.105	1939	1	1
0	1302	2	1	2818	0	1939	1	1
0	1401	2	1	2818	0	1939	1	1
0	1501	2	1	2818	0	1939	1	1
0	101	3	1	2818	2.8329999	1939	1	1
0	102	3	1	2818	41.132999	1939	1	1
0	103	3	1	2818	.20999999	1939	1	1
0	104	3	1	2818	0	1939	1	1
0	105	3	1	2818	2.8329999	1939	1	1
0	106	3	1	2818	1.8890001	1939	1	1
0	107	3	1	2818	.63	1939	1	1
0	108	3	1	2818	.52499998	1939	1	1
0	109	3	1	2818	1.2589999	1939	1	1
0	110	3	1	2818	4.7220001	1939	1	1
0	501	3	1	2818	1.522	1939	1	1
0	502	3	1	2818	1.522	1939	1	1
0	503	3	1	2818	0	1939	1	1
0	504	3	1	2818	.94400001	1939	1	1
0	505	3	1	2818	0	1939	1	1
0	506	3	1	2818	0	1939	1	1
0	201	4	1	2818	0	1939	1	1
