g	problem	cat	numsurveys	numrespondents	perc	year
0	1	1	3	8989	40.067001	1939
0	2	1	3	8989	6.6599998	1939
0	3	1	3	8989	.266	1939
0	4	1	3	8989	.51999998	1939
0	5	1	3	8989	3.6760001	1939
0	6	1	3	8989	40.369999	1939
0	7	1	3	8989	0	1939
0	8	1	3	8989	.066	1939
0	9	1	3	8989	1.989	1939
0	10	1	3	8989	3.4349999	1939
0	11	1	3	8989	.94999999	1939
0	12	1	3	8989	.169	1939
0	13	1	3	8989	1.303	1939
0	14	1	3	8989	.071	1939
0	15	1	3	8989	.46000001	1939
0	101	2	3	8989	1.985	1939
0	102	2	3	8989	29.948999	1939
0	103	2	3	8989	.101	1939
0	104	2	3	8989	0	1939
0	105	2	3	8989	2.3929999	1939
0	106	2	3	8989	1.113	1939
0	107	2	3	8989	.442	1939
0	108	2	3	8989	.234	1939
0	109	2	3	8989	.76099998	1939
0	110	2	3	8989	3.0899999	1939
0	201	2	3	8989	.071	1939
0	202	2	3	8989	3.131	1939
0	203	2	3	8989	.27500001	1939
0	204	2	3	8989	0	1939
0	205	2	3	8989	.51499999	1939
0	206	2	3	8989	0	1939
0	207	2	3	8989	1.102	1939
0	208	2	3	8989	.44299999	1939
0	209	2	3	8989	0	1939
0	210	2	3	8989	0	1939
0	211	2	3	8989	1.09	1939
0	212	2	3	8989	0	1939
0	213	2	3	8989	.033	1939
0	214	2	3	8989	0	1939
0	215	2	3	8989	0	1939
0	216	2	3	8989	0	1939
0	217	2	3	8989	0	1939
0	301	2	3	8989	0	1939
0	302	2	3	8989	0	1939
0	304	2	3	8989	.066	1939
0	306	2	3	8989	0	1939
0	307	2	3	8989	.066	1939
0	308	2	3	8989	.082	1939
0	309	2	3	8989	.052	1939
0	310	2	3	8989	0	1939
0	401	2	3	8989	.23999999	1939
0	402	2	3	8989	0	1939
0	403	2	3	8989	0	1939
0	404	2	3	8989	0	1939
0	405	2	3	8989	.145	1939
0	406	2	3	8989	0	1939
0	407	2	3	8989	.13500001	1939
0	501	2	3	8989	.98100001	1939
0	502	2	3	8989	.98100001	1939
0	503	2	3	8989	0	1939
0	504	2	3	8989	.34900001	1939
0	505	2	3	8989	0	1939
0	506	2	3	8989	.035	1939
0	507	2	3	8989	0	1939
0	508	2	3	8989	1.142	1939
0	509	2	3	8989	.18799999	1939
0	601	2	3	8989	25.072001	1939
0	602	2	3	8989	.96200001	1939
0	603	2	3	8989	0	1939
0	604	2	3	8989	0	1939
0	605	2	3	8989	14.3	1939
0	606	2	3	8989	0	1939
0	608	2	3	8989	0	1939
0	609	2	3	8989	0	1939
0	610	2	3	8989	0	1939
0	611	2	3	8989	.035	1939
0	701	2	3	8989	0	1939
0	702	2	3	8989	0	1939
0	703	2	3	8989	0	1939
0	704	2	3	8989	0	1939
0	705	2	3	8989	0	1939
0	801	2	3	8989	0	1939
0	802	2	3	8989	0	1939
0	803	2	3	8989	0	1939
0	804	2	3	8989	0	1939
0	805	2	3	8989	0	1939
