g	problem	cat	numsurveys	numrespondents	perc	year
1	1	1	1	1161	18.554001	1960
1	2	1	1	1161	14.126	1960
1	3	1	1	1161	9.4169998	1960
1	4	1	1	1161	.112	1960
1	5	1	1	1161	8.3970003	1960
1	6	1	1	1161	30.691	1960
1	7	1	1	1161	1.794	1960
1	8	1	1	1161	.22400001	1960
1	9	1	1	1161	0	1960
1	10	1	1	1161	.59799999	1960
1	11	1	1	1161	.112	1960
1	12	1	1	1161	0	1960
1	13	1	1	1161	1.626	1960
1	14	1	1	1161	7.1750002	1960
1	15	1	1	1161	7.1750002	1960
1	101	2	1	1161	0	1960
1	102	2	1	1161	6.7259998	1960
1	103	2	1	1161	4.0359998	1960
1	104	2	1	1161	.22400001	1960
1	105	2	1	1161	0	1960
1	106	2	1	1161	.168	1960
1	107	2	1	1161	0	1960
1	108	2	1	1161	1.883	1960
1	109	2	1	1161	2.915	1960
1	110	2	1	1161	2.6010001	1960
1	201	2	1	1161	.44800001	1960
1	202	2	1	1161	.22400001	1960
1	203	2	1	1161	0	1960
1	204	2	1	1161	8.7440004	1960
1	205	2	1	1161	1.794	1960
1	206	2	1	1161	0	1960
1	207	2	1	1161	0	1960
1	208	2	1	1161	0	1960
1	209	2	1	1161	0	1960
1	210	2	1	1161	0	1960
1	211	2	1	1161	1.1210001	1960
1	212	2	1	1161	0	1960
1	213	2	1	1161	0	1960
1	214	2	1	1161	0	1960
1	215	2	1	1161	0	1960
1	216	2	1	1161	0	1960
1	217	2	1	1161	1.794	1960
1	301	2	1	1161	0	1960
1	302	2	1	1161	0	1960
1	304	2	1	1161	0	1960
1	306	2	1	1161	0	1960
1	307	2	1	1161	0	1960
1	308	2	1	1161	8.5950003	1960
1	309	2	1	1161	.82200003	1960
1	310	2	1	1161	0	1960
1	401	2	1	1161	.112	1960
1	402	2	1	1161	0	1960
1	403	2	1	1161	0	1960
1	404	2	1	1161	0	1960
1	405	2	1	1161	0	1960
1	406	2	1	1161	0	1960
1	407	2	1	1161	0	1960
1	501	2	1	1161	.112	1960
1	502	2	1	1161	0	1960
1	503	2	1	1161	0	1960
1	504	2	1	1161	.22400001	1960
1	505	2	1	1161	0	1960
1	506	2	1	1161	2.119	1960
1	507	2	1	1161	.112	1960
1	508	2	1	1161	5.8299999	1960
1	509	2	1	1161	0	1960
1	601	2	1	1161	18.440001	1960
1	602	2	1	1161	.22400001	1960
1	603	2	1	1161	2.4660001	1960
1	604	2	1	1161	0	1960
1	605	2	1	1161	4.776	1960
1	606	2	1	1161	2.675	1960
1	608	2	1	1161	.56800002	1960
1	609	2	1	1161	0	1960
1	610	2	1	1161	1.393	1960
1	611	2	1	1161	.149	1960
1	701	2	1	1161	0	1960
1	702	2	1	1161	.44800001	1960
1	703	2	1	1161	1.345	1960
1	704	2	1	1161	0	1960
1	705	2	1	1161	0	1960
1	801	2	1	1161	.22400001	1960
1	802	2	1	1161	0	1960
1	803	2	1	1161	0	1960
1	804	2	1	1161	0	1960
1	805	2	1	1161	0	1960
1	806	2	1	1161	0	1960
1	807	2	1	1161	0	1960
1	901	2	1	1161	0	1960
1	902	2	1	1161	0	1960
1	903	2	1	1161	0	1960
1	904	2	1	1161	0	1960
1	905	2	1	1161	0	1960
1	906	2	1	1161	0	1960
1	908	2	1	1161	0	1960
1	1001	2	1	1161	0	1960
1	1002	2	1	1161	0	1960
1	1003	2	1	1161	0	1960
1	1004	2	1	1161	0	1960
1	1005	2	1	1161	0	1960
1	1006	2	1	1161	0	1960
1	1007	2	1	1161	0	1960
1	1008	2	1	1161	0	1960
1	1009	2	1	1161	0	1960
1	1010	2	1	1161	.59799999	1960
1	1011	2	1	1161	0	1960
1	1012	2	1	1161	0	1960
1	1101	2	1	1161	0	1960
1	1102	2	1	1161	.112	1960
1	1103	2	1	1161	0	1960
1	1104	2	1	1161	0	1960
1	1105	2	1	1161	0	1960
1	1106	2	1	1161	0	1960
1	1201	2	1	1161	0	1960
1	1301	2	1	1161	.50400001	1960
1	1302	2	1	1161	1.1210001	1960
1	1401	2	1	1161	7.1750002	1960
1	1501	2	1	1161	7.1750002	1960
1	101	3	1	1161	0	1960
1	102	3	1	1161	6.7259998	1960
1	103	3	1	1161	4.0359998	1960
1	104	3	1	1161	.22400001	1960
1	105	3	1	1161	0	1960
1	106	3	1	1161	.168	1960
1	107	3	1	1161	0	1960
1	108	3	1	1161	1.883	1960
1	109	3	1	1161	2.915	1960
1	110	3	1	1161	2.6010001	1960
1	501	3	1	1161	.112	1960
1	502	3	1	1161	0	1960
1	503	3	1	1161	0	1960
1	504	3	1	1161	.22400001	1960
1	505	3	1	1161	0	1960
1	506	3	1	1161	2.119	1960
1	201	4	1	1161	.44800001	1960
1	202	4	1	1161	.22400001	1960
1	203	4	1	1161	0	1960
1	204	4	1	1161	8.7440004	1960
1	205	4	1	1161	1.794	1960
1	206	4	1	1161	0	1960
1	207	4	1	1161	0	1960
1	208	4	1	1161	0	1960
1	209	4	1	1161	0	1960
1	210	4	1	1161	0	1960
1	211	4	1	1161	1.1210001	1960
1	212	4	1	1161	0	1960
1	213	4	1	1161	0	1960
1	214	4	1	1161	0	1960
1	215	4	1	1161	0	1960
1	216	4	1	1161	0	1960
1	217	4	1	1161	1.794	1960
1	506	5	1	1161	2.119	1960
1	601	5	1	1161	18.440001	1960
1	602	5	1	1161	.22400001	1960
1	603	5	1	1161	2.4660001	1960
1	604	5	1	1161	0	1960
1	605	5	1	1161	4.776	1960
1	606	5	1	1161	2.675	1960
1	608	5	1	1161	.56800002	1960
1	609	5	1	1161	0	1960
1	610	5	1	1161	1.393	1960
1	611	5	1	1161	.149	1960
1	701	5	1	1161	0	1960
1	702	5	1	1161	.44800001	1960
1	703	5	1	1161	1.345	1960
1	704	5	1	1161	0	1960
1	705	5	1	1161	0	1960
1	1	6	1	1161	16.839001	1960
1	2	6	1	1161	9.4169998	1960
1	3	6	1	1161	8.7440004	1960
1	4	6	1	1161	5.8299999	1960
1	5	6	1	1161	1.883	1960
1	6	6	1	1161	0	1960
1	7	6	1	1161	.22400001	1960
1	8	6	1	1161	0	1960
1	9	6	1	1161	0	1960
1	10	6	1	1161	0	1960
1	12	6	1	1161	.22400001	1960
1	13	6	1	1161	4.2600002	1960
1	14	6	1	1161	1.1210001	1960
1	15	6	1	1161	.168	1960
1	16	6	1	1161	12.26	1960
1	17	6	1	1161	.112	1960
1	18	6	1	1161	.44800001	1960
1	19	6	1	1161	21.896	1960
1	20	6	1	1161	.59799999	1960
1	21	6	1	1161	0	1960
1	22	6	1	1161	1.626	1960
1	23	6	1	1161	7.1750002	1960
1	24	6	1	1161	7.1750002	1960
2	1	1	1	1161	16.195	1960
2	2	1	1	1161	5.1719999	1960
2	3	1	1	1161	5.665	1960
2	4	1	1	1161	0	1960
2	5	1	1	1161	12.192	1960
2	6	1	1	1161	42.125999	1960
2	7	1	1	1161	3.5220001	1960
2	8	1	1	1161	0	1960
2	9	1	1	1161	0	1960
2	10	1	1	1161	1.642	1960
2	11	1	1	1161	0	1960
2	12	1	1	1161	0	1960
2	13	1	1	1161	.67699999	1960
2	14	1	1	1161	6.4039998	1960
2	15	1	1	1161	6.4039998	1960
2	101	2	1	1161	.123	1960
2	102	2	1	1161	8.3739996	1960
2	103	2	1	1161	1.97	1960
2	104	2	1	1161	.43099999	1960
2	105	2	1	1161	.36899999	1960
2	106	2	1	1161	0	1960
2	107	2	1	1161	0	1960
2	108	2	1	1161	.148	1960
2	109	2	1	1161	3.6949999	1960
2	110	2	1	1161	1.084	1960
2	201	2	1	1161	.493	1960
2	202	2	1	1161	.493	1960
2	203	2	1	1161	.98500001	1960
2	204	2	1	1161	1.478	1960
2	205	2	1	1161	.73900002	1960
2	206	2	1	1161	0	1960
2	207	2	1	1161	0	1960
2	208	2	1	1161	0	1960
2	209	2	1	1161	0	1960
2	210	2	1	1161	0	1960
2	211	2	1	1161	.24600001	1960
2	212	2	1	1161	0	1960
2	213	2	1	1161	0	1960
2	214	2	1	1161	0	1960
2	215	2	1	1161	0	1960
2	216	2	1	1161	0	1960
2	217	2	1	1161	.73900002	1960
2	301	2	1	1161	0	1960
2	302	2	1	1161	0	1960
2	304	2	1	1161	0	1960
2	306	2	1	1161	0	1960
2	307	2	1	1161	0	1960
2	308	2	1	1161	4.8439999	1960
2	309	2	1	1161	.82099998	1960
2	310	2	1	1161	0	1960
2	401	2	1	1161	0	1960
2	402	2	1	1161	0	1960
2	403	2	1	1161	0	1960
2	404	2	1	1161	0	1960
2	405	2	1	1161	0	1960
2	406	2	1	1161	0	1960
2	407	2	1	1161	0	1960
2	501	2	1	1161	1.232	1960
2	502	2	1	1161	0	1960
2	503	2	1	1161	0	1960
2	504	2	1	1161	1.232	1960
2	505	2	1	1161	0	1960
2	506	2	1	1161	3.941	1960
2	507	2	1	1161	.123	1960
2	508	2	1	1161	5.665	1960
2	509	2	1	1161	0	1960
2	601	2	1	1161	28.818001	1960
2	602	2	1	1161	.24600001	1960
2	603	2	1	1161	.493	1960
2	604	2	1	1161	0	1960
2	605	2	1	1161	3.7809999	1960
2	606	2	1	1161	4.4239998	1960
2	608	2	1	1161	1.346	1960
2	609	2	1	1161	0	1960
2	610	2	1	1161	1.869	1960
2	611	2	1	1161	1.149	1960
2	701	2	1	1161	0	1960
2	702	2	1	1161	.86199999	1960
2	703	2	1	1161	2.6600001	1960
2	704	2	1	1161	0	1960
2	705	2	1	1161	0	1960
2	801	2	1	1161	0	1960
2	802	2	1	1161	0	1960
2	803	2	1	1161	0	1960
2	804	2	1	1161	0	1960
2	805	2	1	1161	0	1960
2	806	2	1	1161	0	1960
2	807	2	1	1161	0	1960
2	901	2	1	1161	0	1960
2	902	2	1	1161	0	1960
2	903	2	1	1161	0	1960
2	904	2	1	1161	0	1960
2	905	2	1	1161	0	1960
2	906	2	1	1161	0	1960
2	908	2	1	1161	0	1960
2	1001	2	1	1161	0	1960
2	1002	2	1	1161	0	1960
2	1003	2	1	1161	0	1960
2	1004	2	1	1161	0	1960
2	1005	2	1	1161	0	1960
2	1006	2	1	1161	0	1960
2	1007	2	1	1161	0	1960
2	1008	2	1	1161	0	1960
2	1009	2	1	1161	0	1960
2	1010	2	1	1161	1.642	1960
2	1011	2	1	1161	0	1960
2	1012	2	1	1161	0	1960
2	1101	2	1	1161	0	1960
2	1102	2	1	1161	0	1960
2	1103	2	1	1161	0	1960
2	1104	2	1	1161	0	1960
2	1105	2	1	1161	0	1960
2	1106	2	1	1161	0	1960
2	1201	2	1	1161	0	1960
2	1301	2	1	1161	.43099999	1960
2	1302	2	1	1161	.24600001	1960
2	1401	2	1	1161	6.4039998	1960
2	1501	2	1	1161	6.4039998	1960
2	101	3	1	1161	.123	1960
2	102	3	1	1161	8.3739996	1960
2	103	3	1	1161	1.97	1960
2	104	3	1	1161	.43099999	1960
2	105	3	1	1161	.36899999	1960
2	106	3	1	1161	0	1960
2	107	3	1	1161	0	1960
2	108	3	1	1161	.148	1960
2	109	3	1	1161	3.6949999	1960
2	110	3	1	1161	1.084	1960
2	501	3	1	1161	1.232	1960
2	502	3	1	1161	0	1960
2	503	3	1	1161	0	1960
2	504	3	1	1161	1.232	1960
2	505	3	1	1161	0	1960
2	506	3	1	1161	3.941	1960
2	201	4	1	1161	.493	1960
2	202	4	1	1161	.493	1960
2	203	4	1	1161	.98500001	1960
2	204	4	1	1161	1.478	1960
2	205	4	1	1161	.73900002	1960
2	206	4	1	1161	0	1960
2	207	4	1	1161	0	1960
2	208	4	1	1161	0	1960
2	209	4	1	1161	0	1960
2	210	4	1	1161	0	1960
2	211	4	1	1161	.24600001	1960
2	212	4	1	1161	0	1960
2	213	4	1	1161	0	1960
2	214	4	1	1161	0	1960
2	215	4	1	1161	0	1960
2	216	4	1	1161	0	1960
2	217	4	1	1161	.73900002	1960
2	506	5	1	1161	3.941	1960
2	601	5	1	1161	28.818001	1960
2	602	5	1	1161	.24600001	1960
2	603	5	1	1161	.493	1960
2	604	5	1	1161	0	1960
