ts,numsurveys,numrespondents,mipds_101_1,mipds_102_1,mipds_103_1,mipds_105_1,mipds_109_1,mipds_110_1,mipds_203_1,mipds_204_1,mipds_207_1,mipds_308_1,mipds_309_1,mipds_401_1,mipds_404_1,mipds_503_1,mipds_509_1,mipds_601_1,mipds_602_1,mipds_603_1,mipds_605_1,mipds_610_1,mipds_804_1,mipds_901_1,mipds_1001_1,mipds_1011_1,mipds_1012_1,mipds_101_2,mipds_102_2,mipds_103_2,mipds_105_2,mipds_109_2,mipds_110_2,mipds_203_2,mipds_204_2,mipds_207_2,mipds_308_2,mipds_309_2,mipds_401_2,mipds_404_2,mipds_503_2,mipds_509_2,mipds_601_2,mipds_602_2,mipds_603_2,mipds_605_2,mipds_610_2,mipds_804_2,mipds_901_2,mipds_1001_2,mipds_1011_2,mipds_1012_2,mipds_101_3,mipds_102_3,mipds_103_3,mipds_105_3,mipds_109_3,mipds_110_3,mipds_203_3,mipds_204_3,mipds_207_3,mipds_308_3,mipds_309_3,mipds_401_3,mipds_404_3,mipds_503_3,mipds_509_3,mipds_601_3,mipds_602_3,mipds_603_3,mipds_605_3,mipds_610_3,mipds_804_3,mipds_901_3,mipds_1001_3,mipds_1011_3,mipds_1012_3,mipde_101_1,mipde_102_1,mipde_103_1,mipde_105_1,mipde_108_1,mipde_109_1,mipde_110_1,mipde_501_1,mipde_502_1,mipde_504_1,mipde_101_2,mipde_102_2,mipde_103_2,mipde_105_2,mipde_108_2,mipde_109_2,mipde_110_2,mipde_501_2,mipde_502_2,mipde_504_2,mipde_101_3,mipde_102_3,mipde_103_3,mipde_105_3,mipde_108_3,mipde_109_3,mipde_110_3,mipde_501_3,mipde_502_3,mipde_504_3,mipdfp_506_1,mipdfp_601_1,mipdfp_602_1,mipdfp_603_1,mipdfp_604_1,mipdfp_605_1,mipdfp_606_1,mipdfp_608_1,mipdfp_610_1,mipdfp_701_1,mipdfp_702_1,mipdfp_506_2,mipdfp_601_2,mipdfp_602_2,mipdfp_603_2,mipdfp_604_2,mipdfp_605_2,mipdfp_606_2,mipdfp_608_2,mipdfp_610_2,mipdfp_701_2,mipdfp_702_2,mipdfp_506_3,mipdfp_601_3,mipdfp_602_3,mipdfp_603_3,mipdfp_604_3,mipdfp_605_3,mipdfp_606_3,mipdfp_608_3,mipdfp_610_3,mipdfp_701_3,mipdfp_702_3,mipdsp_201_1,mipdsp_202_1,mipdsp_203_1,mipdsp_204_1,mipdsp_205_1,mipdsp_207_1,mipdsp_208_1,mipdsp_210_1,mipdsp_211_1,mipdsp_212_1,mipdsp_217_1,mipdsp_201_2,mipdsp_202_2,mipdsp_203_2,mipdsp_204_2,mipdsp_205_2,mipdsp_207_2,mipdsp_208_2,mipdsp_210_2,mipdsp_211_2,mipdsp_212_2,mipdsp_217_2,mipdsp_201_3,mipdsp_202_3,mipdsp_203_3,mipdsp_204_3,mipdsp_205_3,mipdsp_207_3,mipdsp_208_3,mipdsp_210_3,mipdsp_211_3,mipdsp_212_3,mipdsp_217_3,mipd_1_1,mipd_2_1,mipd_3_1,mipd_4_1,mipd_5_1,mipd_6_1,mipd_7_1,mipd_8_1,mipd_9_1,mipd_10_1,mipd_11_1,mipd_12_1,mipd_13_1,mipd_14_1,mipd_15_1,mipd_1_2,mipd_2_2,mipd_3_2,mipd_4_2,mipd_5_2,mipd_6_2,mipd_7_2,mipd_8_2,mipd_9_2,mipd_10_2,mipd_11_2,mipd_12_2,mipd_13_2,mipd_14_2,mipd_15_2,mipd_1_3,mipd_2_3,mipd_3_3,mipd_4_3,mipd_5_3,mipd_6_3,mipd_7_3,mipd_8_3,mipd_9_3,mipd_10_3,mipd_11_3,mipd_12_3,mipd_13_3,mipd_14_3,mipd_15_3,cap_1_1,cap_2_1,cap_3_1,cap_4_1,cap_5_1,cap_6_1,cap_7_1,cap_8_1,cap_9_1,cap_10_1,cap_12_1,cap_13_1,cap_14_1,cap_15_1,cap_16_1,cap_17_1,cap_18_1,cap_19_1,cap_20_1,cap_21_1,cap_22_1,cap_23_1,cap_24_1,cap_1_2,cap_2_2,cap_3_2,cap_4_2,cap_5_2,cap_6_2,cap_7_2,cap_8_2,cap_9_2,cap_10_2,cap_12_2,cap_13_2,cap_14_2,cap_15_2,cap_16_2,cap_17_2,cap_18_2,cap_19_2,cap_20_2,cap_21_2,cap_22_2,cap_23_2,cap_24_2,cap_1_3,cap_2_3,cap_3_3,cap_4_3,cap_5_3,cap_6_3,cap_7_3,cap_8_3,cap_9_3,cap_10_3,cap_12_3,cap_13_3,cap_14_3,cap_15_3,cap_16_3,cap_17_3,cap_18_3,cap_19_3,cap_20_3,cap_21_3,cap_22_3,cap_23_3,cap_24_3
1940,1,2764,2.17,18.354,0,.271,.181,1.175,.09,.09,2.08,0,0,0,0,0,1.175,10.85,20.313,0,16.184,0,0,.271,.045,5.696,.045,3.333,20.303,0,.303,.455,1.061,0,0,1.667,0,0,0,0,0,.909,10.909,18.182,0,12.121,0,0,.455,.985,6.364,.682,2.806,14.479,0,.601,.301,1.804,0,0,1.703,0,0,0,0,0,.301,11.824,17.101,0,13.327,0,0,.251,1.754,9.319,1.553,2.17,18.354,0,.271,.181,.181,1.175,.362,.09,11.423,3.333,20.303,0,.303,0,.455,1.061,.606,.455,10.455,2.806,14.479,0,.601,0,.301,1.804,.401,1.202,10.053,11.242,10.85,20.313,0,0,16.184,0,0,.633,0,.542,10.303,10.909,18.182,0,0,12.121,0,0,.455,0,0,9.753,11.824,17.101,0,0,13.327,0,0,.401,0,.2,.271,.633,.09,.09,.09,2.08,.271,0,0,0,.181,.303,.606,0,0,0,1.667,.758,0,0,0,0,.401,.902,0,0,.1,1.703,.1,0,.1,0,0,23.237,3.707,0,.18099999,14.135,47.980999,.542,0,1.085,6.7810001,.18099999,.09,2.0799999,0,0,27.424,3.3329999,.152,.152,12.879,41.667,0,0,1.818,9.5450001,.303,.303,2.273,0,.152,22.495001,3.3069999,.1,.2,12.759,42.652,.2,0,1.253,14.228,.301,0,2.5050001,0,0,23.778999,.09,.271,1.085,.36199999,.09,0,0,1.266,.18099999,0,2.984,0,.18099999,47.740002,0,.542,11.483,6.7810001,0,3.165,0,0,28.938999,.45500001,.152,.45500001,0,0,0,0,.90899998,0,.303,2.576,0,.45500001,40.605999,0,0,11.364,9.5450001,0,4.0910001,0,.152,23.997999,.1,.2,.80199999,.1,0,0,0,.301,.1,.2,3.006,.1,.50099999,40.18,0,.2,12.224,14.228,0,3.7579999,0,0
1941,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.138499,6.3955001,.19750001,.2345,11.295,43.967999,.50799999,0,.91250003,5.4765001,.43175,.0675,1.6234999,0,1.75125,30.68225,6.5832499,.32425,.21925,9.9584998,39.5085,.26100001,0,1.46875,7.7942501,.54274999,.22725,1.76175,0,.66875002,27.170001,6.19375,.23900001,.232,10.355,39.549,.217,0,1.02175,11.60625,.47175001,0,1.9375001,0,1.00675,27.45175,.26500001,.302,1.37225,.47449999,.16625001,0,0,.94950002,.13575,.296,2.69625,.45675001,.16125,45.525751,0,.4065,9.5767499,5.4765001,0,2.536,0,1.75125,31.660749,.55150001,.21925,.47175001,.19575,.10525,0,0,.68174998,0,.54274999,2.3465,.62674999,.47175001,40.43475,0,0,9.9995003,7.7942501,0,3.2305001,0,.66875002,28.143249,.23900001,.232,1.07125,.27625,.082,0,0,.22575,.075,.39600001,2.7887501,.43750001,.64424999,39.219251,0,.15,10.4455,11.60625,0,2.9592499,0,1.00675
1942,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.039999,9.0840002,.39500001,.288,8.4550002,39.955,.47399999,0,.74000002,4.1720001,.6825,.045,1.167,0,3.5025001,33.9405,9.8334998,.49650001,.2865,7.0379999,37.35,.52200001,0,1.1195,6.0435001,.78249998,.1515,1.2505,0,1.1855,31.845,9.0805,.37800001,.26400001,7.9509999,36.446,.234,0,.79050002,8.9844998,.64250001,0,1.3700001,0,2.0135,31.1245,.44000001,.333,1.6595,.58699998,.24250001,0,0,.63300002,.0905,.59200001,2.4085,.91350001,.1415,43.311501,0,.271,7.6704999,4.1720001,0,1.907,0,3.5025001,34.3825,.64800002,.2865,.48850001,.3915,.2105,0,0,.45449999,0,.78249998,2.117,1.2535,.48850001,40.2635,0,0,8.6350002,6.0435001,0,2.37,0,1.1855,32.288499,.37800001,.26400001,1.3405,.4525,.164,0,0,.1505,.05,.59200002,2.5715001,.77500002,.78749999,38.258501,0,.1,8.6670001,8.9844998,0,2.1605,0,2.0135
1943,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.941499,11.7725,.59250002,.34150001,5.6150001,35.942,.43999999,0,.56750002,2.8675,.93325001,.0225,.71049999,0,5.2537501,37.19875,13.08375,.66875001,.35375,4.1174999,35.191501,.78300002,0,.77024999,4.2927501,1.02225,.07575,.73925,0,1.7022501,36.52,11.96725,.51700001,.29600001,5.5469999,33.343,.25100001,0,.55925001,6.3627499,.81325002,0,.80250003,0,3.02025,34.797251,.61500002,.36400001,1.94675,.69949998,.31875001,0,0,.31650001,.04525,.88800001,2.12075,1.37025,.12175,41.09725,0,.1355,5.76425,2.8675,0,1.278,0,5.2537501,37.10425,.74450002,.35375,.50525001,.58724999,.31575,0,0,.22724999,0,1.02225,1.8875,1.88025,.50525001,40.092251,0,0,7.2705002,4.2927501,0,1.5095,0,1.7022501,36.433749,.51700001,.29600001,1.60975,.62875001,.24600001,0,0,.07525,.025,.78800002,2.3542501,1.1125,.93075,37.297751,0,.05,6.8885001,6.3627499,0,1.36175,0,3.02025
1944,1,2496,1.178,26.345,2.355,2.575,.22,5.036,.395,0,.22,0,.79,0,0,0,0,1.751,0,0,28.477,.381,0,0,.061,.437,.254,1.149,28.003,2.298,2.602,.305,4.491,.421,0,.305,0,.841,0,0,0,0,3.427,0,0,28.172,.294,0,0,.339,1.247,.228,1.101,27.987,2.201,2.783,.582,4.081,.328,0,.582,0,.656,0,0,0,0,3.389,0,0,25.398,.201,0,0,.564,1.926,.235,1.178,26.345,2.355,2.575,.812,.22,5.036,.22,.321,0,1.149,28.003,2.298,2.602,.783,.305,4.491,.305,.37,0,1.101,27.987,2.201,2.783,.805,.582,4.081,.582,.682,0,0,1.751,0,0,0,28.477,0,1.32,.381,.406,0,0,3.427,0,0,0,28.172,0,1.141,.294,1.044,0,0,3.389,0,0,0,25.398,0,1.251,.201,.268,0,1.218,0,.395,0,0,.22,0,0,1.827,0,10.801,.932,0,.421,0,0,.305,0,0,2.507,0,12.17,1.227,0,.328,0,0,.582,0,0,1.45,0,11.268,38.842999,14.461,.79000002,.39500001,2.7750001,31.929001,.40599999,0,.39500001,1.563,1.184,0,.25400001,0,7.0050001,40.457001,16.334,.84100002,.421,1.197,33.033001,1.044,0,.421,2.5420001,1.262,0,.228,0,2.2190001,41.195,14.854,.65600002,.32800001,3.1429999,30.24,.26800001,0,.32800001,3.7409999,.98400003,0,.235,0,4.027,38.470001,.79000002,.39500001,2.234,.81199998,.39500001,0,0,0,0,1.184,1.8329999,1.827,.102,38.882999,0,0,3.858,1.563,0,.64899999,0,7.0050001,39.826,.84100002,.421,.52200001,.78299999,.421,0,0,0,0,1.262,1.658,2.507,.52200001,39.921001,0,0,5.9060001,2.5420001,0,.64899999,0,2.2190001,40.578999,.65600002,.32800001,1.8789999,.80500001,.32800001,0,0,0,0,.98400003,2.1370001,1.45,1.074,36.337002,0,0,5.1100001,3.7409999,0,.56300002,0,4.027
1945,1,1482,0,8.765,5.054,2.812,0,10.991,.418,0,0,0,5.839,1.253,0,0,0,1.253,0,0,24.705,0,0,0,0,1.775,.444,0,8.059,6.045,4.066,0,9.401,.123,0,0,0,4.374,0,0,0,0,.593,0,0,29.009,0,0,0,0,2.7,.675,0,8.805,5.842,3.835,0,10.975,.437,0,0,0,3.512,.251,0,0,0,1.589,0,0,24.303,0,0,.167,0,3.153,.788,0,8.765,5.054,2.812,.046,0,10.991,0,1.406,1.406,0,8.059,6.045,4.066,.494,0,9.401,0,2.033,2.033,0,8.805,5.842,3.835,.271,0,10.975,0,1.917,1.917,0,2.374,0,0,0,24.705,0,.626,0,4.762,0,0,1.582,0,0,0,29.009,0,.099,0,5.981,0,0,2.592,0,0,0,24.303,0,.251,0,4.411,0,0,0,.418,0,0,0,0,0,0,0,10.025,0,0,.123,0,0,0,0,0,0,0,8.807,0,0,.437,0,0,0,0,0,0,0,10.581,28.111,10.443,5.8390002,1.253,3.9330001,27.705,4.7620001,0,5.586,2.6619999,4.3319998,0,5.3759999,0,0,28.74,8.9300003,4.3740001,0,5.0560002,30.690001,5.9809999,0,4.3390002,4.0500002,4.198,0,3.642,0,0,30.516001,11.018,3.5120001,.25099999,4.8379998,27.146999,4.4109998,0,4.8839998,4.73,4.5339999,0,4.1599998,0,0,30.433001,5.8390002,0,1.1210001,.046,.41800001,0,0,0,0,5.585,0,0,.44400001,34.730999,0,0,7.7620001,2.6619999,0,10.961,0,0,31.636999,4.3740001,0,.99000001,.49399999,.123,0,0,0,0,4.198,0,0,.67500001,37.816002,0,0,7.6630001,4.0500002,0,7.9809999,0,0,33.291,3.5120001,0,1.0039999,.271,.43700001,0,0,0,0,4.7839999,0,0,.78799999,34.884998,0,0,7.2540002,4.73,0,9.0439997,0,0
1946,2,6311,.432,2.92,38.577,.088,.479,10.099,0,0,0,0,.025,0,0,0,.01,8.529,0,2.849,5.95,1.661,.411,0,0,0,0,.584,2.645,36.97,.127,.492,9.738,0,0,0,0,.037,0,0,0,0,11.269,0,2.463,5.585,3.51,.48,0,.064,0,0,.77,1.686,34.888,0,.46,15.994,0,0,0,0,.029,0,0,0,.037,8.875,0,1.624,6.12,2.589,.634,0,.078,0,0,.432,2.92,38.577,.088,0,.479,10.099,.432,0,0,.584,2.645,36.97,.127,0,.492,9.738,.584,0,.04,.77,1.686,34.888,0,0,.46,15.994,.77,0,.101,0,8.529,0,2.849,0,5.95,0,0,1.661,4.34,0,0,11.269,0,2.463,0,5.585,0,0,3.51,4,0,0,8.875,0,1.624,0,6.12,0,0,2.589,3.766,0,0,0,0,0,0,0,0,0,3.206,0,1.633,0,0,0,0,0,0,0,0,2.886,0,1.503,0,0,0,0,0,0,0,0,3.16,0,1.201,52.615002,4.8379998,.025,0,12.664,18.989,4.3400002,.41100001,.025,0,0,0,5.9250002,.167,0,50.57,4.3889999,.037,0,9.5819998,22.827,4,.47999999,.037,.1,0,0,7.9190001,.059,0,53.813,4.3610001,.029,0,11.577,19.209,3.766,.634,.029,.14300001,.015,0,6.4239998,0,0,53.026001,.025,0,12.222,0,0,0,.41100001,.01,0,0,0,3.2060001,.021,10.432,0,0,14.529,0,0,5.9510002,.167,0,51.178001,.037,0,8.9580002,0,0,0,.47999999,0,0,0,0,2.8859999,.015,9.5509996,0,0,18.778999,.1,0,7.9559999,.059,0,54.668999,.029,0,10.669,0,0,0,.634,.037,0,.015,0,3.1600001,.015,8.9449997,0,0,15.231,.14300001,0,6.4530001,0,0
1947,3,6790,0,.024,18.812,3.407,.539,4.121,.545,0,7.246,0,0,0,0,0,0,9.002,0,.637,16.724,0,4.103,0,.222,.222,0,0,0,19.618,3.309,.382,3.555,.533,0,7.617,0,0,0,0,0,0,8.741,0,.562,15.553,0,3.905,0,.395,.395,0,0,.149,18.99,2.727,.428,5.086,.788,0,9.094,0,.057,0,0,0,0,9.801,0,.389,15.311,0,4.038,0,.384,.384,0,0,.024,18.812,3.407,0,.539,4.121,0,0,.856,0,0,19.618,3.309,0,.382,3.555,0,0,.812,0,.149,18.99,2.727,0,.428,5.086,0,0,.74,.856,9.002,0,.637,0,16.724,0,4.101,0,.678,0,.812,8.741,0,.562,0,15.553,0,4.133,0,.954,0,.74,9.801,0,.389,0,15.311,0,4.616,0,.562,0,0,0,.545,0,0,7.246,0,0,4.793,0,0,0,0,.533,0,0,7.617,0,0,5.868,0,0,0,0,.788,0,0,9.094,0,0,3.782,0,0,26.903999,12.585,0,.40000001,3.9749999,30.465,.67799997,4.1030002,.085,1.235,.024,0,7.6500001,0,11.896,26.864,14.018,0,.39899999,3.6229999,28.989,.954,3.905,.05,1.6059999,0,0,8.151,0,11.442,27.379,13.664,.057,.336,3.7279999,30.115999,.56199998,4.0380001,.021,1.839,0,0,7.3080001,0,10.952,26.903999,0,0,3.1199999,0,.54500002,0,4.1030002,0,0,.42500001,7.2459998,4.7930002,0,18.216999,0,0,13.781,1.235,0,7.7340002,0,11.896,26.864,0,0,2.8099999,0,.53299999,0,3.905,0,0,.39899999,7.6170001,5.868,0,16.927999,0,0,13.828,1.6059999,0,8.2010002,0,11.442,27.379,.057,0,2.987,0,.78799999,0,4.0380001,0,0,.336,9.0939999,3.7820001,0,16.440001,0,0,14.978,1.839,0,7.329,0,10.952
1948,2,5744,0,1.184,10.161,3.663,2.48,3.146,0,0,.907,0,1.466,0,0,0,0,18.545,.227,.206,31.787,6.559,.206,0,1.184,2.65,0,0,1.531,10.648,4.042,2.511,2.983,0,0,1.038,0,1.994,0,0,0,0,19.968,.172,.1,26.674,6.753,.1,0,1.531,3.525,0,0,1.085,8.77,3.217,2.132,4.228,0,0,.791,0,1.363,0,0,0,0,20.079,.219,.049,30.64,6.396,.049,0,1.085,2.448,0,0,1.184,10.161,3.663,0,2.48,3.146,0,0,1.873,0,1.531,10.648,4.042,0,2.511,2.983,0,0,1.592,0,1.085,8.77,3.217,0,2.132,4.228,0,0,1.766,1.873,18.545,.227,.206,0,31.787,0,2.173,6.559,.591,0,1.592,19.968,.172,.1,0,26.674,0,2.304,6.753,.681,0,1.766,20.079,.219,.049,0,30.64,0,2.575,6.396,.855,0,1.466,0,0,0,0,.907,0,0,3.075,0,0,1.994,0,0,0,0,1.038,0,0,3.165,0,0,1.363,0,0,0,0,.791,0,0,2.498,0,0,20.634001,5.4489999,1.466,.12800001,1.873,59.497002,.59100002,.206,0,7.382,0,0,2.7739999,0,0,21.716,6.198,1.994,.14,1.592,55.971001,.68099999,.1,0,8.7049999,0,0,2.904,0,0,19.431999,4.6529999,1.363,.113,1.766,59.957001,.85500002,.049,0,9.0279999,0,0,2.7839999,0,0,20.634001,1.466,0,0,0,0,0,.206,0,0,.12800001,2.3729999,3.075,0,34.091999,0,0,27.868,7.382,0,2.7739999,0,0,21.716,1.994,0,0,0,0,0,.1,0,0,.14,3.033,3.165,0,28.537001,0,0,29.705999,8.7049999,0,2.904,0,0,19.431999,1.363,0,0,0,0,0,.049,0,0,.113,2.155,2.4979999,0,32.674,0,0,29.903999,9.0279999,0,2.7839999,0,0
1949,3,6921,1.44,7.315,7.17,2.523,2.836,6.845,.507,0,0,.612,.532,.076,0,0,0,8.994,.233,.817,5.007,1.796,.817,.205,.081,.219,0,1.752,6.845,5.925,2.958,2.972,5.399,.366,0,0,.944,.768,.013,0,0,0,10.153,.279,.662,4.846,2.209,.662,.25,.22,.477,0,1.618,5.268,5.923,2.424,3.796,7.232,.476,0,0,.487,.417,.05,0,0,0,9.997,.188,.676,4.815,1.891,.676,.391,.158,.595,0,1.44,7.315,7.17,2.523,.017,2.836,6.845,.394,0,1.89,1.752,6.845,5.925,2.958,.023,2.972,5.399,.51,0,2.699,1.618,5.268,5.923,2.424,.025,3.796,7.232,.738,0,4.102,.471,8.994,.233,.817,0,5.007,0,.998,1.796,.276,.593,.557,10.153,.279,.662,0,4.846,0,1.447,2.209,.472,.802,.384,9.997,.188,.676,0,4.815,0,1.274,1.891,.559,.719,.142,.054,.507,0,.263,0,0,0,4.2,0,1.388,.212,.088,.366,0,.164,0,0,0,4.294,0,1.034,.289,.175,.476,0,.117,0,0,0,2.648,0,.976,28.43,6.5539999,1.223,.134,3.0569999,17.844,.87,1.7359999,.75999999,1.676,.35600001,0,1.829,0,35.529999,26.246,6.158,1.888,.092,3.78,19.596001,1.274,1.673,.98100001,2.9289999,.28799999,0,1.679,0,33.417,26.732,4.6799998,.97399998,.163,5.4770002,18.841,1.278,1.512,1.359,3.1760001,.44400001,0,1.9349999,0,33.429001,30.226,1.223,.228,.773,.017,.50700003,.303,.81699997,0,.142,.43200001,1.705,4.1999998,.17399999,6.5279999,0,.59299999,12.064,1.676,.27200001,2.589,0,35.529999,28.874001,1.888,.292,.57099998,.023,.366,.294,.662,0,.212,.30000001,1.285,4.2940001,.25,6.3439999,0,.80199999,14.281,2.9289999,.25600001,2.6589999,0,33.417,31.163,.97399998,.215,.63700002,.025,.47600001,.28099999,.676,0,.289,.49399999,1.268,2.648,.223,6.0640001,0,.71899998,13.721,3.1760001,.23100001,3.2939999,0,33.429001
