ts,numsurveys,numrespondents,mipds_101_1,mipds_102_1,mipds_103_1,mipds_105_1,mipds_109_1,mipds_110_1,mipds_203_1,mipds_204_1,mipds_207_1,mipds_308_1,mipds_309_1,mipds_401_1,mipds_404_1,mipds_503_1,mipds_509_1,mipds_601_1,mipds_602_1,mipds_603_1,mipds_605_1,mipds_610_1,mipds_804_1,mipds_901_1,mipds_1001_1,mipds_1011_1,mipds_1012_1,mipds_101_2,mipds_102_2,mipds_103_2,mipds_105_2,mipds_109_2,mipds_110_2,mipds_203_2,mipds_204_2,mipds_207_2,mipds_308_2,mipds_309_2,mipds_401_2,mipds_404_2,mipds_503_2,mipds_509_2,mipds_601_2,mipds_602_2,mipds_603_2,mipds_605_2,mipds_610_2,mipds_804_2,mipds_901_2,mipds_1001_2,mipds_1011_2,mipds_1012_2,mipds_101_3,mipds_102_3,mipds_103_3,mipds_105_3,mipds_109_3,mipds_110_3,mipds_203_3,mipds_204_3,mipds_207_3,mipds_308_3,mipds_309_3,mipds_401_3,mipds_404_3,mipds_503_3,mipds_509_3,mipds_601_3,mipds_602_3,mipds_603_3,mipds_605_3,mipds_610_3,mipds_804_3,mipds_901_3,mipds_1001_3,mipds_1011_3,mipds_1012_3,mipde_101_1,mipde_102_1,mipde_103_1,mipde_105_1,mipde_108_1,mipde_109_1,mipde_110_1,mipde_501_1,mipde_502_1,mipde_504_1,mipde_101_2,mipde_102_2,mipde_103_2,mipde_105_2,mipde_108_2,mipde_109_2,mipde_110_2,mipde_501_2,mipde_502_2,mipde_504_2,mipde_101_3,mipde_102_3,mipde_103_3,mipde_105_3,mipde_108_3,mipde_109_3,mipde_110_3,mipde_501_3,mipde_502_3,mipde_504_3,mipdfp_506_1,mipdfp_601_1,mipdfp_602_1,mipdfp_603_1,mipdfp_604_1,mipdfp_605_1,mipdfp_606_1,mipdfp_608_1,mipdfp_610_1,mipdfp_701_1,mipdfp_702_1,mipdfp_506_2,mipdfp_601_2,mipdfp_602_2,mipdfp_603_2,mipdfp_604_2,mipdfp_605_2,mipdfp_606_2,mipdfp_608_2,mipdfp_610_2,mipdfp_701_2,mipdfp_702_2,mipdfp_506_3,mipdfp_601_3,mipdfp_602_3,mipdfp_603_3,mipdfp_604_3,mipdfp_605_3,mipdfp_606_3,mipdfp_608_3,mipdfp_610_3,mipdfp_701_3,mipdfp_702_3,mipdsp_201_1,mipdsp_202_1,mipdsp_203_1,mipdsp_204_1,mipdsp_205_1,mipdsp_207_1,mipdsp_208_1,mipdsp_210_1,mipdsp_211_1,mipdsp_212_1,mipdsp_217_1,mipdsp_201_2,mipdsp_202_2,mipdsp_203_2,mipdsp_204_2,mipdsp_205_2,mipdsp_207_2,mipdsp_208_2,mipdsp_210_2,mipdsp_211_2,mipdsp_212_2,mipdsp_217_2,mipdsp_201_3,mipdsp_202_3,mipdsp_203_3,mipdsp_204_3,mipdsp_205_3,mipdsp_207_3,mipdsp_208_3,mipdsp_210_3,mipdsp_211_3,mipdsp_212_3,mipdsp_217_3,mipd_1_1,mipd_2_1,mipd_3_1,mipd_4_1,mipd_5_1,mipd_6_1,mipd_7_1,mipd_8_1,mipd_9_1,mipd_10_1,mipd_11_1,mipd_12_1,mipd_13_1,mipd_14_1,mipd_15_1,mipd_1_2,mipd_2_2,mipd_3_2,mipd_4_2,mipd_5_2,mipd_6_2,mipd_7_2,mipd_8_2,mipd_9_2,mipd_10_2,mipd_11_2,mipd_12_2,mipd_13_2,mipd_14_2,mipd_15_2,mipd_1_3,mipd_2_3,mipd_3_3,mipd_4_3,mipd_5_3,mipd_6_3,mipd_7_3,mipd_8_3,mipd_9_3,mipd_10_3,mipd_11_3,mipd_12_3,mipd_13_3,mipd_14_3,mipd_15_3,cap_1_1,cap_2_1,cap_3_1,cap_4_1,cap_5_1,cap_6_1,cap_7_1,cap_8_1,cap_9_1,cap_10_1,cap_12_1,cap_13_1,cap_14_1,cap_15_1,cap_16_1,cap_17_1,cap_18_1,cap_19_1,cap_20_1,cap_21_1,cap_22_1,cap_23_1,cap_24_1,cap_1_2,cap_2_2,cap_3_2,cap_4_2,cap_5_2,cap_6_2,cap_7_2,cap_8_2,cap_9_2,cap_10_2,cap_12_2,cap_13_2,cap_14_2,cap_15_2,cap_16_2,cap_17_2,cap_18_2,cap_19_2,cap_20_2,cap_21_2,cap_22_2,cap_23_2,cap_24_2,cap_1_3,cap_2_3,cap_3_3,cap_4_3,cap_5_3,cap_6_3,cap_7_3,cap_8_3,cap_9_3,cap_10_3,cap_12_3,cap_13_3,cap_14_3,cap_15_3,cap_16_3,cap_17_3,cap_18_3,cap_19_3,cap_20_3,cap_21_3,cap_22_3,cap_23_3,cap_24_3
1940m8,1,2764,2.17,18.354,0,.271,.181,1.175,.09,.09,2.08,0,0,0,0,0,1.175,10.85,20.313,0,16.184,0,0,.271,.045,5.696,.045,3.333,20.303,0,.303,.455,1.061,0,0,1.667,0,0,0,0,0,.909,10.909,18.182,0,12.121,0,0,.455,.985,6.364,.682,2.806,14.479,0,.601,.301,1.804,0,0,1.703,0,0,0,0,0,.301,11.824,17.101,0,13.327,0,0,.251,1.754,9.319,1.553,2.17,18.354,0,.271,.181,.181,1.175,.362,.09,11.423,3.333,20.303,0,.303,0,.455,1.061,.606,.455,10.455,2.806,14.479,0,.601,0,.301,1.804,.401,1.202,10.053,11.242,10.85,20.313,0,0,16.184,0,0,.633,0,.542,10.303,10.909,18.182,0,0,12.121,0,0,.455,0,0,9.753,11.824,17.101,0,0,13.327,0,0,.401,0,.2,.271,.633,.09,.09,.09,2.08,.271,0,0,0,.181,.303,.606,0,0,0,1.667,.758,0,0,0,0,.401,.902,0,0,.1,1.703,.1,0,.1,0,0,23.237,3.707,0,.18099999,14.135,47.980999,.542,0,1.085,6.7810001,.18099999,.09,2.0799999,0,0,27.424,3.3329999,.152,.152,12.879,41.667,0,0,1.818,9.5450001,.303,.303,2.273,0,.152,22.495001,3.3069999,.1,.2,12.759,42.652,.2,0,1.253,14.228,.301,0,2.5050001,0,0,23.778999,.09,.271,1.085,.36199999,.09,0,0,1.266,.18099999,0,2.984,0,.18099999,47.740002,0,.542,11.483,6.7810001,0,3.165,0,0,28.938999,.45500001,.152,.45500001,0,0,0,0,.90899998,0,.303,2.576,0,.45500001,40.605999,0,0,11.364,9.5450001,0,4.0910001,0,.152,23.997999,.1,.2,.80199999,.1,0,0,0,.301,.1,.2,3.006,.1,.50099999,40.18,0,.2,12.224,14.228,0,3.7579999,0,0
1940m9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.549119,3.92208,.0158,.18527999,13.9078,47.659959,.53928,0,1.0712,6.6766401,.20105999,.0882,2.0434799,0,.1401,27.68466,3.5930199,.16578,.15738,12.64536,41.49432,.02088,0,1.79006,9.4049401,.32218,.29694,2.2321,0,.19334,22.869001,3.5379399,.11112,.20256,12.56668,42.40376,.20136,0,1.2345,14.01826,.31466,0,2.4596001,0,.08054,24.072819,.104,.27348,1.10798,.37099999,.0961,0,0,1.24068,.17737999,.02368,2.96098,.03654,.17941999,47.562862,0,.53116,11.3305,6.6766401,0,3.11468,0,.1401,29.156739,.46272001,.15738,.45634001,.01566,.00842,0,0,.89081998,0,.32218,2.55764,.05014,.45634001,40.592299,0,0,11.25484,9.4049401,0,4.0221601,0,.19334,24.329619,.11112,.20256,.82353999,.1141,.00656,0,0,.29498,.098,.21568,2.98862,.127,.51245999,40.10314,0,.196,12.08172,14.01826,0,3.6940999,0,.08054
1940m10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.861239,4.13716,.0316,.18955999,13.6806,47.338919,.53656,0,1.0574,6.5722801,.22112,.0864,2.0069599,0,.2802,27.94532,3.8530399,.17956,.16276,12.41172,41.32164,.04176,0,1.76212,9.2648801,.34136,.29088,2.1912,0,.23468,23.243001,3.7688799,.12224,.20512,12.37436,42.15552,.20272,0,1.216,13.80852,.32832,0,2.4142001,0,.16108,24.366639,.118,.27596,1.13096,.37999999,.1022,0,0,1.21536,.17375999,.04736,2.93796,.07308,.17783999,47.385722,0,.52032,11.178,6.5722801,0,3.06436,0,.2802,29.374479,.47044001,.16276,.45768001,.03132,.01684,0,0,.87263998,0,.34136,2.53928,.10028,.45768001,40.578599,0,0,11.14568,9.2648801,0,3.9533201,0,.23468,24.661239,.12224,.20512,.84507998,.1282,.01312,0,0,.28896,.096,.23136,2.97124,.154,.52391999,40.02628,0,.192,11.93944,13.80852,0,3.6301999,0,.16108
1940m11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.173359,4.35224,.0474,.19384,13.4534,47.017879,.53384,0,1.0436,6.4679201,.24118,.0846,1.9704399,0,.42030001,28.20598,4.1130599,.19334,.16814,12.17808,41.14896,.06264,0,1.73418,9.1248201,.36054,.28482,2.1503,0,.27602,23.617001,3.9998199,.13336,.20768,12.18204,41.90728,.20408,0,1.1975,13.59878,.34198,0,2.3688001,0,.24162,24.660459,.132,.27844,1.15394,.38899999,.1083,0,0,1.19004,.17013999,.07104,2.91494,.10962,.17625999,47.208582,0,.50948,11.0255,6.4679201,0,3.01404,0,.42030001,29.592219,.47816001,.16814,.45902001,.04698,.02526,0,0,.85445998,0,.36054,2.52092,.15042,.45902001,40.564899,0,0,11.03652,9.1248201,0,3.8844801,0,.27602,24.992859,.13336,.20768,.86661998,.1423,.01968,0,0,.28294,.094,.24704,2.95386,.181,.53537999,39.94942,0,.188,11.79716,13.59878,0,3.5662999,0,.24162
1940m12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.485479,4.5673201,.0632,.19812,13.2262,46.696839,.53112,0,1.0298,6.3635601,.26124,.0828,1.9339199,0,.56040001,28.46664,4.3730799,.20712,.17352,11.94444,40.97628,.08352,0,1.70624,8.9847601,.37972,.27876,2.1094,0,.31736,23.991001,4.2307599,.14448,.21024,11.98972,41.65904,.20544,0,1.179,13.38904,.35564,0,2.3234001,0,.32216,24.954279,.14600001,.28092,1.17692,.39799999,.1144,0,0,1.16472,.16651999,.09472,2.89192,.14616,.17467999,47.031441,0,.49864,10.873,6.3635601,0,2.96372,0,.56040001,29.809959,.48588001,.17352,.46036001,.06264,.03368,0,0,.83627998,0,.37972,2.50256,.20056,.46036001,40.551199,0,0,10.92736,8.9847601,0,3.8156401,0,.31736,25.324479,.14448,.21024,.88815998,.1564,.02624,0,0,.27692,.092,.26272,2.93648,.20800001,.54683999,39.87256,0,.184,11.65488,13.38904,0,3.5023999,0,.32216
1941m1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.797599,4.7824001,.079,.2024,12.999,46.375799,.52839999,0,1.016,6.2592001,.2813,.081,1.8973999,0,.70050001,28.7273,4.6330999,.2209,.1789,11.7108,40.8036,.1044,0,1.6783,8.8447001,.3989,.2727,2.0685,0,.35870001,24.365001,4.4616999,.1556,.2128,11.7974,41.4108,.2068,0,1.1605,13.1793,.3693,0,2.2780001,0,.4027,25.2481,.16000001,.2834,1.1999,.40699999,.1205,0,0,1.1394,.16289999,.1184,2.8689,.1827,.17309999,46.854301,0,.4878,10.7205,6.2592001,0,2.9134,0,.70050001,30.027699,.49360001,.1789,.46170001,.0783,.0421,0,0,.81809998,0,.3989,2.4842,.2507,.46170001,40.537499,0,0,10.8182,8.8447001,0,3.7468001,0,.35870001,25.656099,.1556,.2128,.90969998,.1705,.0328,0,0,.2709,.09,.27840001,2.9191,.23500001,.55829999,39.7957,0,.18,11.5126,13.1793,0,3.4384999,0,.4027
1941m2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.109719,4.9974801,.0948,.20668,12.7718,46.054759,.52567999,0,1.0022,6.1548401,.30136,.0792,1.8608799,0,.84060001,28.98796,4.8931199,.23468,.18428,11.47716,40.63092,.12528,0,1.65036,8.7046401,.41808,.26664,2.0276,0,.40004001,24.739001,4.6926399,.16672,.21536,11.60508,41.16256,.20816,0,1.142,12.96956,.38296,0,2.2326001,0,.48323999,25.54192,.17400001,.28588,1.22288,.41599999,.1266,0,0,1.11408,.15927999,.14208,2.84588,.21924,.17151999,46.677161,0,.47696,10.568,6.1548401,0,2.86308,0,.84060001,30.245439,.50132001,.18428,.46304001,.09396,.05052,0,0,.79991998,0,.41808,2.46584,.30084,.46304001,40.523799,0,0,10.70904,8.7046401,0,3.6779601,0,.40004001,25.987719,.16672,.21536,.93123998,.1846,.03936,0,0,.26488,.088,.29408001,2.90172,.26200001,.56975999,39.71884,0,.176,11.37032,12.96956,0,3.3745999,0,.48323999
1941m3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.421839,5.2125601,.1106,.21096,12.5446,45.733719,.52295999,0,.98840003,6.0504801,.32142,.0774,1.8243599,0,.98070002,29.24862,5.1531399,.24846,.18966,11.24352,40.45824,.14616,0,1.62242,8.5645801,.43726,.26058,1.9867,0,.44138001,25.113001,4.9235799,.17784,.21792,11.41276,40.91432,.20952,0,1.1235,12.75982,.39662,0,2.1872001,0,.56377999,25.83574,.18800001,.28836,1.24586,.42499999,.1327,0,0,1.08876,.15566,.16576,2.82286,.25578,.16993999,46.500021,0,.46612,10.4155,6.0504801,0,2.81276,0,.98070002,30.463179,.50904001,.18966,.46438001,.10962,.05894,0,0,.78173998,0,.43726,2.44748,.35098,.46438001,40.510099,0,0,10.59988,8.5645801,0,3.6091201,0,.44138001,26.319339,.17784,.21792,.95277998,.1987,.04592,0,0,.25886,.086,.30976001,2.88434,.28900001,.58121999,39.641981,0,.172,11.22804,12.75982,0,3.3106999,0,.56377999
1941m4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.733959,5.4276401,.1264,.21524,12.3174,45.412679,.52023999,0,.97460003,5.9461201,.34148,.0756,1.7878399,0,1.1208,29.50928,5.4131599,.26224,.19504,11.00988,40.28556,.16704,0,1.59448,8.4245201,.45644,.25452,1.9458,0,.48272001,25.487001,5.1545199,.18896,.22048,11.22044,40.66608,.21088,0,1.105,12.55008,.41028,0,2.1418001,0,.64431999,26.12956,.20200001,.29084,1.26884,.43399999,.1388,0,0,1.06344,.15204,.18944,2.79984,.29232,.16835999,46.322881,0,.45528,10.263,5.9461201,0,2.76244,0,1.1208,30.680919,.51676001,.19504,.46572001,.12528,.06736,0,0,.76355998,0,.45644,2.42912,.40112,.46572001,40.496399,0,0,10.49072,8.4245201,0,3.5402801,0,.48272001,26.650959,.18896,.22048,.97431998,.2128,.05248,0,0,.25284,.084,.32544001,2.86696,.31600001,.59267999,39.565121,0,.168,11.08576,12.55008,0,3.2467999,0,.64431999
1941m5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.046079,5.6427201,.1422,.21952,12.0902,45.091639,.51751999,0,.96080003,5.8417601,.36154,.0738,1.7513199,0,1.2609,29.76994,5.6731799,.27602,.20042,10.77624,40.11288,.18792001,0,1.56654,8.2844601,.47562,.24846,1.9049,0,.52406001,25.861001,5.38546,.20008,.22304,11.02812,40.41784,.21224,0,1.0865,12.34034,.42394,0,2.0964001,0,.72485999,26.42338,.21600001,.29332,1.29182,.44299999,.1449,0,0,1.03812,.14842,.21312,2.77682,.32886,.16677999,46.145741,0,.44444,10.1105,5.8417601,0,2.71212,0,1.2609,30.898659,.52448001,.20042,.46706001,.14094,.07578,0,0,.74537998,0,.47562,2.41076,.45125999,.46706001,40.482699,0,0,10.38156,8.2844601,0,3.4714401,0,.52406001,26.982579,.20008,.22304,.99585998,.2269,.05904,0,0,.24682,.082,.34112001,2.84958,.34300001,.60413999,39.488261,0,.164,10.94348,12.34034,0,3.1828999,0,.72485999
