ts,numsurveys,numrespondents,mipds_101_1,mipds_102_1,mipds_103_1,mipds_105_1,mipds_109_1,mipds_110_1,mipds_203_1,mipds_204_1,mipds_207_1,mipds_308_1,mipds_309_1,mipds_401_1,mipds_404_1,mipds_503_1,mipds_509_1,mipds_601_1,mipds_602_1,mipds_603_1,mipds_605_1,mipds_610_1,mipds_804_1,mipds_901_1,mipds_1001_1,mipds_1011_1,mipds_1012_1,mipds_101_2,mipds_102_2,mipds_103_2,mipds_105_2,mipds_109_2,mipds_110_2,mipds_203_2,mipds_204_2,mipds_207_2,mipds_308_2,mipds_309_2,mipds_401_2,mipds_404_2,mipds_503_2,mipds_509_2,mipds_601_2,mipds_602_2,mipds_603_2,mipds_605_2,mipds_610_2,mipds_804_2,mipds_901_2,mipds_1001_2,mipds_1011_2,mipds_1012_2,mipds_101_3,mipds_102_3,mipds_103_3,mipds_105_3,mipds_109_3,mipds_110_3,mipds_203_3,mipds_204_3,mipds_207_3,mipds_308_3,mipds_309_3,mipds_401_3,mipds_404_3,mipds_503_3,mipds_509_3,mipds_601_3,mipds_602_3,mipds_603_3,mipds_605_3,mipds_610_3,mipds_804_3,mipds_901_3,mipds_1001_3,mipds_1011_3,mipds_1012_3,mipde_101_1,mipde_102_1,mipde_103_1,mipde_105_1,mipde_108_1,mipde_109_1,mipde_110_1,mipde_501_1,mipde_502_1,mipde_504_1,mipde_101_2,mipde_102_2,mipde_103_2,mipde_105_2,mipde_108_2,mipde_109_2,mipde_110_2,mipde_501_2,mipde_502_2,mipde_504_2,mipde_101_3,mipde_102_3,mipde_103_3,mipde_105_3,mipde_108_3,mipde_109_3,mipde_110_3,mipde_501_3,mipde_502_3,mipde_504_3,mipdfp_506_1,mipdfp_601_1,mipdfp_602_1,mipdfp_603_1,mipdfp_604_1,mipdfp_605_1,mipdfp_606_1,mipdfp_608_1,mipdfp_610_1,mipdfp_701_1,mipdfp_702_1,mipdfp_506_2,mipdfp_601_2,mipdfp_602_2,mipdfp_603_2,mipdfp_604_2,mipdfp_605_2,mipdfp_606_2,mipdfp_608_2,mipdfp_610_2,mipdfp_701_2,mipdfp_702_2,mipdfp_506_3,mipdfp_601_3,mipdfp_602_3,mipdfp_603_3,mipdfp_604_3,mipdfp_605_3,mipdfp_606_3,mipdfp_608_3,mipdfp_610_3,mipdfp_701_3,mipdfp_702_3,mipdsp_201_1,mipdsp_202_1,mipdsp_203_1,mipdsp_204_1,mipdsp_205_1,mipdsp_207_1,mipdsp_208_1,mipdsp_210_1,mipdsp_211_1,mipdsp_212_1,mipdsp_217_1,mipdsp_201_2,mipdsp_202_2,mipdsp_203_2,mipdsp_204_2,mipdsp_205_2,mipdsp_207_2,mipdsp_208_2,mipdsp_210_2,mipdsp_211_2,mipdsp_212_2,mipdsp_217_2,mipdsp_201_3,mipdsp_202_3,mipdsp_203_3,mipdsp_204_3,mipdsp_205_3,mipdsp_207_3,mipdsp_208_3,mipdsp_210_3,mipdsp_211_3,mipdsp_212_3,mipdsp_217_3,mipd_1_1,mipd_2_1,mipd_3_1,mipd_4_1,mipd_5_1,mipd_6_1,mipd_7_1,mipd_8_1,mipd_9_1,mipd_10_1,mipd_11_1,mipd_12_1,mipd_13_1,mipd_14_1,mipd_15_1,mipd_1_2,mipd_2_2,mipd_3_2,mipd_4_2,mipd_5_2,mipd_6_2,mipd_7_2,mipd_8_2,mipd_9_2,mipd_10_2,mipd_11_2,mipd_12_2,mipd_13_2,mipd_14_2,mipd_15_2,mipd_1_3,mipd_2_3,mipd_3_3,mipd_4_3,mipd_5_3,mipd_6_3,mipd_7_3,mipd_8_3,mipd_9_3,mipd_10_3,mipd_11_3,mipd_12_3,mipd_13_3,mipd_14_3,mipd_15_3,cap_1_1,cap_2_1,cap_3_1,cap_4_1,cap_5_1,cap_6_1,cap_7_1,cap_8_1,cap_9_1,cap_10_1,cap_12_1,cap_13_1,cap_14_1,cap_15_1,cap_16_1,cap_17_1,cap_18_1,cap_19_1,cap_20_1,cap_21_1,cap_22_1,cap_23_1,cap_24_1,cap_1_2,cap_2_2,cap_3_2,cap_4_2,cap_5_2,cap_6_2,cap_7_2,cap_8_2,cap_9_2,cap_10_2,cap_12_2,cap_13_2,cap_14_2,cap_15_2,cap_16_2,cap_17_2,cap_18_2,cap_19_2,cap_20_2,cap_21_2,cap_22_2,cap_23_2,cap_24_2,cap_1_3,cap_2_3,cap_3_3,cap_4_3,cap_5_3,cap_6_3,cap_7_3,cap_8_3,cap_9_3,cap_10_3,cap_12_3,cap_13_3,cap_14_3,cap_15_3,cap_16_3,cap_17_3,cap_18_3,cap_19_3,cap_20_3,cap_21_3,cap_22_3,cap_23_3,cap_24_3
1940q3,1,2764,2.17,18.354,0,.271,.181,1.175,.09,.09,2.08,0,0,0,0,0,1.175,10.85,20.313,0,16.184,0,0,.271,.045,5.696,.045,3.333,20.303,0,.303,.455,1.061,0,0,1.667,0,0,0,0,0,.909,10.909,18.182,0,12.121,0,0,.455,.985,6.364,.682,2.806,14.479,0,.601,.301,1.804,0,0,1.703,0,0,0,0,0,.301,11.824,17.101,0,13.327,0,0,.251,1.754,9.319,1.553,2.17,18.354,0,.271,.181,.181,1.175,.362,.09,11.423,3.333,20.303,0,.303,0,.455,1.061,.606,.455,10.455,2.806,14.479,0,.601,0,.301,1.804,.401,1.202,10.053,11.242,10.85,20.313,0,0,16.184,0,0,.633,0,.542,10.303,10.909,18.182,0,0,12.121,0,0,.455,0,0,9.753,11.824,17.101,0,0,13.327,0,0,.401,0,.2,.271,.633,.09,.09,.09,2.08,.271,0,0,0,.181,.303,.606,0,0,0,1.667,.758,0,0,0,0,.401,.902,0,0,.1,1.703,.1,0,.1,0,0,23.237,3.707,0,.18099999,14.135,47.980999,.542,0,1.085,6.7810001,.18099999,.09,2.0799999,0,0,27.424,3.3329999,.152,.152,12.879,41.667,0,0,1.818,9.5450001,.303,.303,2.273,0,.152,22.495001,3.3069999,.1,.2,12.759,42.652,.2,0,1.253,14.228,.301,0,2.5050001,0,0,23.778999,.09,.271,1.085,.36199999,.09,0,0,1.266,.18099999,0,2.984,0,.18099999,47.740002,0,.542,11.483,6.7810001,0,3.165,0,0,28.938999,.45500001,.152,.45500001,0,0,0,0,.90899998,0,.303,2.576,0,.45500001,40.605999,0,0,11.364,9.5450001,0,4.0910001,0,.152,23.997999,.1,.2,.80199999,.1,0,0,0,.301,.1,.2,3.006,.1,.50099999,40.18,0,.2,12.224,14.228,0,3.7579999,0,0
1940q4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.154999,4.3395883,.04647059,.19358823,13.466765,47.036764,.534,0,1.0444118,6.474059,.24,.08470589,1.9725882,0,.41205883,28.190647,4.0977646,.19252941,.16782353,12.191823,41.159118,.06141177,0,1.7358235,9.1330589,.35941177,.28517647,2.1527059,0,.27358824,23.595001,3.9862352,.13270588,.20752942,12.193353,41.921883,.204,0,1.1985883,13.611117,.34117647,0,2.3714707,0,.23688235,24.643176,.13117648,.27829412,1.1525883,.38847058,.10794118,0,0,1.1915294,.17035294,.06964706,2.9162941,.10747059,.17635294,47.219002,0,.51011764,11.03447,6.474059,0,3.017,0,.41205883,29.579411,.4777059,.16782353,.45894119,.04605882,.02476471,0,0,.85552939,0,.35941177,2.522,.14747059,.45894119,40.565705,0,0,11.042941,9.1330589,0,3.8885295,0,.27358824,24.973352,.13270588,.20752942,.86535293,.14147059,.01929412,0,0,.28329412,.09411765,.24611765,2.9548824,.17941177,.53470587,39.953942,0,.1882353,11.805529,13.611117,0,3.5700587,0,.23688235
1941q1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.072999,4.9721765,.09294118,.20617647,12.79853,46.092529,.52599999,0,1.0038236,6.1671178,.299,.07941177,1.8651764,0,.82411766,28.957294,4.8625293,.23305882,.18364705,11.504647,40.651235,.12282353,0,1.653647,8.7211177,.41582353,.26735294,2.0324118,0,.39517648,24.695001,4.6654705,.16541177,.21505883,11.627706,41.191765,.208,0,1.1441765,12.994235,.38135294,0,2.2379413,0,.4737647,25.507352,.17235295,.28558823,1.2201765,.41494116,.12588236,0,0,1.1170589,.15970588,.13929412,2.8485882,.21494118,.17170588,46.698001,0,.47823529,10.585941,6.1671178,0,2.869,0,.82411766,30.219823,.50041178,.18364705,.46288237,.09211765,.04952941,0,0,.80205881,0,.41582353,2.468,.29494117,.46288237,40.525411,0,0,10.721883,8.7211177,0,3.6860589,0,.39517648,25.948705,.16541177,.21505883,.92870586,.18294118,.03858824,0,0,.26558823,.0882353,.2922353,2.9037648,.25882354,.56841175,39.727883,0,.17647059,11.387059,12.994235,0,3.3821176,0,.4737647
1941q2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.990999,5.6047648,.13941177,.2187647,12.130294,45.148293,.51799999,0,.96323533,5.8601766,.358,.07411765,1.7577646,0,1.2361765,29.723941,5.627294,.27358823,.19947058,10.81747,40.143353,.1842353,0,1.5714706,8.3091765,.47223529,.24952941,1.9121176,0,.51676472,25.795001,5.3447058,.19811765,.22258824,11.062059,40.461647,.212,0,1.0897647,12.377353,.42152942,0,2.1044119,0,.71064705,26.371529,.21352942,.29288235,1.2877647,.44141175,.14382353,0,0,1.0425883,.14905882,.20894118,2.7808823,.32241177,.16705882,46.177001,0,.44635294,10.137412,5.8601766,0,2.721,0,1.2361765,30.860235,.52311766,.19947058,.46682354,.13817647,.07429412,0,0,.74858822,0,.47223529,2.414,.44241176,.46682354,40.485117,0,0,10.400824,8.3091765,0,3.4835883,0,.51676472,26.924058,.19811765,.22258824,.9920588,.22441177,.05788235,0,0,.24788235,.08235294,.33835295,2.8526471,.3382353,.60211764,39.501824,0,.16470588,10.968588,12.377353,0,3.1941764,0,.71064705
1941q3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.908999,6.2373531,.18588236,.23135294,11.462059,44.204058,.50999999,0,.92264709,5.5532354,.417,.06882353,1.6503529,0,1.6482353,30.490588,6.3920587,.31411765,.21529411,10.130294,39.635471,.24564707,0,1.4892941,7.8972354,.52864705,.23170588,1.7918235,0,.63835296,26.895001,6.0239411,.23082353,.23011765,10.496412,39.73153,.216,0,1.035353,11.76047,.46170589,0,1.9708824,0,.9475294,27.235706,.25470589,.30017647,1.355353,.46788234,.16176471,0,0,.96811767,.13841176,.27858824,2.7131764,.42988236,.16241176,45.656001,0,.41447058,9.6888822,5.5532354,0,2.573,0,1.6482353,31.500646,.54582354,.21529411,.47076472,.18423529,.09905882,0,0,.69511763,0,.52864705,2.36,.58988235,.47076472,40.444823,0,0,10.079765,7.8972354,0,3.2811177,0,.63835296,27.899411,.23082353,.23011765,1.0554117,.26588236,.07717647,0,0,.23017647,.07647059,.3844706,2.8015295,.41764707,.63582352,39.275765,0,.15294118,10.550118,11.76047,0,3.0062352,0,.9475294
1941q4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.826999,6.8699413,.23235295,.24394118,10.793824,43.259823,.50199999,0,.88205885,5.2462942,.476,.06352941,1.5429411,0,2.0602942,31.257235,7.1568234,.35464706,.23111764,9.4431175,39.127588,.30705883,0,1.4071176,7.4852942,.58505882,.21388236,1.6715294,0,.7599412,27.995001,6.7031764,.26352942,.23764706,9.9307645,39.001412,.22,0,.98094119,11.143588,.50188236,0,1.837353,0,1.1844118,28.099882,.29588236,.30747059,1.4229412,.49435293,.17970589,0,0,.89364708,.1277647,.3482353,2.6454705,.53735295,.1577647,45.135001,0,.38258823,9.2403528,5.2462942,0,2.425,0,2.0602942,32.141058,.56852943,.23111764,.4747059,.23029412,.12382353,0,0,.64164704,0,.58505882,2.306,.73735293,.4747059,40.404529,0,0,9.7587061,7.4852942,0,3.0786471,0,.7599412,28.874764,.26352942,.23764706,1.1187647,.30735294,.09647059,0,0,.21247059,.07058824,.43058825,2.7504118,.49705884,.6695294,39.049707,0,.14117647,10.131647,11.143588,0,2.8182941,0,1.1844118
1942q1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.744999,7.5025296,.27882354,.25652941,10.125588,42.315588,.49399999,0,.84147062,4.939353,.535,.0582353,1.4355294,0,2.472353,32.023882,7.9215881,.39517647,.24694117,8.755941,38.619706,.3684706,0,1.3249412,7.073353,.64147058,.19605883,1.5512353,0,.88152944,29.095,7.3824117,.2962353,.24517648,9.3651175,38.271294,.224,0,.92652943,10.526706,.54205883,0,1.7038236,0,1.4212941,28.964059,.33705883,.31476471,1.4905294,.52082351,.19764706,0,0,.81917649,.11711764,.41788236,2.5777647,.64482354,.15311764,44.614001,0,.35070588,8.7918234,4.939353,0,2.277,0,2.472353,32.78147,.59123531,.24694117,.47864707,.27635294,.14858824,0,0,.58817646,0,.64147058,2.252,.88482352,.47864707,40.364235,0,0,9.4376473,7.073353,0,2.8761765,0,.88152944,29.850117,.2962353,.24517648,1.1821176,.34882353,.11576471,0,0,.19476471,.06470588,.47670589,2.6992942,.57647061,.70323529,38.823648,0,.12941177,9.7131765,10.526706,0,2.6303529,0,1.4212941
1942q2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.662999,8.1351178,.32529413,.26911765,9.4573531,41.371353,.48599999,0,.80088238,4.6324118,.594,.05294118,1.3281176,0,2.8844118,32.79053,8.6863528,.43570589,.2627647,8.0687645,38.111824,.42988237,0,1.2427647,6.6614118,.69788234,.1782353,1.4309412,0,1.0031177,30.195,8.0616471,.32894118,.25270589,8.7994704,37.541177,.228,0,.87211766,9.9098233,.5822353,0,1.5702942,0,1.6581765,29.828235,.37823531,.32205883,1.5581177,.5472941,.21558824,0,0,.7447059,.10647058,.48752942,2.5100588,.75229413,.14847058,44.093001,0,.31882353,8.343294,4.6324118,0,2.129,0,2.8844118,33.421882,.61394119,.2627647,.48258825,.32241176,.17335294,0,0,.53470587,0,.69788234,2.198,1.0322941,.48258825,40.323941,0,0,9.1165885,6.6614118,0,2.6737059,0,1.0031177,30.82547,.32894118,.25270589,1.2454706,.39029412,.13505883,0,0,.17705882,.05882353,.52282354,2.6481765,.65588237,.73694117,38.597589,0,.11764706,9.2947059,9.9098233,0,2.4424117,0,1.6581765
1942q3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.580999,8.7677061,.37176472,.28170588,8.7891178,40.427118,.47799999,0,.76029414,4.3254706,.653,.04764706,1.2207058,0,3.2964706,33.557177,9.4511174,.4762353,.27858823,7.3815881,37.603942,.49129413,0,1.1605882,6.2494707,.7542941,.16041177,1.3106471,0,1.1247059,31.295,8.7408824,.36164707,.2602353,8.2338234,36.811059,.232,0,.8177059,9.292941,.62241178,0,1.4367648,0,1.8950588,30.692412,.41941178,.32935295,1.6257059,.57376469,.23352942,0,0,.67023531,.09582353,.55717648,2.4423529,.85976472,.14382353,43.572001,0,.28694117,7.8947646,4.3254706,0,1.981,0,3.2964706,34.062294,.63664708,.27858823,.48652943,.36847058,.19811765,0,0,.48123528,0,.7542941,2.144,1.1797647,.48652943,40.283647,0,0,8.7955296,6.2494707,0,2.4712353,0,1.1247059,31.800822,.36164707,.2602353,1.3088235,.43176471,.15435295,0,0,.15935294,.05294118,.56894119,2.5970589,.73529414,.77064705,38.37153,0,.10588235,8.8762353,9.292941,0,2.2544705,0,1.8950588
1942q4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.498999,9.4002944,.41823531,.29429412,8.1208825,39.482882,.46999999,0,.71970591,4.0185295,.71200001,.04235294,1.1132941,0,3.7085295,34.323824,10.215882,.51676471,.29441176,6.6944116,37.096059,.5527059,0,1.0784117,5.8375295,.81070587,.14258824,1.1903529,0,1.2462942,32.395,9.4201177,.39435295,.26776471,7.6681763,36.080941,.236,0,.76329413,8.6760586,.66258825,0,1.3032353,0,2.1319412,31.556589,.46058825,.33664706,1.6932941,.60023528,.2514706,0,0,.59576472,.08517647,.62682354,2.374647,.96723531,.13917647,43.051,0,.25505882,7.4462352,4.0185295,0,1.833,0,3.7085295,34.702706,.65935296,.29441176,.4904706,.41452941,.22288235,0,0,.4277647,0,.81070587,2.09,1.3272353,.4904706,40.243353,0,0,8.4744708,5.8375295,0,2.2687647,0,1.2462942,32.776175,.39435295,.26776471,1.3721764,.4732353,.17364706,0,0,.14164706,.04705882,.61505884,2.5459412,.81470591,.80435294,38.145472,0,.09411765,8.4577648,8.6760586,0,2.0665294,0,2.1319412
