g	problem	cat	numsurveys	numrespondents	perc	year
1	1	1	1	2764	23.237	1940
1	2	1	1	2764	3.707	1940
1	3	1	1	2764	0	1940
1	4	1	1	2764	.18099999	1940
1	5	1	1	2764	14.135	1940
1	6	1	1	2764	47.980999	1940
1	7	1	1	2764	.542	1940
1	8	1	1	2764	0	1940
1	9	1	1	2764	1.085	1940
1	10	1	1	2764	6.7810001	1940
1	11	1	1	2764	.18099999	1940
1	12	1	1	2764	.09	1940
1	13	1	1	2764	2.0799999	1940
1	14	1	1	2764	0	1940
1	15	1	1	2764	0	1940
1	101	2	1	2764	2.1700001	1940
1	102	2	1	2764	18.354	1940
1	103	2	1	2764	0	1940
1	104	2	1	2764	.18099999	1940
1	105	2	1	2764	.271	1940
1	106	2	1	2764	.542	1940
1	107	2	1	2764	.18099999	1940
1	108	2	1	2764	.18099999	1940
1	109	2	1	2764	.18099999	1940
1	110	2	1	2764	1.175	1940
1	201	2	1	2764	.09	1940
1	202	2	1	2764	.63300002	1940
1	203	2	1	2764	.09	1940
1	204	2	1	2764	.09	1940
1	205	2	1	2764	.09	1940
1	206	2	1	2764	0	1940
1	207	2	1	2764	2.0799999	1940
1	208	2	1	2764	.18099999	1940
1	209	2	1	2764	.09	1940
1	210	2	1	2764	0	1940
1	211	2	1	2764	0	1940
1	212	2	1	2764	0	1940
1	213	2	1	2764	0	1940
1	214	2	1	2764	.18099999	1940
1	215	2	1	2764	0	1940
1	216	2	1	2764	0	1940
1	217	2	1	2764	.18099999	1940
1	301	2	1	2764	0	1940
1	302	2	1	2764	0	1940
1	304	2	1	2764	0	1940
1	306	2	1	2764	0	1940
1	307	2	1	2764	0	1940
1	308	2	1	2764	0	1940
1	309	2	1	2764	0	1940
1	310	2	1	2764	0	1940
1	401	2	1	2764	0	1940
1	402	2	1	2764	0	1940
1	403	2	1	2764	0	1940
1	404	2	1	2764	0	1940
1	405	2	1	2764	.18099999	1940
1	406	2	1	2764	0	1940
1	407	2	1	2764	0	1940
1	501	2	1	2764	.36199999	1940
1	502	2	1	2764	.09	1940
1	503	2	1	2764	0	1940
1	504	2	1	2764	.18099999	1940
1	505	2	1	2764	0	1940
1	506	2	1	2764	11.242	1940
1	507	2	1	2764	0	1940
1	508	2	1	2764	1.085	1940
1	509	2	1	2764	1.175	1940
1	601	2	1	2764	10.85	1940
1	602	2	1	2764	20.313	1940
1	603	2	1	2764	0	1940
1	604	2	1	2764	0	1940
1	605	2	1	2764	16.184	1940
1	606	2	1	2764	0	1940
1	608	2	1	2764	0	1940
1	609	2	1	2764	0	1940
1	610	2	1	2764	0	1940
1	611	2	1	2764	.63300002	1940
1	701	2	1	2764	0	1940
1	702	2	1	2764	.542	1940
1	703	2	1	2764	0	1940
1	704	2	1	2764	0	1940
1	705	2	1	2764	0	1940
1	801	2	1	2764	0	1940
1	802	2	1	2764	0	1940
1	803	2	1	2764	0	1940
1	804	2	1	2764	0	1940
1	805	2	1	2764	0	1940
1	806	2	1	2764	0	1940
1	807	2	1	2764	0	1940
1	901	2	1	2764	.271	1940
1	902	2	1	2764	0	1940
1	903	2	1	2764	.81400001	1940
1	904	2	1	2764	0	1940
1	905	2	1	2764	0	1940
1	906	2	1	2764	0	1940
1	908	2	1	2764	0	1940
1	1001	2	1	2764	.045	1940
