ts,numsurveys,numrespondents,mipds_101_1,mipds_102_1,mipds_103_1,mipds_105_1,mipds_109_1,mipds_110_1,mipds_203_1,mipds_204_1,mipds_207_1,mipds_308_1,mipds_309_1,mipds_401_1,mipds_404_1,mipds_503_1,mipds_509_1,mipds_601_1,mipds_602_1,mipds_603_1,mipds_605_1,mipds_610_1,mipds_804_1,mipds_901_1,mipds_1001_1,mipds_1011_1,mipds_1012_1,mipds_101_2,mipds_102_2,mipds_103_2,mipds_105_2,mipds_109_2,mipds_110_2,mipds_203_2,mipds_204_2,mipds_207_2,mipds_308_2,mipds_309_2,mipds_401_2,mipds_404_2,mipds_503_2,mipds_509_2,mipds_601_2,mipds_602_2,mipds_603_2,mipds_605_2,mipds_610_2,mipds_804_2,mipds_901_2,mipds_1001_2,mipds_1011_2,mipds_1012_2,mipds_101_3,mipds_102_3,mipds_103_3,mipds_105_3,mipds_109_3,mipds_110_3,mipds_203_3,mipds_204_3,mipds_207_3,mipds_308_3,mipds_309_3,mipds_401_3,mipds_404_3,mipds_503_3,mipds_509_3,mipds_601_3,mipds_602_3,mipds_603_3,mipds_605_3,mipds_610_3,mipds_804_3,mipds_901_3,mipds_1001_3,mipds_1011_3,mipds_1012_3,mipds_101_4,mipds_102_4,mipds_103_4,mipds_105_4,mipds_109_4,mipds_110_4,mipds_203_4,mipds_204_4,mipds_207_4,mipds_308_4,mipds_309_4,mipds_401_4,mipds_404_4,mipds_503_4,mipds_509_4,mipds_601_4,mipds_602_4,mipds_603_4,mipds_605_4,mipds_610_4,mipds_804_4,mipds_901_4,mipds_1001_4,mipds_1011_4,mipds_1012_4,mipde_101_1,mipde_102_1,mipde_103_1,mipde_105_1,mipde_108_1,mipde_109_1,mipde_110_1,mipde_501_1,mipde_502_1,mipde_504_1,mipde_101_2,mipde_102_2,mipde_103_2,mipde_105_2,mipde_108_2,mipde_109_2,mipde_110_2,mipde_501_2,mipde_502_2,mipde_504_2,mipde_101_3,mipde_102_3,mipde_103_3,mipde_105_3,mipde_108_3,mipde_109_3,mipde_110_3,mipde_501_3,mipde_502_3,mipde_504_3,mipde_101_4,mipde_102_4,mipde_103_4,mipde_105_4,mipde_108_4,mipde_109_4,mipde_110_4,mipde_501_4,mipde_502_4,mipde_504_4,mipdfp_506_1,mipdfp_601_1,mipdfp_602_1,mipdfp_603_1,mipdfp_604_1,mipdfp_605_1,mipdfp_606_1,mipdfp_608_1,mipdfp_610_1,mipdfp_701_1,mipdfp_702_1,mipdfp_506_2,mipdfp_601_2,mipdfp_602_2,mipdfp_603_2,mipdfp_604_2,mipdfp_605_2,mipdfp_606_2,mipdfp_608_2,mipdfp_610_2,mipdfp_701_2,mipdfp_702_2,mipdfp_506_3,mipdfp_601_3,mipdfp_602_3,mipdfp_603_3,mipdfp_604_3,mipdfp_605_3,mipdfp_606_3,mipdfp_608_3,mipdfp_610_3,mipdfp_701_3,mipdfp_702_3,mipdfp_506_4,mipdfp_601_4,mipdfp_602_4,mipdfp_603_4,mipdfp_604_4,mipdfp_605_4,mipdfp_606_4,mipdfp_608_4,mipdfp_610_4,mipdfp_701_4,mipdfp_702_4,mipdsp_201_1,mipdsp_202_1,mipdsp_203_1,mipdsp_204_1,mipdsp_205_1,mipdsp_207_1,mipdsp_208_1,mipdsp_210_1,mipdsp_211_1,mipdsp_212_1,mipdsp_217_1,mipdsp_201_2,mipdsp_202_2,mipdsp_203_2,mipdsp_204_2,mipdsp_205_2,mipdsp_207_2,mipdsp_208_2,mipdsp_210_2,mipdsp_211_2,mipdsp_212_2,mipdsp_217_2,mipdsp_201_3,mipdsp_202_3,mipdsp_203_3,mipdsp_204_3,mipdsp_205_3,mipdsp_207_3,mipdsp_208_3,mipdsp_210_3,mipdsp_211_3,mipdsp_212_3,mipdsp_217_3,mipdsp_201_4,mipdsp_202_4,mipdsp_203_4,mipdsp_204_4,mipdsp_205_4,mipdsp_207_4,mipdsp_208_4,mipdsp_210_4,mipdsp_211_4,mipdsp_212_4,mipdsp_217_4,mipd_1_1,mipd_2_1,mipd_3_1,mipd_4_1,mipd_5_1,mipd_6_1,mipd_7_1,mipd_8_1,mipd_9_1,mipd_10_1,mipd_11_1,mipd_12_1,mipd_13_1,mipd_14_1,mipd_15_1,mipd_1_2,mipd_2_2,mipd_3_2,mipd_4_2,mipd_5_2,mipd_6_2,mipd_7_2,mipd_8_2,mipd_9_2,mipd_10_2,mipd_11_2,mipd_12_2,mipd_13_2,mipd_14_2,mipd_15_2,mipd_1_3,mipd_2_3,mipd_3_3,mipd_4_3,mipd_5_3,mipd_6_3,mipd_7_3,mipd_8_3,mipd_9_3,mipd_10_3,mipd_11_3,mipd_12_3,mipd_13_3,mipd_14_3,mipd_15_3,mipd_1_4,mipd_2_4,mipd_3_4,mipd_4_4,mipd_5_4,mipd_6_4,mipd_7_4,mipd_8_4,mipd_9_4,mipd_10_4,mipd_11_4,mipd_12_4,mipd_13_4,mipd_14_4,mipd_15_4,cap_1_1,cap_2_1,cap_3_1,cap_4_1,cap_5_1,cap_6_1,cap_7_1,cap_8_1,cap_9_1,cap_10_1,cap_12_1,cap_13_1,cap_14_1,cap_15_1,cap_16_1,cap_17_1,cap_18_1,cap_19_1,cap_20_1,cap_21_1,cap_22_1,cap_23_1,cap_24_1,cap_1_2,cap_2_2,cap_3_2,cap_4_2,cap_5_2,cap_6_2,cap_7_2,cap_8_2,cap_9_2,cap_10_2,cap_12_2,cap_13_2,cap_14_2,cap_15_2,cap_16_2,cap_17_2,cap_18_2,cap_19_2,cap_20_2,cap_21_2,cap_22_2,cap_23_2,cap_24_2,cap_1_3,cap_2_3,cap_3_3,cap_4_3,cap_5_3,cap_6_3,cap_7_3,cap_8_3,cap_9_3,cap_10_3,cap_12_3,cap_13_3,cap_14_3,cap_15_3,cap_16_3,cap_17_3,cap_18_3,cap_19_3,cap_20_3,cap_21_3,cap_22_3,cap_23_3,cap_24_3,cap_1_4,cap_2_4,cap_3_4,cap_4_4,cap_5_4,cap_6_4,cap_7_4,cap_8_4,cap_9_4,cap_10_4,cap_12_4,cap_13_4,cap_14_4,cap_15_4,cap_16_4,cap_17_4,cap_18_4,cap_19_4,cap_20_4,cap_21_4,cap_22_4,cap_23_4,cap_24_4
1939m1,1,2818,3.725,40.664,.269,3.725,2.11,6.373,.224,0,0,.135,.045,.449,0,0,.449,.269,2.244,0,10.682,0,0,.808,.934,3.16,.898,3.686,33.17,0,3.686,1.72,6.143,.491,0,0,.123,.123,0,0,0,.737,.983,3.194,0,10.074,0,0,1.229,1.769,5.307,1.966,3.324,33.777,0,3.324,1.596,5.319,.266,0,0,.532,.266,.532,0,0,0,.798,5.053,0,15.16,0,0,.532,.745,2.5,.798,2.28,52.334,0,2.497,1.357,3.366,0,0,.109,.434,.109,0,0,0,.217,.109,2.714,0,11.075,0,0,.543,.89,2.78,1.194,3.725,40.664,.269,3.725,.18,2.11,6.373,1.93,1.93,1.122,3.686,33.17,0,3.686,.491,1.72,6.143,1.351,1.351,.737,3.324,33.777,0,3.324,0,1.596,5.319,1.33,1.33,1.064,2.28,52.334,0,2.497,.434,1.357,3.366,1.303,1.303,.489,0,.269,2.244,0,0,10.682,0,0,0,0,0,0,.983,3.194,0,0,10.074,0,0,0,0,.246,0,.798,5.053,0,0,15.16,0,0,0,0,0,0,.109,2.714,0,0,11.075,0,0,0,0,0,0,3.591,.224,0,.628,0,.718,0,1.436,0,0,.246,3.87,.491,0,3.194,0,2.457,0,1.781,0,0,0,4.255,.266,0,1.064,0,.798,0,1.596,0,0,.109,3.42,0,0,.326,.109,.869,0,1.792,0,0,61.804001,6.598,.18000001,1.1670001,7.585,13.196,0,.09,2.154,6.1939998,1.0319999,0,0,0,0,52.580002,12.039,.73699999,.491,5.651,14.251,.24600001,.24600001,1.474,10.811,.98299998,.491,0,0,0,50.532001,7.9790001,1.064,.79799998,9.0430002,21.011,0,.53200001,2.6600001,4.7870002,1.064,.53200001,0,0,0,66.287003,6.6230001,.65100002,.109,3.6370001,13.898,0,0,1.737,5.8629999,.65100002,.43399999,.109,0,0,66.068001,.18000001,.80800003,2.154,.18000001,.22400001,0,0,.449,0,1.4809999,4.2189999,1.436,1.257,12.926,0,0,.26899999,6.1939998,0,2.154,0,0,57.063999,1.229,.73699999,1.474,.491,.491,0,0,.73699999,.24600001,.98299998,7.0640001,1.781,.921,13.268,0,.24600001,.98299998,10.811,0,1.474,0,0,54.255001,1.596,.79799998,5.3189998,0,.266,0,0,0,0,1.596,5.3189998,1.596,.79799998,20.212999,0,0,.79799998,4.7870002,0,2.6600001,0,0,68.810997,1.086,.109,.32600001,.43399999,0,0,0,.21699999,.109,.65100002,3.855,1.7920001,1.0039999,13.789,0,0,.109,5.8629999,0,1.846,0,0
1939m2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.857001,5.8973333,.12,.94500003,6.829,20.785667,0,.06,2.0986667,4.9996665,1.0336666,.05766666,.78766664,0,.52833335,49.056334,10.078666,.49133333,.35666666,5.6003334,22.477334,.164,.164,1.2026667,8.0576666,.94866665,.32733333,.68433332,0,.39099999,48.159668,6.9273334,.78600001,.74633332,8.4023334,24.880333,0,.35466667,2.1563334,3.7426668,1.1686667,.35466667,1.3526667,0,.97000003,61.295002,6.1143335,.43400002,.19566666,3.5573334,20.786333,0,0,1.2873333,4.4329999,.69300002,.38633333,.52566665,0,.29133334,59.369667,.17766667,.62500002,2.4446667,.14866667,.14933334,0,0,.328,0,1.414,3.9136666,1.1533333,1.0756666,12.584667,0,0,8.2003332,4.9996665,0,2.8866668,0,.52833335,52.961999,.81933331,.49133333,1.7156666,.32733333,.32733333,0,0,.49133333,.164,.97799999,6.3223335,1.4806667,.94400001,13.097666,0,.164,9.3796668,8.0576666,0,1.887,0,.39099999,51.350001,1.1406666,.53199999,5.3836665,0,.17733334,0,0,0,.07666667,1.7376666,4.4343332,1.3243333,.74266666,17.022999,0,0,7.8570001,3.7426668,0,3.509,0,.97000003,63.794665,.82099998,.105,.41166667,.32166666,0,0,0,.20933333,.07266666,.78366669,3.8223333,1.447,.88766662,12.968333,0,0,7.818,4.4329999,0,1.8133333,0,.29133334
1939m3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.910001,5.1966666,.06,.72300001,6.073,28.375333,0,.03,2.0433334,3.8053333,1.0353333,.11533333,1.5753333,0,1.0566667,45.532667,8.1183332,.24566666,.22233333,5.5496667,30.703667,.082,.082,.93133334,5.3043334,.91433332,.16366667,1.3686666,0,.78199999,45.787334,5.8756666,.50800001,.69466666,7.7616666,28.749666,0,.17733334,1.6526667,2.6983334,1.2733334,.17733334,2.7053334,0,1.9400001,56.303001,5.6056668,.21700001,.28233332,3.4776667,27.674666,0,0,.83766667,3.0029999,.73500001,.33866667,.94233331,0,.58266668,52.671333,.17533333,.44200001,2.7353334,.11733334,.07466667,0,0,.207,0,1.347,3.6083333,.87066666,.89433332,12.243333,0,0,16.131666,3.8053333,0,3.6193335,0,1.0566667,48.859999,.40966666,.24566666,1.9573332,.16366667,.16366667,0,0,.24566666,.082,.97299999,5.5806669,1.1803333,.96700001,12.927333,0,.082,17.776334,5.3043334,0,2.3,0,.78199999,48.445001,.68533332,.26599999,5.4483333,0,.08866667,0,0,0,.15333334,1.8793333,3.5496666,1.0526667,.68733335,13.833,0,0,14.916,2.6983334,0,4.3579999,0,1.9400001,58.778333,.55599999,.101,.49733334,.20933333,0,0,0,.20166667,.03633333,.91633336,3.7896667,1.102,.7713333,12.147666,0,0,15.527,3.0029999,0,1.7806667,0,.58266668
1939m4,1,3122,2.939,30.865,0,3.545,1.34,2.334,0,0,.692,0,0,.086,0,0,.086,24.063,.259,0,11.643,0,0,.778,.173,.726,1.556,2.309,29.472,0,3.189,1.32,1.76,0,0,.88,0,0,0,0,0,0,26.173,.22,0,12.537,0,0,.22,.44,.484,1.54,2.871,29.632,0,3.331,.459,4.594,0,0,.459,0,.23,.459,0,0,0,21.975,0,0,10.643,0,0,0,0,.551,.919,1.359,42.233,0,1.99,1.553,1.456,0,0,.631,0,0,.097,0,0,.194,23.236,.194,0,11.133,0,0,.097,0,.718,.68,2.939,30.865,0,3.545,.086,1.34,2.334,1.037,1.037,.13,2.309,29.472,0,3.189,0,1.32,1.76,1.65,1.65,0,2.871,29.632,0,3.331,0,.459,4.594,.689,.689,.23,1.359,42.233,0,1.99,.097,1.553,1.456,1.262,1.262,.097,0,24.063,.259,0,0,11.643,0,0,0,0,0,0,26.173,.22,0,0,12.537,0,0,0,0,0,0,21.975,0,0,0,10.643,0,0,0,0,0,0,23.236,.194,0,0,11.133,0,0,0,0,0,0,2.352,0,0,.259,.692,.605,0,.588,0,0,0,3.519,0,0,.44,.88,.44,0,.88,0,0,.23,2.205,0,0,0,.459,1.149,0,.781,0,0,0,3.029,0,0,.097,.631,.583,0,.757,0,0,43.963001,4.4959998,0,.50099999,5.3169999,35.965,0,0,1.988,2.6110001,1.0369999,.17299999,2.3629999,0,1.585,42.008999,6.158,0,.088,5.4990001,38.93,0,0,.66000003,2.5510001,.88,0,2.053,0,1.173,43.415001,4.8239999,.23,.64300001,7.1209998,32.618999,0,0,1.149,1.654,1.378,0,4.0580001,0,2.9100001,51.311001,5.0970001,0,.36899999,3.398,34.563,0,0,.38800001,1.573,.77700001,.29100001,1.359,0,.87400001,45.973,.17299999,.259,3.026,.086,0,0,0,.086,0,1.28,3.303,.588,.713,11.902,0,0,24.063,2.6110001,0,4.3520002,0,1.585,44.757999,0,0,2.1989999,0,0,0,0,0,0,.96799999,4.8390002,.88,.99000001,12.757,0,0,26.173,2.5510001,0,2.7130001,0,1.173,45.540001,.23,0,5.513,0,0,0,0,0,.23,2.0209999,2.665,.78100002,.63200003,10.643,0,0,21.975,1.654,0,5.2069998,0,2.9100001,53.762001,.29100001,.097,.583,.097,0,0,0,.19400001,0,1.049,3.757,.75700003,.65499997,11.327,0,0,23.236,1.573,0,1.748,0,.87400001
1939m5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.168858,5.0891427,.01228571,.49471427,4.9769999,37.611572,0,0,1.9245715,2.7914286,.91942852,.16057142,2.4664285,.02457143,1.3585715,40.125713,6.8602858,0,.12271429,5.0840001,40.006857,.06314286,0,.72342859,2.8804287,.80157142,.03157143,2.2327143,.06314286,1.0054286,41.404572,5.3002856,.19714286,.79557143,6.9245712,34.694714,.03757143,0,1.3608572,1.9064286,1.2187143,0,3.6662858,0,2.4942858,48.497858,5.2600001,.01357143,.37757142,3.1642857,37.435,.01357143,0,.38928573,1.8834285,.69314287,.24942858,1.2328571,.04085714,.74914287,44.051,.17285714,.222,2.7254286,.11042857,.05514286,0,0,.086,0,1.1931428,3.8987143,.60442857,.69071428,11.742429,0,0,25.881428,2.7914286,0,4.3918574,.02457143,1.3585715,42.820999,.03157143,0,1.955857,0,.04728571,0,0,0,0,.92428571,5.3797144,.89928571,.90371429,12.889857,0,.06314286,27.180143,2.8804287,0,2.9561429,.06314286,1.0054286,43.470429,.19714286,0,5.1201429,.03757143,.07514286,0,0,.03757143,.19714286,2.0142856,3.2391428,.72957144,.71085717,10.526143,0,.03757143,24.180286,1.9064286,0,5.0269998,0,2.4942858,50.782429,.26300001,.08771429,.561,.09671429,.02714286,0,0,.17314286,0,.98300002,3.9018571,.72228574,.62942855,10.953714,0,.01357143,26.508429,1.8834285,0,1.623,.04085714,.74914287
1939m6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.374715,5.6822855,.02457143,.48842856,4.6369999,39.258143,0,0,1.8611429,2.9718572,.8018571,.14814285,2.5698571,.04914286,1.1321429,38.242428,7.5625715,0,.15742857,4.6690001,41.083714,.12628571,0,.78685715,3.2098572,.72314285,.06314286,2.4124286,.12628571,.83785713,39.394143,5.7765713,.16428572,.94814285,6.7281427,36.770428,.07514286,0,1.5727143,2.1588572,1.0594286,0,3.2745715,0,2.0785715,45.684715,5.4230001,.02714286,.38614285,2.9305714,40.307,.02714286,0,.39057144,2.1938571,.60928572,.20785715,1.1067143,.08171429,.62428572,42.129,.17271428,.185,2.4248572,.13485714,.11028572,0,0,.086,0,1.1062857,4.4944286,.62085715,.66842857,11.582857,0,0,27.699857,2.9718572,0,4.4317145,.04914286,1.1321429,40.883999,.06314286,0,1.7127142,0,.09457143,0,0,0,0,.88057142,5.9204286,.91857142,.81742858,13.022714,0,.12628571,28.187286,3.2098572,0,3.1992857,.12628571,.83785713,41.400858,.16428572,0,4.7272857,.07514286,.15028572,0,0,.07514286,.16428572,2.0075714,3.8132857,.67814287,.78971431,10.409285,0,.07514286,26.385571,2.1588572,0,4.8469998,0,2.0785715,47.802858,.23500001,.07842857,.539,.09642857,.05428571,0,0,.15228572,0,.91700002,4.0467142,.68757145,.60385713,10.580428,0,.02714286,29.780858,2.1938571,0,1.498,.08171429,.62428572
1939m7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.580572,6.2754284,.03685714,.48214284,4.297,40.904715,0,0,1.7977143,3.1522858,.68428568,.13571428,2.6732856,.07371429,.90571431,36.359142,8.2648573,0,.19214286,4.2540001,42.160571,.18942857,0,.85028572,3.5392857,.64471428,.09471429,2.5921429,.18942857,.6702857,37.383714,6.2528571,.13142857,1.1007143,6.5317141,38.846142,.11271429,0,1.7845714,2.4112857,.90014287,0,2.8828572,0,1.6628572,42.871572,5.586,.04071429,.39471427,2.6968571,43.179,.04071429,0,.39185716,2.5042857,.52542858,.16628572,.98057141,.12257143,.49942858,40.207,.17257143,.148,2.1242857,.15928572,.16542857,0,0,.086,0,1.0194286,5.0901429,.63728572,.64614285,11.423286,0,0,29.518285,3.1522858,0,4.4715716,.07371429,.90571431,38.946999,.09471429,0,1.4695714,0,.14185714,0,0,0,0,.83685714,6.4611428,.93785713,.73114287,13.155572,0,.18942857,29.194429,3.5392857,0,3.4424286,.18942857,.6702857,39.331286,.13142857,0,4.3344286,.11271429,.22542858,0,0,.11271429,.13142857,2.0008571,4.3874286,.6267143,.86857145,10.292428,0,.11271429,28.590857,2.4112857,0,4.6669999,0,1.6628572,44.823286,.207,.06914286,.517,.09614286,.08142857,0,0,.13142857,0,.85100002,4.1915714,.65285716,.5782857,10.207143,0,.04071429,33.053286,2.5042857,0,1.373,.12257143,.49942858
1939m8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.786429,6.8685712,.04914286,.47585713,3.957,42.551286,0,0,1.7342857,3.3327144,.56671426,.12328571,2.7767142,.09828572,.67928573,34.475857,8.9671431,0,.22685714,3.8390001,43.237428,.25257143,0,.91371428,3.8687143,.56628571,.12628571,2.7718572,.25257143,.50271428,35.373286,6.7291428,.09857143,1.2532857,6.3352855,40.921856,.15028572,0,1.9964286,2.6637143,.74085716,0,2.4911429,0,1.2471429,40.058429,5.749,.05428571,.4032857,2.4631428,46.051,.05428571,0,.39314287,2.8147143,.44157143,.12471429,.85442856,.16342858,.37457143,38.285,.17242857,.111,1.8237143,.18371429,.22057143,0,0,.086,0,.93257141,5.6858572,.65371429,.62385713,11.263714,0,0,31.336714,3.3327144,0,4.5114287,.09828572,.67928573,37.009999,.12628571,0,1.2264285,0,.18914286,0,0,0,0,.79314286,7.001857,.95714285,.64485715,13.288429,0,.25257143,30.201571,3.8687143,0,3.6855714,.25257143,.50271428,37.261714,.09857143,0,3.9415714,.15028572,.30057144,0,0,.15028572,.09857143,1.9941428,4.9615714,.57528572,.94742859,10.175571,0,.15028572,30.796142,2.6637143,0,4.4869999,0,1.2471429,41.843714,.179,.05985714,.495,.09585714,.10857143,0,0,.11057143,0,.78500002,4.3364285,.61814287,.55271428,9.8338569,0,.05428571,36.325715,2.8147143,0,1.248,.16342858,.37457143
1939m9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.992286,7.4617141,.06142857,.46957142,3.617,44.197858,0,0,1.6708572,3.5131429,.44914284,.11085714,2.8801428,.12285715,.45285715,32.592571,9.6694288,0,.26157143,3.4240001,44.314285,.31571429,0,.97714284,4.1981428,.48785714,.15785714,2.9515715,.31571429,.33514285,33.362857,7.2054285,.06571429,1.4058571,6.138857,42.99757,.18785715,0,2.2082857,2.9161429,.58157144,0,2.0994286,0,.8314286,37.245286,5.912,.06785714,.41185713,2.2294285,48.923,.06785714,0,.39442859,3.1251429,.35771429,.08314286,.72828571,.20428572,.24971429,36.363001,.17228572,.074,1.5231429,.20814286,.27571429,0,0,.086,0,.84571427,6.2815715,.67014286,.60157142,11.104143,0,0,33.155143,3.5131429,0,4.5512858,.12285715,.45285715,35.072999,.15785714,0,.98328569,0,.23642857,0,0,0,0,.74942857,7.5425712,.97642856,.55857144,13.421286,0,.31571429,31.208714,4.1981428,0,3.9287143,.31571429,.33514285,35.192143,.06571429,0,3.5487143,.18785715,.3757143,0,0,.18785715,.06571429,1.9874285,5.5357143,.52385715,1.0262857,10.058714,0,.18785715,33.001428,2.9161429,0,4.307,0,.8314286,38.864142,.151,.05057143,.47299999,.09557143,.13571428,0,0,.08971429,0,.71900002,4.4812856,.58342858,.52714286,9.4605712,0,.06785714,39.598144,3.1251429,0,1.123,.20428572,.24971429
1939m10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.198142,8.0548569,.07371429,.4632857,3.277,45.84443,0,0,1.6074286,3.6935715,.33157142,.09842857,2.9835713,.14742858,.22642858,30.709286,10.371715,0,.29628571,3.0090001,45.391142,.37885714,0,1.0405714,4.5275713,.40942857,.18942857,3.1312858,.37885714,.16757143,31.352428,7.6817143,.03285714,1.5584285,5.9424284,45.073284,.22542858,0,2.4201428,3.1685714,.42228573,0,1.7077143,0,.4157143,34.432143,6.0749999,.08142857,.42042856,1.9957143,51.795,.08142857,0,.3957143,3.4355715,.27385714,.04157143,.60214286,.24514287,.12485714,34.441001,.17214286,.037,1.2225714,.23257143,.33085715,0,0,.086,0,.75885713,6.8772858,.68657144,.5792857,10.944571,0,0,34.973571,3.6935715,0,4.5911429,.14742858,.22642858,33.135999,.18942857,0,.74014285,0,.28371429,0,0,0,0,.70571429,8.0832854,.99571427,.47228572,13.554143,0,.37885714,32.215857,4.5275713,0,4.1718571,.37885714,.16757143,33.122571,.03285714,0,3.1558572,.22542858,.45085716,0,0,.22542858,.03285714,1.9807143,6.1098572,.47242858,1.1051429,9.9418569,0,.22542858,35.206713,3.1685714,0,4.127,0,.4157143,35.884571,.123,.04128572,.45099999,.09528571,.16285714,0,0,.06885714,0,.65300001,4.6261428,.54871429,.50157143,9.0872855,0,.08142857,42.870573,3.4355715,0,.99800003,.24514287,.12485714
