g	problem	cat	numsurveys	numrespondents	perc	year
1	1	1	3	8989	45.296001	1939
1	2	1	3	8989	6.5630002	1939
1	3	1	3	8989	.085	1939
1	4	1	3	8989	.69499999	1939
1	5	1	3	8989	5.2210002	1939
1	6	1	3	8989	32.737	1939
1	7	1	3	8989	0	1939
1	8	1	3	8989	.028	1939
1	9	1	3	8989	1.89	1939
1	10	1	3	8989	4.1620002	1939
1	11	1	3	8989	.75700003	1939
1	12	1	3	8989	.089	1939
1	13	1	3	8989	1.868	1939
1	14	1	3	8989	.058	1939
1	15	1	3	8989	.55000001	1939
1	101	2	3	8989	2.654	1939
1	102	2	3	8989	30.915001	1939
1	103	2	3	8989	.114	1939
1	104	2	3	8989	0	1939
1	105	2	3	8989	3.1459999	1939
1	106	2	3	8989	2.03	1939
1	107	2	3	8989	.83099997	1939
1	108	2	3	8989	.17399999	1939
1	109	2	3	8989	1.432	1939
1	110	2	3	8989	4.0009999	1939
1	201	2	3	8989	.058	1939
1	202	2	3	8989	2.78	1939
1	203	2	3	8989	.20100001	1939
1	204	2	3	8989	0	1939
1	205	2	3	8989	.83999997	1939
1	206	2	3	8989	0	1939
1	207	2	3	8989	1.326	1939
1	208	2	3	8989	.46399999	1939
1	209	2	3	8989	0	1939
1	210	2	3	8989	0	1939
1	211	2	3	8989	.89300001	1939
1	212	2	3	8989	0	1939
1	213	2	3	8989	0	1939
1	214	2	3	8989	0	1939
1	215	2	3	8989	0	1939
1	216	2	3	8989	0	1939
1	217	2	3	8989	0	1939
1	301	2	3	8989	0	1939
1	302	2	3	8989	0	1939
1	304	2	3	8989	0	1939
1	306	2	3	8989	0	1939
1	307	2	3	8989	0	1939
1	308	2	3	8989	.042	1939
1	309	2	3	8989	.043	1939
1	310	2	3	8989	0	1939
1	401	2	3	8989	.2	1939
1	402	2	3	8989	0	1939
1	403	2	3	8989	0	1939
1	404	2	3	8989	0	1939
1	405	2	3	8989	.315	1939
1	406	2	3	8989	0	1939
1	407	2	3	8989	.18000001	1939
1	501	2	3	8989	1.242	1939
1	502	2	3	8989	1.242	1939
1	503	2	3	8989	0	1939
1	504	2	3	8989	.47	1939
1	505	2	3	8989	0	1939
1	506	2	3	8989	.029	1939
1	507	2	3	8989	0	1939
1	508	2	3	8989	2.039	1939
1	509	2	3	8989	.2	1939
1	601	2	3	8989	20.864	1939
1	602	2	3	8989	.852	1939
1	603	2	3	8989	0	1939
1	604	2	3	8989	0	1939
1	605	2	3	8989	10.963	1939
1	606	2	3	8989	0	1939
1	608	2	3	8989	0	1939
1	609	2	3	8989	0	1939
1	610	2	3	8989	0	1939
1	611	2	3	8989	.058	1939
1	701	2	3	8989	0	1939
1	702	2	3	8989	0	1939
1	703	2	3	8989	0	1939
1	704	2	3	8989	0	1939
1	705	2	3	8989	0	1939
1	801	2	3	8989	0	1939
1	802	2	3	8989	0	1939
1	803	2	3	8989	0	1939
1	804	2	3	8989	0	1939
1	805	2	3	8989	0	1939
1	806	2	3	8989	0	1939
1	807	2	3	8989	.028	1939
1	901	2	3	8989	.58200002	1939
1	902	2	3	8989	.084	1939
1	903	2	3	8989	1.1950001	1939
1	904	2	3	8989	.028	1939
1	905	2	3	8989	0	1939
1	906	2	3	8989	0	1939
1	908	2	3	8989	0	1939
1	1001	2	3	8989	.42500001	1939
1	1002	2	3	8989	.028	1939
1	1003	2	3	8989	0	1939
1	1004	2	3	8989	0	1939
1	1005	2	3	8989	0	1939
1	1006	2	3	8989	0	1939
1	1007	2	3	8989	0	1939
1	1008	2	3	8989	0	1939
1	1009	2	3	8989	0	1939
1	1010	2	3	8989	.801	1939
1	1011	2	3	8989	1.9119999	1939
1	1012	2	3	8989	.99599999	1939
1	1101	2	3	8989	.75700003	1939
1	1102	2	3	8989	0	1939
1	1103	2	3	8989	0	1939
1	1104	2	3	8989	0	1939
1	1105	2	3	8989	0	1939
1	1106	2	3	8989	0	1939
1	1201	2	3	8989	.089	1939
1	1301	2	3	8989	.82099998	1939
1	1302	2	3	8989	1.0470001	1939
1	1401	2	3	8989	.058	1939
1	1501	2	3	8989	.55000001	1939
1	101	3	3	8989	2.654	1939
1	102	3	3	8989	30.915001	1939
1	103	3	3	8989	.114	1939
1	104	3	3	8989	0	1939
1	105	3	3	8989	3.1459999	1939
1	106	3	3	8989	2.03	1939
1	107	3	3	8989	.83099997	1939
1	108	3	3	8989	.17399999	1939
1	109	3	3	8989	1.432	1939
1	110	3	3	8989	4.0009999	1939
1	501	3	3	8989	1.242	1939
1	502	3	3	8989	1.242	1939
1	503	3	3	8989	0	1939
1	504	3	3	8989	.47	1939
1	505	3	3	8989	0	1939
1	506	3	3	8989	.029	1939
1	201	4	3	8989	.058	1939
1	202	4	3	8989	2.78	1939
1	203	4	3	8989	.20100001	1939
1	204	4	3	8989	0	1939
1	205	4	3	8989	.83999997	1939
1	206	4	3	8989	0	1939
1	207	4	3	8989	1.326	1939
1	208	4	3	8989	.46399999	1939
1	209	4	3	8989	0	1939
1	210	4	3	8989	0	1939
1	211	4	3	8989	.89300001	1939
1	212	4	3	8989	0	1939
1	213	4	3	8989	0	1939
1	214	4	3	8989	0	1939
1	215	4	3	8989	0	1939
1	216	4	3	8989	0	1939
1	217	4	3	8989	0	1939
1	506	5	3	8989	.029	1939
1	601	5	3	8989	20.864	1939
1	602	5	3	8989	.852	1939
1	603	5	3	8989	0	1939
1	604	5	3	8989	0	1939
1	605	5	3	8989	10.963	1939
1	606	5	3	8989	0	1939
1	608	5	3	8989	0	1939
1	609	5	3	8989	0	1939
1	610	5	3	8989	0	1939
1	611	5	3	8989	.058	1939
1	701	5	3	8989	0	1939
1	702	5	3	8989	0	1939
1	703	5	3	8989	0	1939
1	704	5	3	8989	0	1939
1	705	5	3	8989	0	1939
1	1	6	3	8989	47.709	1939
1	2	6	3	8989	.175	1939
1	3	6	3	8989	.34299999	1939
1	4	6	3	8989	2.039	1939
1	5	6	3	8989	.17399999	1939
1	6	6	3	8989	.20100001	1939
1	7	6	3	8989	0	1939
1	8	6	3	8989	0	1939
1	9	6	3	8989	.2	1939
1	10	6	3	8989	0	1939
1	12	6	3	8989	1.137	1939
1	13	6	3	8989	5.0040002	1939
1	14	6	3	8989	.89300001	1939
1	15	6	3	8989	.83099997	1939
1	16	6	3	8989	11.844	1939
1	17	6	3	8989	0	1939
1	18	6	3	8989	0	1939
1	19	6	3	8989	20.922001	1939
1	20	6	3	8989	4.1620002	1939
1	21	6	3	8989	0	1939
1	22	6	3	8989	3.7579999	1939
1	23	6	3	8989	.058	1939
1	24	6	3	8989	.55000001	1939
2	1	1	3	8989	40.851002	1939
2	2	1	3	8989	9.6689997	1939
2	3	1	3	8989	.23100001	1939
2	4	1	3	8989	.29699999	1939
2	5	1	3	8989	4.5609999	1939
2	6	1	3	8989	33.75	1939
2	7	1	3	8989	.227	1939
2	8	1	3	8989	.077	1939
2	9	1	3	8989	1.066	1939
2	10	1	3	8989	5.9229999	1939
2	11	1	3	8989	.72600001	1939
2	12	1	3	8989	.229	1939
2	13	1	3	8989	1.836	1939
2	14	1	3	8989	.15000001	1939
2	15	1	3	8989	.40700001	1939
2	101	2	3	8989	2.457	1939
2	102	2	3	8989	27.224001	1939
2	103	2	3	8989	.15000001	1939
2	104	2	3	8989	0	1939
2	105	2	3	8989	2.9119999	1939
