cat,catname,problem,problemname,catdesc,issues,examples
1,MIPD (General),1,Economy,includes all mentions of economic issues,"Economy (general), unemployment, inflation, growth, monetary policy, domestic commerce, regulation, taxes, wages, industrial policy, etc","Jobs, cost of living, prices, interest rates, recession, prosperity, develop industry, bailouts, Wall Street, regulation, government control, wages, income, minimum wage, taxes, tax reform, labor, unions, strikes, automation"
1,MIPD (General),2,Social Policy,includes all mentions of social policy,"Social policy (general), welfare, education, health care, retirement, poverty, inequality, classes, homelessness, specific groups, etc","Government programs, welfare, entitlements, aid for the poor, schools, teachers, health care, medical care, prescription drugs, Social Security, the poor, economic inequality, class inequality, hunger, homeless shelters, refugees, elderly people, veterans, those with disabilities"
1,MIPD (General),3,Rights,includes all mentions of civil and political rights,"Gender rights, LGBTQ+ rights, reproductive rights, privacy rights, freedom, civil rights, racism/discrimination, non-violent political participation, etc","Sexual harassment, gender equality, wage gap, gay marriage, abortion rights, privacy, constitutional rights, freedoms, human rights, founding principles, religious freedom, busing, integration, fair employment, fair housing, fair treatment by police, voting rights, affirmative action, race relations, demonstrations, marches, protests"
1,MIPD (General),4,Public Safety,includes all mentions of crime and public safety,"Crime, law enforcement, gun control, drugs, alcohol/smoking, violence against women, political violence, etc","Crime, personal security, police, rule of law, criminal justice, police brutaility/violence, trust in police, Blue Lives Matter, criminal sentencing, prosecution, capital punishment, access to guns, Second Amendment, drug use and abuse, drug policy, alcohol, smoking, sexual abuse, domestic violence, disorder, riots, looting"
1,MIPD (General),5,Fiscal Policy,includes all mentions of budgets and spending,"Budget, debt, deficit, government spending, social spending, defense spending, space policy, agricultural policy, immigration policy, etc","Balance the budget, spending priorities, debt crisis, budget deficit, deficit spending, big government, size of government, social spending, welfare spending, military spending, space exploration, farmers, aid to farmers, immigration policy, border security, deportation, effects of immigration, immigrants receiving government assistance, treatment of immigrants"
1,MIPD (General),6,Foreign Policy,includes all mentions of foreign policy and other countries,"Foreign policy, national security, nuclear weapons, terrorism, crises, war, foreign aid, world hunger, other countries/political actors, etc","Foreign affairs, international problems, foreign relations, take care of our own people, help allies, US position in the world, national security, defense, arms control, arms races, nuclear war, terrorism, Al-Qaeda, ISIS, specific crises and wars, too much aid going overseas, famine"
1,MIPD (General),7,International Economic Relations,includes all mentions of international economic exchange,"Globalization, trade, international cooperation, other countries' economies, world economy, etc","Foreign ownership, foreign competition, trade relations, balance of trade, job losses due to trade, protection of US industry, trade agreements, United Nations, World Trade Organization, Asian financial crisis"
1,MIPD (General),8,Environment,"includes all mentions of the environment, natural resources and public health","Environment (general), climate change, pollution, energy sources, lack of natural resources, natural disasters, public health, etc","Environmental protection, conservation, climate change, global warming, litter, waste, air pollution, water pollution, energy crisis, oil, coal, gas, nuclear energy, alternative energy, fuel shortage, water shortage, weather, earthquakes, floods, AIDS, cancer, COVID"
1,MIPD (General),9,Morality,"includes all mentions of morals, values, and religious ideals","Morals and values, family values, religion, culture, abortion, church and state conflict, teen pregnancy, etc","Morals, values, ethics, honesty, family breakdown, divorce, lack of religion, sin, pornography, abortion, pro-life, school prayer, religion in politics, sex education"
1,MIPD (General),10,Politics,"includes all mentions of political leaders, values, ideology and institutions","Politics, corruption, trustworthiness, leadership, competence, representation and accountability, dishonesty, scandals, political process, ideology, institutions, specific actors, etc","Politics as usual, abuse of power, greedy politicians, lack of trust, integrity, government dysfunction, gridlock, obstruction, frustration with government, lack of responsiveness, government scandals, government reform, campaign finance, electoral college, term limits, two-party system, gerrymandering, conservativism, liberalism, American ideals, president, congress, courts, trust in science/experts"
1,MIPD (General),11,Youth Issues,includes all mentions of youth issues,"Youths (general), crime, gangs, school violence, employment, crimes against youths, etc","Children, morals for youths, juvenile delinquency, underage drinking, gangs, school shootings, jobs for youths, child labor, treatment of children"
1,MIPD (General),12,Groups,includes all mentions of minority groups,"Native Americans, hispanics, Asian Americans, Jews, Muslims","Minorities, American Indians, anti-semitism, Muslim fundamentalism"
1,MIPD (General),13,Other and All,includes mentions of other problems or all problems,"Other, all","Other, stress, stem cell research, computers and technology, suicide, social relations, animal rights"
1,MIPD (General),14,None,includes mentions of no problems,None,"Nothing in particular, no other mention, no problem"
1,MIPD (General),15,Don't Know/Refused,includes any mention that is related to don't know or refusal,"Don't know, no opinion, not applicable, refusal","Not sure, can't say, not interested, unknown, doesn't understand, no answer, no response, don’t care to answer"
2,MIPD (Specific),101,Economy,includes all general mentions of the economy,Economy (general) ,"Economic problems, concerns or issues, economic situation, economic future, consumer confidence"
2,MIPD (Specific),102,Employment,includes all mentions of employment,"Employment, unemployment, jobs","Jobs, job loss or cutbaks, finding a job, job protection, employment opportunities"
2,MIPD (Specific),103,Inflation,includes all mentions of inflation,"Prices, cost of living, inflation, price of gas/energy, price of food, housing costs, health care costs, education costs","Cost of living, prices, inflation, bills, price controls, price of goods like gas/energy, food, housing, health care, education and transportation"
2,MIPD (Specific),104,Monetary Policy,includes all mentions of monetary policy,"Interest rates, exchange rates","Interest rates, strength of the dollar, exchange rates, cost of borrowing"
2,MIPD (Specific),105,Growth/Recession,includes all mention of economic growth or recession,"Economic growth, recession, depression","Depression, recession, prosperity, good economic times, economic crisis, finances, investment, business cycle, financial problems, economic stability"
2,MIPD (Specific),106,Domestic Commerce,includes all mentions of business development and domestic commerce,"Businesses, financial institutions, subsidies, business ethics, big and small businesses, Wall Street","Businesses, bailouts, production, financial institutions, subsidies, tax incentives, improve industry, not enough investment, business ethics (such as corruption or greed), big and small businesses, Wall Street"
2,MIPD (Specific),107,Government Regulation,includes all mentions of regulation and degregulation,"Deregulation, red tape, free market/enterprise, consumer protection","Deregulation and regulation (regardless of topic), red tape, too much government control, free market/enterprise, consumer protection"
2,MIPD (Specific),108,Employment Compensation,"includes all mention of wages, benefits, and employee compensation","Wages, benefits, minimum wage","Wages, income, benefits, minimum wage, sick leave, health insurance from employment"
2,MIPD (Specific),109,Taxes,includes all mentions of taxes and tax reform,"Tax level, fairness, reform","Taxes (level), types of taxes, cost of government, taxes (fairness), tax structure, tax loopholes, tax system, tax code, reform"
2,MIPD (Specific),110,Industrial Policy,includes all mentions of industrial policy,"Unions, strikes, work stoppages, automation","Labor, labor problems, strikes, AFL-CIO, work stoppages, mechanization, automation"
2,MIPD (Specific),201,Social Policy (General),includes all mentions of social policy that don't fit into other specific categories,Social policy  ,"Social policy, domestic problems or issues, domestic affairs"
